Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;1486
ADOLFO;1° Dose;142
AGUAI;1° Dose;571
AGUAS DA PRATA;1° Dose;256
AGUAS DE LINDOIA;1° Dose;333
AGUAS DE SANTA BARBARA;1° Dose;182
AGUAS DE SAO PEDRO;1° Dose;187
AGUDOS;1° Dose;1698
ALAMBARI;1° Dose;81
ALFREDO MARCONDES;1° Dose;173
ALTAIR;1° Dose;154
ALTINOPOLIS;1° Dose;376
ALTO ALEGRE;1° Dose;120
ALUMINIO;1° Dose;278
ALVARES FLORENCE;1° Dose;103
ALVARES MACHADO;1° Dose;549
ALVARO DE CARVALHO;1° Dose;80
ALVINLANDIA;1° Dose;103
AMERICANA;1° Dose;4196
AMERICO BRASILIENSE;1° Dose;1106
AMERICO DE CAMPOS;1° Dose;186
AMPARO;1° Dose;2168
ANALANDIA;1° Dose;124
ANDRADINA;1° Dose;1634
ANGATUBA;1° Dose;480
ANHEMBI;1° Dose;116
ANHUMAS;1° Dose;138
APARECIDA;1° Dose;591
APARECIDA D'OESTE;1° Dose;207
APIAI;1° Dose;380
ARACARIGUAMA;1° Dose;308
ARACATUBA;1° Dose;8198
ARACOIABA DA SERRA;1° Dose;691
ARAMINA;1° Dose;122
ARANDU;1° Dose;133
ARAPEI;1° Dose;66
ARARAQUARA;1° Dose;8981
ARARAS;1° Dose;4710
ARCO-IRIS;1° Dose;220
AREALVA;1° Dose;208
AREIAS;1° Dose;94
AREIOPOLIS;1° Dose;162
ARIRANHA;1° Dose;349
ARTUR NOGUEIRA;1° Dose;955
ARUJA;1° Dose;528
ASPASIA;1° Dose;73
ASSIS;1° Dose;3214
ATIBAIA;1° Dose;4678
AURIFLAMA;1° Dose;437
AVAI;1° Dose;127
AVANHANDAVA;1° Dose;260
AVARE;1° Dose;3432
BADY BASSITT;1° Dose;505
BALBINOS;1° Dose;95
BALSAMO;1° Dose;337
BANANAL;1° Dose;315
BARAO DE ANTONINA;1° Dose;145
BARBOSA;1° Dose;217
BARIRI;1° Dose;1085
BARRA BONITA;1° Dose;1277
BARRA DO CHAPEU;1° Dose;78
BARRA DO TURVO;1° Dose;194
BARRETOS;1° Dose;5903
