Municipio;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;2125
ADAMANTINA;2° Dose;739
ADOLFO;1° Dose;191
ADOLFO;2° Dose;69
AGUAÍ;1° Dose;883
AGUAÍ;2° Dose;256
ÁGUAS DA PRATA;1° Dose;340
ÁGUAS DA PRATA;2° Dose;63
ÁGUAS DE LINDÓIA;1° Dose;683
ÁGUAS DE LINDÓIA;2° Dose;152
ÁGUAS DE SANTA BÁRBARA;1° Dose;236
ÁGUAS DE SANTA BÁRBARA;2° Dose;51
ÁGUAS DE SÃO PEDRO;1° Dose;296
ÁGUAS DE SÃO PEDRO;2° Dose;70
AGUDOS;1° Dose;2093
AGUDOS;2° Dose;758
ALAMBARI;1° Dose;166
ALAMBARI;2° Dose;34
ALFREDO MARCONDES;1° Dose;268
ALFREDO MARCONDES;2° Dose;56
ALTAIR;1° Dose;177
ALTAIR;2° Dose;54
ALTINÓPOLIS;1° Dose;707
ALTINÓPOLIS;2° Dose;218
ALTO ALEGRE;1° Dose;155
ALTO ALEGRE;2° Dose;48
ALUMÍNIO;1° Dose;395
ALUMÍNIO;2° Dose;122
ÁLVARES FLORENCE;1° Dose;160
ÁLVARES FLORENCE;2° Dose;44
ÁLVARES MACHADO;1° Dose;795
ÁLVARES MACHADO;2° Dose;188
ÁLVARO DE CARVALHO;1° Dose;107
ÁLVARO DE CARVALHO;2° Dose;34
ALVINLÂNDIA;1° Dose;119
ALVINLÂNDIA;2° Dose;33
AMERICANA;1° Dose;9089
AMERICANA;2° Dose;2522
AMÉRICO BRASILIENSE;1° Dose;1605
AMÉRICO BRASILIENSE;2° Dose;545
AMÉRICO DE CAMPOS;1° Dose;250
AMÉRICO DE CAMPOS;2° Dose;67
AMPARO;1° Dose;3156
AMPARO;2° Dose;695
ANALÂNDIA;1° Dose;155
ANALÂNDIA;2° Dose;34
ANDRADINA;1° Dose;3240
ANDRADINA;2° Dose;250
ANGATUBA;1° Dose;683
ANGATUBA;2° Dose;150
ANHEMBI;1° Dose;165
ANHEMBI;2° Dose;26
ANHUMAS;1° Dose;171
ANHUMAS;2° Dose;47
APARECIDA;1° Dose;1290
APARECIDA;2° Dose;347
APARECIDA D'OESTE;1° Dose;256
APARECIDA D'OESTE;2° Dose;73
APIAÍ;1° Dose;594
APIAÍ;2° Dose;106
ARAÇARIGUAMA;1° Dose;431
ARAÇARIGUAMA;2° Dose;165
ARAÇATUBA;1° Dose;10395
ARAÇATUBA;2° Dose;2563
ARAÇOIABA DA SERRA;1° Dose;954
ARAÇOIABA DA SERRA;2° Dose;207
ARAMINA;1° Dose;173
ARAMINA;2° Dose;40
ARANDU;1° Dose;199
ARANDU;2° Dose;42
ARAPEÍ;1° Dose;109
ARAPEÍ;2° Dose;32
ARARAQUARA;1° Dose;14162
ARARAQUARA;2° Dose;3202
ARARAS;1° Dose;5569
ARARAS;2° Dose;1526
ARCO-ÍRIS;1° Dose;240
ARCO-ÍRIS;2° Dose;172
AREALVA;1° Dose;340
AREALVA;2° Dose;69
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;301
AREIÓPOLIS;2° Dose;97
ARIRANHA;1° Dose;435
ARIRANHA;2° Dose;123
ARTUR NOGUEIRA;1° Dose;1498
ARTUR NOGUEIRA;2° Dose;456
ARUJÁ;1° Dose;1529
ARUJÁ;2° Dose;372
ASPÁSIA;1° Dose;93
ASPÁSIA;2° Dose;21
ASSIS;1° Dose;5348
ASSIS;2° Dose;1704
ATIBAIA;1° Dose;6839
ATIBAIA;2° Dose;1907
AURIFLAMA;1° Dose;609
AURIFLAMA;2° Dose;187
AVAÍ;1° Dose;551
AVAÍ;2° Dose;269
AVANHANDAVA;1° Dose;319
AVANHANDAVA;2° Dose;84
AVARÉ;1° Dose;4220
AVARÉ;2° Dose;1421
BADY BASSITT;1° Dose;829
BADY BASSITT;2° Dose;236
BALBINOS;1° Dose;117
BALBINOS;2° Dose;42
BÁLSAMO;1° Dose;417
BÁLSAMO;2° Dose;107
BANANAL;1° Dose;455
BANANAL;2° Dose;110
BARÃO DE ANTONINA;1° Dose;172
BARÃO DE ANTONINA;2° Dose;92
BARBOSA;1° Dose;265
BARBOSA;2° Dose;66
BARIRI;1° Dose;1492
BARIRI;2° Dose;390
BARRA BONITA;1° Dose;1697
BARRA BONITA;2° Dose;574
BARRA DO CHAPÉU;1° Dose;113
BARRA DO CHAPÉU;2° Dose;34
