Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;2972
ADAMANTINA;2° Dose;1242
ADOLFO;1° Dose;249
ADOLFO;2° Dose;92
AGUAÍ;1° Dose;1220
AGUAÍ;2° Dose;372
ÁGUAS DA PRATA;1° Dose;356
ÁGUAS DA PRATA;2° Dose;130
ÁGUAS DE LINDÓIA;1° Dose;683
ÁGUAS DE LINDÓIA;2° Dose;184
ÁGUAS DE SANTA BÁRBARA;1° Dose;356
ÁGUAS DE SANTA BÁRBARA;2° Dose;114
ÁGUAS DE SÃO PEDRO;1° Dose;419
ÁGUAS DE SÃO PEDRO;2° Dose;76
AGUDOS;1° Dose;2847
AGUDOS;2° Dose;1029
ALAMBARI;1° Dose;242
ALAMBARI;2° Dose;65
ALFREDO MARCONDES;1° Dose;353
ALFREDO MARCONDES;2° Dose;135
ALTAIR;1° Dose;240
ALTAIR;2° Dose;100
ALTINÓPOLIS;1° Dose;928
ALTINÓPOLIS;2° Dose;365
ALTO ALEGRE;1° Dose;261
ALTO ALEGRE;2° Dose;66
ALUMÍNIO;1° Dose;590
ALUMÍNIO;2° Dose;184
ÁLVARES FLORENCE;1° Dose;250
ÁLVARES FLORENCE;2° Dose;90
ÁLVARES MACHADO;1° Dose;1334
ÁLVARES MACHADO;2° Dose;268
ÁLVARO DE CARVALHO;1° Dose;153
ÁLVARO DE CARVALHO;2° Dose;53
ALVINLÂNDIA;1° Dose;148
ALVINLÂNDIA;2° Dose;70
AMERICANA;1° Dose;11574
AMERICANA;2° Dose;3545
AMÉRICO BRASILIENSE;1° Dose;2017
AMÉRICO BRASILIENSE;2° Dose;693
AMÉRICO DE CAMPOS;1° Dose;349
AMÉRICO DE CAMPOS;2° Dose;125
AMPARO;1° Dose;4209
AMPARO;2° Dose;807
ANALÂNDIA;1° Dose;215
ANALÂNDIA;2° Dose;81
ANDRADINA;1° Dose;3511
ANDRADINA;2° Dose;416
ANGATUBA;1° Dose;909
ANGATUBA;2° Dose;183
ANHEMBI;1° Dose;238
ANHEMBI;2° Dose;46
ANHUMAS;1° Dose;286
ANHUMAS;2° Dose;99
APARECIDA;1° Dose;1362
APARECIDA;2° Dose;509
APARECIDA D'OESTE;1° Dose;334
APARECIDA D'OESTE;2° Dose;172
APIAÍ;1° Dose;919
APIAÍ;2° Dose;317
ARAÇARIGUAMA;1° Dose;535
ARAÇARIGUAMA;2° Dose;180
ARAÇATUBA;1° Dose;11974
ARAÇATUBA;2° Dose;5233
ARAÇOIABA DA SERRA;1° Dose;1100
ARAÇOIABA DA SERRA;2° Dose;315
ARAMINA;1° Dose;173
ARAMINA;2° Dose;76
ARANDU;1° Dose;341
ARANDU;2° Dose;56
ARAPEÍ;1° Dose;134
ARAPEÍ;2° Dose;42
ARARAQUARA;1° Dose;16700
ARARAQUARA;2° Dose;3868
ARARAS;1° Dose;7200
ARARAS;2° Dose;2299
ARCO-ÍRIS;1° Dose;296
ARCO-ÍRIS;2° Dose;192
AREALVA;1° Dose;500
AREALVA;2° Dose;103
AREIAS;1° Dose;166
AREIAS;2° Dose;51
AREIÓPOLIS;1° Dose;301
AREIÓPOLIS;2° Dose;97
ARIRANHA;1° Dose;587
ARIRANHA;2° Dose;259
ARTUR NOGUEIRA;1° Dose;2279
ARTUR NOGUEIRA;2° Dose;704
ARUJÁ;1° Dose;2546
ARUJÁ;2° Dose;714
ASPÁSIA;1° Dose;124
ASPÁSIA;2° Dose;51
ASSIS;1° Dose;7060
ASSIS;2° Dose;3347
ATIBAIA;1° Dose;8865
ATIBAIA;2° Dose;3719
AURIFLAMA;1° Dose;888
AURIFLAMA;2° Dose;225
AVAÍ;1° Dose;638
AVAÍ;2° Dose;453
AVANHANDAVA;1° Dose;445
AVANHANDAVA;2° Dose;179
AVARÉ;1° Dose;5416
AVARÉ;2° Dose;2379
BADY BASSITT;1° Dose;1045
BADY BASSITT;2° Dose;403
BALBINOS;1° Dose;167
BALBINOS;2° Dose;53
BÁLSAMO;1° Dose;649
BÁLSAMO;2° Dose;233
BANANAL;1° Dose;707
BANANAL;2° Dose;236
BARÃO DE ANTONINA;1° Dose;243
BARÃO DE ANTONINA;2° Dose;112
BARBOSA;1° Dose;353
BARBOSA;2° Dose;150
BARIRI;1° Dose;2375
BARIRI;2° Dose;660
BARRA BONITA;1° Dose;2387
BARRA BONITA;2° Dose;882
BARRA DO CHAPÉU;1° Dose;194
BARRA DO CHAPÉU;2° Dose;44
BARRA DO TURVO;1° Dose;602
BARRA DO TURVO;2° Dose;268
BARRETOS;1° Dose;9952
BARRETOS;2° Dose;4184
BARRINHA;1° Dose;1114
BARRINHA;2° Dose;375
BARUERI;1° Dose;12544
BARUERI;2° Dose;4974
BASTOS;1° Dose;1034
BASTOS;2° Dose;333
BATATAIS;1° Dose;3036
BATATAIS;2° Dose;654
BAURU;1° Dose;29711
BAURU;2° Dose;12003
BEBEDOURO;1° Dose;4065
BEBEDOURO;2° Dose;619
BENTO DE ABREU;1° Dose;138
BENTO DE ABREU;2° Dose;37
BERNARDINO DE CAMPOS;1° Dose;756
BERNARDINO DE CAMPOS;2° Dose;243
BERTIOGA;1° Dose;2330
BERTIOGA;2° Dose;898
BILAC;1° Dose;615
BILAC;2° Dose;176
BIRIGUI;1° Dose;4767
BIRIGUI;2° Dose;1067
BIRITIBA MIRIM;1° Dose;1061
BIRITIBA MIRIM;2° Dose;297
BOA ESPERANÇA DO SUL;1° Dose;621
BOA ESPERANÇA DO SUL;2° Dose;208
BOCAINA;1° Dose;582
BOCAINA;2° Dose;154
BOFETE;1° Dose;458
BOFETE;2° Dose;125
BOITUVA;1° Dose;1919
BOITUVA;2° Dose;651
BOM JESUS DOS PERDÕES;1° Dose;939
BOM JESUS DOS PERDÕES;2° Dose;196
BOM SUCESSO DE ITARARÉ;1° Dose;126
BOM SUCESSO DE ITARARÉ;2° Dose;49
BORÁ;1° Dose;75
BORÁ;2° Dose;37
BORACÉIA;1° Dose;240
BORACÉIA;2° Dose;55
BORBOREMA;1° Dose;928
BORBOREMA;2° Dose;245
BOREBI;1° Dose;100
BOREBI;2° Dose;39
BOTUCATU;1° Dose;13807
BOTUCATU;2° Dose;4888
BRAGANÇA PAULISTA;1° Dose;9261
BRAGANÇA PAULISTA;2° Dose;2762
BRAÚNA;1° Dose;363
BRAÚNA;2° Dose;168
BREJO ALEGRE;1° Dose;158
BREJO ALEGRE;2° Dose;46
BRODOWSKI;1° Dose;1207
BRODOWSKI;2° Dose;342
BROTAS;1° Dose;1121
BROTAS;2° Dose;335
BURI;1° Dose;506
BURI;2° Dose;137
BURITAMA;1° Dose;888
BURITAMA;2° Dose;335
BURITIZAL;1° Dose;301
BURITIZAL;2° Dose;123
CABRÁLIA PAULISTA;1° Dose;252
CABRÁLIA PAULISTA;2° Dose;78
CABREÚVA;1° Dose;1440
CABREÚVA;2° Dose;287
CAÇAPAVA;1° Dose;3548
CAÇAPAVA;2° Dose;1263
CACHOEIRA PAULISTA;1° Dose;1733
CACHOEIRA PAULISTA;2° Dose;576
CACONDE;1° Dose;763
CACONDE;2° Dose;215
CAFELÂNDIA;1° Dose;766
CAFELÂNDIA;2° Dose;116
CAIABU;1° Dose;226
