Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4694
ADAMANTINA;2° Dose;1557
ADOLFO;1° Dose;356
ADOLFO;2° Dose;166
AGUAÍ;1° Dose;2283
AGUAÍ;2° Dose;647
ÁGUAS DA PRATA;1° Dose;956
ÁGUAS DA PRATA;2° Dose;261
ÁGUAS DE LINDÓIA;1° Dose;1411
ÁGUAS DE LINDÓIA;2° Dose;415
ÁGUAS DE SANTA BÁRBARA;1° Dose;558
ÁGUAS DE SANTA BÁRBARA;2° Dose;177
ÁGUAS DE SÃO PEDRO;1° Dose;563
ÁGUAS DE SÃO PEDRO;2° Dose;204
AGUDOS;1° Dose;3761
AGUDOS;2° Dose;1218
ALAMBARI;1° Dose;340
ALAMBARI;2° Dose;112
ALFREDO MARCONDES;1° Dose;575
ALFREDO MARCONDES;2° Dose;205
ALTAIR;1° Dose;298
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1223
ALTINÓPOLIS;2° Dose;452
ALTO ALEGRE;1° Dose;518
ALTO ALEGRE;2° Dose;100
ALUMÍNIO;1° Dose;807
ALUMÍNIO;2° Dose;272
ÁLVARES FLORENCE;1° Dose;422
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;2066
ÁLVARES MACHADO;2° Dose;559
ÁLVARO DE CARVALHO;1° Dose;279
ÁLVARO DE CARVALHO;2° Dose;69
ALVINLÂNDIA;1° Dose;276
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;15740
AMERICANA;2° Dose;6331
AMÉRICO BRASILIENSE;1° Dose;2781
AMÉRICO BRASILIENSE;2° Dose;1024
AMÉRICO DE CAMPOS;1° Dose;572
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6018
AMPARO;2° Dose;2371
ANALÂNDIA;1° Dose;394
ANALÂNDIA;2° Dose;96
ANDRADINA;1° Dose;4991
ANDRADINA;2° Dose;2260
ANGATUBA;1° Dose;1306
ANGATUBA;2° Dose;397
ANHEMBI;1° Dose;362
ANHEMBI;2° Dose;105
ANHUMAS;1° Dose;428
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2360
APARECIDA;2° Dose;950
APARECIDA D'OESTE;1° Dose;583
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1596
APIAÍ;2° Dose;491
ARAÇARIGUAMA;1° Dose;1037
ARAÇARIGUAMA;2° Dose;305
ARAÇATUBA;1° Dose;18073
ARAÇATUBA;2° Dose;7365
ARAÇOIABA DA SERRA;1° Dose;2067
ARAÇOIABA DA SERRA;2° Dose;556
ARAMINA;1° Dose;401
ARAMINA;2° Dose;116
ARANDU;1° Dose;423
ARANDU;2° Dose;126
ARAPEÍ;1° Dose;205
ARAPEÍ;2° Dose;76
ARARAQUARA;1° Dose;25312
ARARAQUARA;2° Dose;10250
ARARAS;1° Dose;10990
ARARAS;2° Dose;4014
ARCO-ÍRIS;1° Dose;323
ARCO-ÍRIS;2° Dose;207
AREALVA;1° Dose;749
AREALVA;2° Dose;244
AREIAS;1° Dose;263
AREIAS;2° Dose;130
AREIÓPOLIS;1° Dose;461
AREIÓPOLIS;2° Dose;226
ARIRANHA;1° Dose;833
ARIRANHA;2° Dose;313
ARTUR NOGUEIRA;1° Dose;3178
ARTUR NOGUEIRA;2° Dose;1051
ARUJÁ;1° Dose;3796
ARUJÁ;2° Dose;1377
ASPÁSIA;1° Dose;206
ASPÁSIA;2° Dose;70
ASSIS;1° Dose;10808
ASSIS;2° Dose;3880
ATIBAIA;1° Dose;13202
ATIBAIA;2° Dose;4903
AURIFLAMA;1° Dose;1331
AURIFLAMA;2° Dose;393
AVAÍ;1° Dose;683
AVAÍ;2° Dose;484
AVANHANDAVA;1° Dose;705
AVANHANDAVA;2° Dose;230
AVARÉ;1° Dose;7697
AVARÉ;2° Dose;3010
BADY BASSITT;1° Dose;1249
BADY BASSITT;2° Dose;602
BALBINOS;1° Dose;228
BALBINOS;2° Dose;67
BÁLSAMO;1° Dose;865
BÁLSAMO;2° Dose;309
BANANAL;1° Dose;1067
BANANAL;2° Dose;330
BARÃO DE ANTONINA;1° Dose;334
BARÃO DE ANTONINA;2° Dose;134
BARBOSA;1° Dose;527
BARBOSA;2° Dose;201
BARIRI;1° Dose;3123
BARIRI;2° Dose;1091
BARRA BONITA;1° Dose;3355
BARRA BONITA;2° Dose;1239
BARRA DO CHAPÉU;1° Dose;278
BARRA DO CHAPÉU;2° Dose;77
BARRA DO TURVO;1° Dose;935
BARRA DO TURVO;2° Dose;494
BARRETOS;1° Dose;13513
BARRETOS;2° Dose;5735
BARRINHA;1° Dose;1633
BARRINHA;2° Dose;536
BARUERI;1° Dose;18947
BARUERI;2° Dose;6937
BASTOS;1° Dose;1608
BASTOS;2° Dose;535
BATATAIS;1° Dose;3462
BATATAIS;2° Dose;1486
BAURU;1° Dose;42383
BAURU;2° Dose;16906
BEBEDOURO;1° Dose;6283
BEBEDOURO;2° Dose;1641
BENTO DE ABREU;1° Dose;206
BENTO DE ABREU;2° Dose;60
BERNARDINO DE CAMPOS;1° Dose;1326
BERNARDINO DE CAMPOS;2° Dose;406
BERTIOGA;1° Dose;2895
BERTIOGA;2° Dose;1222
BILAC;1° Dose;927
BILAC;2° Dose;311
BIRIGUI;1° Dose;8156
BIRIGUI;2° Dose;2194
BIRITIBA MIRIM;1° Dose;1826
BIRITIBA MIRIM;2° Dose;431
BOA ESPERANÇA DO SUL;1° Dose;854
BOA ESPERANÇA DO SUL;2° Dose;291
BOCAINA;1° Dose;926
BOCAINA;2° Dose;331
BOFETE;1° Dose;620
BOFETE;2° Dose;186
BOITUVA;1° Dose;3005
BOITUVA;2° Dose;1045
BOM JESUS DOS PERDÕES;1° Dose;1269
BOM JESUS DOS PERDÕES;2° Dose;349
BOM SUCESSO DE ITARARÉ;1° Dose;194
BOM SUCESSO DE ITARARÉ;2° Dose;64
BORÁ;1° Dose;104
BORÁ;2° Dose;38
BORACÉIA;1° Dose;421
BORACÉIA;2° Dose;120
BORBOREMA;1° Dose;1199
BORBOREMA;2° Dose;378
BOREBI;1° Dose;178
BOREBI;2° Dose;45
BOTUCATU;1° Dose;18321
BOTUCATU;2° Dose;6292
BRAGANÇA PAULISTA;1° Dose;13757
BRAGANÇA PAULISTA;2° Dose;5307
BRAÚNA;1° Dose;566
BRAÚNA;2° Dose;248
BREJO ALEGRE;1° Dose;288
BREJO ALEGRE;2° Dose;47
BRODOWSKI;1° Dose;1887
BRODOWSKI;2° Dose;788
BROTAS;1° Dose;1546
BROTAS;2° Dose;576
BURI;1° Dose;932
BURI;2° Dose;265
BURITAMA;1° Dose;1220
BURITAMA;2° Dose;473
BURITIZAL;1° Dose;404
BURITIZAL;2° Dose;160
CABRÁLIA PAULISTA;1° Dose;321
CABRÁLIA PAULISTA;2° Dose;119
CABREÚVA;1° Dose;1857
CABREÚVA;2° Dose;590
CAÇAPAVA;1° Dose;5387
CAÇAPAVA;2° Dose;2192
CACHOEIRA PAULISTA;1° Dose;2366
CACHOEIRA PAULISTA;2° Dose;785
CACONDE;1° Dose;1459
CACONDE;2° Dose;326
CAFELÂNDIA;1° Dose;894
CAFELÂNDIA;2° Dose;130
CAIABU;1° Dose;348
CAIABU;2° Dose;112
CAIEIRAS;1° Dose;5711
CAIEIRAS;2° Dose;1931
CAIUÁ;1° Dose;477
CAIUÁ;2° Dose;166
CAJAMAR;1° Dose;3492
CAJAMAR;2° Dose;864
CAJATI;1° Dose;1570
CAJATI;2° Dose;401
CAJOBI;1° Dose;925
CAJOBI;2° Dose;329
CAJURU;1° Dose;2075
CAJURU;2° Dose;731
CAMPINA DO MONTE ALEGRE;1° Dose;396
CAMPINA DO MONTE ALEGRE;2° Dose;123
CAMPINAS;1° Dose;114518
