Ds Município;Dose;Contagem de Id Vacinacao
ADAMANTINA;1° Dose;4761
ADAMANTINA;2° Dose;1571
ADOLFO;1° Dose;391
ADOLFO;2° Dose;167
AGUAÍ;1° Dose;2356
AGUAÍ;2° Dose;870
ÁGUAS DA PRATA;1° Dose;992
ÁGUAS DA PRATA;2° Dose;264
ÁGUAS DE LINDÓIA;1° Dose;1434
ÁGUAS DE LINDÓIA;2° Dose;417
ÁGUAS DE SANTA BÁRBARA;1° Dose;607
ÁGUAS DE SANTA BÁRBARA;2° Dose;178
ÁGUAS DE SÃO PEDRO;1° Dose;665
ÁGUAS DE SÃO PEDRO;2° Dose;229
AGUDOS;1° Dose;3911
AGUDOS;2° Dose;1266
ALAMBARI;1° Dose;400
ALAMBARI;2° Dose;119
ALFREDO MARCONDES;1° Dose;625
ALFREDO MARCONDES;2° Dose;207
ALTAIR;1° Dose;358
ALTAIR;2° Dose;125
ALTINÓPOLIS;1° Dose;1285
ALTINÓPOLIS;2° Dose;465
ALTO ALEGRE;1° Dose;528
ALTO ALEGRE;2° Dose;155
ALUMÍNIO;1° Dose;915
ALUMÍNIO;2° Dose;276
ÁLVARES FLORENCE;1° Dose;515
ÁLVARES FLORENCE;2° Dose;111
ÁLVARES MACHADO;1° Dose;2175
ÁLVARES MACHADO;2° Dose;596
ÁLVARO DE CARVALHO;1° Dose;294
ÁLVARO DE CARVALHO;2° Dose;73
ALVINLÂNDIA;1° Dose;307
ALVINLÂNDIA;2° Dose;87
AMERICANA;1° Dose;16828
AMERICANA;2° Dose;6683
AMÉRICO BRASILIENSE;1° Dose;2938
AMÉRICO BRASILIENSE;2° Dose;1080
AMÉRICO DE CAMPOS;1° Dose;622
AMÉRICO DE CAMPOS;2° Dose;189
AMPARO;1° Dose;6649
AMPARO;2° Dose;2379
ANALÂNDIA;1° Dose;475
ANALÂNDIA;2° Dose;111
ANDRADINA;1° Dose;5616
ANDRADINA;2° Dose;2267
ANGATUBA;1° Dose;1558
ANGATUBA;2° Dose;411
ANHEMBI;1° Dose;439
ANHEMBI;2° Dose;110
ANHUMAS;1° Dose;438
ANHUMAS;2° Dose;129
APARECIDA;1° Dose;2639
APARECIDA;2° Dose;970
APARECIDA D'OESTE;1° Dose;593
APARECIDA D'OESTE;2° Dose;194
APIAÍ;1° Dose;1761
APIAÍ;2° Dose;500
ARAÇARIGUAMA;1° Dose;1046
ARAÇARIGUAMA;2° Dose;305
ARAÇATUBA;1° Dose;21304
ARAÇATUBA;2° Dose;7426
ARAÇOIABA DA SERRA;1° Dose;2446
ARAÇOIABA DA SERRA;2° Dose;646
ARAMINA;1° Dose;422
ARAMINA;2° Dose;116
ARANDU;1° Dose;504
ARANDU;2° Dose;131
