Ds Município;Dose;Contagem de Id Vacinacao
BORÁ;2° DOSE;59
NOVA CASTILHO;2° DOSE;57
TRABIJU;2° DOSE;74
SAGRES;2° DOSE;66
URU;2° DOSE;70
PAULISTÂNIA;2° DOSE;64
UNIÃO PAULISTA;2° DOSE;93
ESTRELA DO NORTE;2° DOSE;69
PRACINHA;2° DOSE;97
NOVAIS;2° DOSE;60
BOREBI;2° DOSE;74
VITÓRIA BRASIL;2° DOSE;76
SANTANA DA PONTE PENSA;2° DOSE;46
BALBINOS;2° DOSE;86
BOM SUCESSO DE ITARARÉ;2° DOSE;67
GUARANI D'OESTE;2° DOSE;92
FERNÃO;2° DOSE;85
ASPÁSIA;2° DOSE;106
CRUZÁLIA;2° DOSE;85
DIRCE REIS;2° DOSE;96
BENTO DE ABREU;2° DOSE;80
NANTES;2° DOSE;110
PARISI;2° DOSE;82
SÃO JOÃO DE IRACEMA;2° DOSE;92
ZACARIAS;2° DOSE;81
SABINO;2° DOSE;35
SANTA CRUZ DA ESPERANÇA;2° DOSE;88
EMBAÚBA;2° DOSE;80
JUMIRIM;2° DOSE;107
SÃO JOÃO DAS DUAS PONTES;2° DOSE;103
AREIAS;2° DOSE;132
ARAPEÍ;2° DOSE;107
MARINÓPOLIS;2° DOSE;95
LUCIANÓPOLIS;2° DOSE;75
SANTA CLARA D'OESTE;2° DOSE;112
PONTES GESTAL;2° DOSE;113
MESÓPOLIS;2° DOSE;119
SANTA SALETE;2° DOSE;107
ÓLEO;2° DOSE;126
PLATINA;2° DOSE;105
JOÃO RAMALHO;2° DOSE;83
SANDOVALINA;2° DOSE;96
GABRIEL MONTEIRO;2° DOSE;82
TURIÚBA;2° DOSE;126
NOVA CANAÃ PAULISTA;2° DOSE;103
RUBIÁCEA;2° DOSE;123
TAQUARIVAÍ;2° DOSE;97
TAQUARAL;2° DOSE;116
NOVA GUATAPORANGA;2° DOSE;99
NOVA INDEPENDÊNCIA;2° DOSE;111
DOLCINÓPOLIS;2° DOSE;110
QUEIROZ;2° DOSE;128
ITAPIRAPUÃ PAULISTA;2° DOSE;81
MARABÁ PAULISTA;2° DOSE;83
CANITAR;2° DOSE;124
CANAS;2° DOSE;122
CÁSSIA DOS COQUEIROS;2° DOSE;124
LOURDES;2° DOSE;113
ESPÍRITO SANTO DO TURVO;2° DOSE;123
QUADRA;2° DOSE;90
ALVINLÂNDIA;2° DOSE;102
JERIQUARA;2° DOSE;118
ÁLVARO DE CARVALHO;2° DOSE;110
RIBEIRÃO CORRENTE;2° DOSE;113
NOVA LUZITÂNIA;2° DOSE;117
TEJUPÁ;2° DOSE;95
PRATÂNIA;2° DOSE;105
TORRE DE PEDRA;2° DOSE;130
SUZANÁPOLIS;2° DOSE;90
SÃO JOÃO DO PAU D'ALHO;2° DOSE;102
RIFAINA;2° DOSE;94
FLORA RICA;2° DOSE;129
PEDRINHAS PAULISTA;2° DOSE;125
PONTALINDA;2° DOSE;135
MOTUCA;2° DOSE;112
MONÇÕES;2° DOSE;133
MOMBUCA;2° DOSE;179
FLORÍNEA;2° DOSE;149
TURMALINA;2° DOSE;137
BREJO ALEGRE;2° DOSE;163
ITAJU;2° DOSE;134
TIMBURI;2° DOSE;106
BARRA DO CHAPÉU;2° DOSE;114
SANTA MERCEDES;2° DOSE;141
ELISIÁRIO;2° DOSE;138
LUTÉCIA;2° DOSE;123
JÚLIO MESQUITA;2° DOSE;104
NIPOÃ;2° DOSE;126
SANTA RITA D'OESTE;2° DOSE;99
MARIÁPOLIS;2° DOSE;152
PRESIDENTE ALVES;2° DOSE;91
JAMBEIRO;2° DOSE;163
MIRA ESTRELA;2° DOSE;134
PEDRANÓPOLIS;2° DOSE;162
SÃO JOSÉ DO BARREIRO;2° DOSE;127
RUBINÉIA;2° DOSE;159
RIBEIRA;2° DOSE;157
SÃO FRANCISCO;2° DOSE;135
CORUMBATAÍ;2° DOSE;133
MARAPOAMA;2° DOSE;155
SANTA ERNESTINA;2° DOSE;124
OSCAR BRESSANE;2° DOSE;142
BARÃO DE ANTONINA;2° DOSE;174
ALTAIR;2° DOSE;175
FLOREAL;2° DOSE;114
MACEDÔNIA;2° DOSE;160
EMILIANÓPOLIS;2° DOSE;166
CÂNDIDO RODRIGUES;2° DOSE;123
SANTÓPOLIS DO AGUAPEÍ;2° DOSE;152
UBARANA;2° DOSE;140
SEBASTIANÓPOLIS DO SUL;2° DOSE;153
CAIABU;2° DOSE;151
PLANALTO;2° DOSE;161
GUZOLÂNDIA;2° DOSE;138
GAVIÃO PEIXOTO;2° DOSE;150
CAMPOS NOVOS PAULISTA;2° DOSE;149
LAVRINHAS;2° DOSE;152
SANTO EXPEDITO;2° DOSE;145
ITAPURA;2° DOSE;136
LUPÉRCIO;2° DOSE;166
PONGAÍ;2° DOSE;142
GASTÃO VIDIGAL;2° DOSE;140
REDENÇÃO DA SERRA;2° DOSE;163
ONDA VERDE;2° DOSE;157
NARANDIBA;2° DOSE;146
ORINDIÚVA;2° DOSE;216
ARCO-ÍRIS;2° DOSE;234
PARANAPUÃ;2° DOSE;156
CABRÁLIA PAULISTA;2° DOSE;160
OCAUÇU;2° DOSE;151
SARUTAIÁ;2° DOSE;192
INÚBIA PAULISTA;2° DOSE;195
LUIZIÂNIA;2° DOSE;159
RIBEIRÃO DOS ÍNDIOS;2° DOSE;227
GLICÉRIO;2° DOSE;174
ANHUMAS;2° DOSE;173
IARAS;2° DOSE;168
ALAMBARI;2° DOSE;122
ANALÂNDIA;2° DOSE;145
BORACÉIA;2° DOSE;125
MAGDA;2° DOSE;178
ANHEMBI;2° DOSE;122
IPEÚNA;2° DOSE;172
MERIDIANO;2° DOSE;186
SÃO JOSÉ DA BELA VISTA;2° DOSE;196
MONTEIRO LOBATO;2° DOSE;210
UBIRAJARA;2° DOSE;198
ARAMINA;2° DOSE;156
ADOLFO;2° DOSE;191
RIBEIRÃO DO SUL;2° DOSE;142
SANTA MARIA DA SERRA;2° DOSE;160
COROADOS;2° DOSE;178
PAULICÉIA;2° DOSE;154
ITAOCA;2° DOSE;232
IPIGUÁ;2° DOSE;175
DOBRADA;2° DOSE;209
MONTE CASTELO;2° DOSE;151
SALMOURÃO;2° DOSE;198
RESTINGA;2° DOSE;192
NOVA CAMPINA;2° DOSE;179
BURITIZAL;2° DOSE;228
ÁLVARES FLORENCE;2° DOSE;159
CAMPINA DO MONTE ALEGRE;2° DOSE;148
CORONEL MACEDO;2° DOSE;231
MIRASSOLÂNDIA;2° DOSE;239
TACIBA;2° DOSE;181
AREIÓPOLIS;2° DOSE;228
ITIRAPUÃ;2° DOSE;163
RIVERSUL;2° DOSE;137
ARANDU;2° DOSE;200
SANTA LÚCIA;2° DOSE;201
ALTO ALEGRE;2° DOSE;214
MURUTINGA DO SUL;2° DOSE;230
BARBOSA;2° DOSE;241
PALMARES PAULISTA;2° DOSE;229
PIQUEROBI;2° DOSE;262
POPULINA;2° DOSE;231
PIACATU;2° DOSE;219
LAVÍNIA;2° DOSE;193
PEDRA BELA;2° DOSE;179
RIBEIRÃO GRANDE;2° DOSE;205
GUAIMBÊ;2° DOSE;251
CAIUÁ;2° DOSE;210
CLEMENTINA;2° DOSE;273
PARDINHO;2° DOSE;242
TARABAI;2° DOSE;257
ÁGUAS DE SANTA BÁRBARA;2° DOSE;179
COLÔMBIA;2° DOSE;275
