Ds Município;Dose;Contagem de Id Vacinacao;;;;
ADAMANTINA;1° DOSE;6030;;;;
ADAMANTINA;2° DOSE;2180;;;;
ADOLFO;1° DOSE;571;;;;
ADOLFO;2° DOSE;191;;;;
AGUAÍ;1° DOSE;3412;;;;
AGUAÍ;2° DOSE;1093;;;;
ÁGUAS DA PRATA;1° DOSE;1251;;;;
ÁGUAS DA PRATA;2° DOSE;286;;;;
ÁGUAS DE LINDÓIA;1° DOSE;2341;;;;
ÁGUAS DE LINDÓIA;2° DOSE;617;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;797;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;179;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;849;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;275;;;;
AGUDOS;1° DOSE;4851;;;;
AGUDOS;2° DOSE;1611;;;;
ALAMBARI;1° DOSE;586;;;;
ALAMBARI;2° DOSE;122;;;;
ALFREDO MARCONDES;1° DOSE;762;;;;
ALFREDO MARCONDES;2° DOSE;263;;;;
ALTAIR;1° DOSE;435;;;;
ALTAIR;2° DOSE;175;;;;
ALTINÓPOLIS;1° DOSE;1947;;;;
ALTINÓPOLIS;2° DOSE;582;;;;
ALTO ALEGRE;1° DOSE;680;;;;
ALTO ALEGRE;2° DOSE;214;;;;
ALUMÍNIO;1° DOSE;1331;;;;
ALUMÍNIO;2° DOSE;335;;;;
ÁLVARES FLORENCE;1° DOSE;674;;;;
ÁLVARES FLORENCE;2° DOSE;159;;;;
ÁLVARES MACHADO;1° DOSE;2864;;;;
ÁLVARES MACHADO;2° DOSE;819;;;;
ÁLVARO DE CARVALHO;1° DOSE;384;;;;
ÁLVARO DE CARVALHO;2° DOSE;110;;;;
ALVINLÂNDIA;1° DOSE;387;;;;
ALVINLÂNDIA;2° DOSE;102;;;;
AMERICANA;1° DOSE;21838;;;;
AMERICANA;2° DOSE;7578;;;;
AMÉRICO BRASILIENSE;1° DOSE;3627;;;;
AMÉRICO BRASILIENSE;2° DOSE;1590;;;;
AMÉRICO DE CAMPOS;1° DOSE;821;;;;
AMÉRICO DE CAMPOS;2° DOSE;190;;;;
AMPARO;1° DOSE;8931;;;;
AMPARO;2° DOSE;2609;;;;
ANALÂNDIA;1° DOSE;565;;;;
ANALÂNDIA;2° DOSE;145;;;;
ANDRADINA;1° DOSE;7411;;;;
ANDRADINA;2° DOSE;2410;;;;
ANGATUBA;1° DOSE;2312;;;;
ANGATUBA;2° DOSE;636;;;;
ANHEMBI;1° DOSE;591;;;;
ANHEMBI;2° DOSE;122;;;;
ANHUMAS;1° DOSE;548;;;;
ANHUMAS;2° DOSE;174;;;;
APARECIDA;1° DOSE;3337;;;;
APARECIDA;2° DOSE;1137;;;;
APARECIDA D'OESTE;1° DOSE;745;;;;
APARECIDA D'OESTE;2° DOSE;285;;;;
APIAÍ;1° DOSE;2305;;;;
APIAÍ;2° DOSE;715;;;;
ARAÇARIGUAMA;1° DOSE;1480;;;;
ARAÇARIGUAMA;2° DOSE;320;;;;
ARAÇATUBA;1° DOSE;25904;;;;
ARAÇATUBA;2° DOSE;9087;;;;
ARAÇOIABA DA SERRA;1° DOSE;3128;;;;
ARAÇOIABA DA SERRA;2° DOSE;737;;;;
ARAMINA;1° DOSE;630;;;;
ARAMINA;2° DOSE;205;;;;
ARANDU;1° DOSE;688;;;;
ARANDU;2° DOSE;200;;;;
ARAPEÍ;1° DOSE;304;;;;
ARAPEÍ;2° DOSE;107;;;;
ARARAQUARA;1° DOSE;33197;;;;
ARARAQUARA;2° DOSE;10530;;;;
ARARAS;1° DOSE;14209;;;;
ARARAS;2° DOSE;4791;;;;
ARCO-ÍRIS;1° DOSE;422;;;;
ARCO-ÍRIS;2° DOSE;234;;;;
AREALVA;1° DOSE;1210;;;;
AREALVA;2° DOSE;277;;;;
AREIAS;1° DOSE;277;;;;
AREIAS;2° DOSE;132;;;;
AREIÓPOLIS;1° DOSE;652;;;;
AREIÓPOLIS;2° DOSE;228;;;;
ARIRANHA;1° DOSE;1090;;;;
ARIRANHA;2° DOSE;403;;;;
ARTUR NOGUEIRA;1° DOSE;4558;;;;
ARTUR NOGUEIRA;2° DOSE;1397;;;;
ARUJÁ;1° DOSE;6387;;;;
ARUJÁ;2° DOSE;1971;;;;
ASPÁSIA;1° DOSE;263;;;;
ASPÁSIA;2° DOSE;106;;;;
ASSIS;1° DOSE;14091;;;;
ASSIS;2° DOSE;5091;;;;
ATIBAIA;1° DOSE;17941;;;;
ATIBAIA;2° DOSE;6287;;;;
AURIFLAMA;1° DOSE;1872;;;;
AURIFLAMA;2° DOSE;543;;;;
AVAÍ;1° DOSE;870;;;;
AVAÍ;2° DOSE;527;;;;
AVANHANDAVA;1° DOSE;971;;;;
AVANHANDAVA;2° DOSE;256;;;;
AVARÉ;1° DOSE;10756;;;;
AVARÉ;2° DOSE;3265;;;;
BADY BASSITT;1° DOSE;1378;;;;
BADY BASSITT;2° DOSE;779;;;;
BALBINOS;1° DOSE;269;;;;
BALBINOS;2° DOSE;87;;;;
BÁLSAMO;1° DOSE;1380;;;;
BÁLSAMO;2° DOSE;483;;;;
BANANAL;1° DOSE;1383;;;;
BANANAL;2° DOSE;463;;;;
BARÃO DE ANTONINA;1° DOSE;434;;;;
BARÃO DE ANTONINA;2° DOSE;174;;;;
BARBOSA;1° DOSE;660;;;;
BARBOSA;2° DOSE;241;;;;
BARIRI;1° DOSE;4318;;;;
BARIRI;2° DOSE;1398;;;;
BARRA BONITA;1° DOSE;4636;;;;
BARRA BONITA;2° DOSE;1472;;;;
BARRA DO CHAPÉU;1° DOSE;432;;;;
BARRA DO CHAPÉU;2° DOSE;114;;;;
BARRA DO TURVO;1° DOSE;1351;;;;
BARRA DO TURVO;2° DOSE;595;;;;
BARRETOS;1° DOSE;17145;;;;
BARRETOS;2° DOSE;6647;;;;
BARRINHA;1° DOSE;2188;;;;
BARRINHA;2° DOSE;715;;;;
BARUERI;1° DOSE;23781;;;;
BARUERI;2° DOSE;10148;;;;
BASTOS;1° DOSE;2424;;;;
BASTOS;2° DOSE;827;;;;
BATATAIS;1° DOSE;4980;;;;
BATATAIS;2° DOSE;1860;;;;
BAURU;1° DOSE;53153;;;;
BAURU;2° DOSE;20871;;;;
BEBEDOURO;1° DOSE;8656;;;;
BEBEDOURO;2° DOSE;2572;;;;
BENTO DE ABREU;1° DOSE;298;;;;
BENTO DE ABREU;2° DOSE;97;;;;
BERNARDINO DE CAMPOS;1° DOSE;1721;;;;
BERNARDINO DE CAMPOS;2° DOSE;587;;;;
BERTIOGA;1° DOSE;4682;;;;
BERTIOGA;2° DOSE;1655;;;;
BILAC;1° DOSE;1225;;;;
BILAC;2° DOSE;392;;;;
BIRIGUI;1° DOSE;12374;;;;
BIRIGUI;2° DOSE;3314;;;;
BIRITIBA MIRIM;1° DOSE;2652;;;;
BIRITIBA MIRIM;2° DOSE;727;;;;
BOA ESPERANÇA DO SUL;1° DOSE;1303;;;;
BOA ESPERANÇA DO SUL;2° DOSE;399;;;;
BOCAINA;1° DOSE;1212;;;;
BOCAINA;2° DOSE;340;;;;
BOFETE;1° DOSE;1181;;;;
BOFETE;2° DOSE;282;;;;
BOITUVA;1° DOSE;4552;;;;
BOITUVA;2° DOSE;1294;;;;
BOM JESUS DOS PERDÕES;1° DOSE;1970;;;;
BOM JESUS DOS PERDÕES;2° DOSE;431;;;;
BOM SUCESSO DE ITARARÉ;1° DOSE;291;;;;
BOM SUCESSO DE ITARARÉ;2° DOSE;67;;;;
BORÁ;1° DOSE;134;;;;
BORÁ;2° DOSE;59;;;;
BORACÉIA;1° DOSE;585;;;;
BORACÉIA;2° DOSE;125;;;;
BORBOREMA;1° DOSE;1838;;;;
BORBOREMA;2° DOSE;517;;;;
BOREBI;1° DOSE;254;;;;
BOREBI;2° DOSE;74;;;;
BOTUCATU;1° DOSE;23159;;;;
BOTUCATU;2° DOSE;7953;;;;
BRAGANÇA PAULISTA;1° DOSE;19759;;;;
BRAGANÇA PAULISTA;2° DOSE;6897;;;;
BRAÚNA;1° DOSE;749;;;;
BRAÚNA;2° DOSE;334;;;;
BREJO ALEGRE;1° DOSE;375;;;;
BREJO ALEGRE;2° DOSE;163;;;;
BRODOWSKI;1° DOSE;2573;;;;
BRODOWSKI;2° DOSE;1064;;;;
BROTAS;1° DOSE;2449;;;;
BROTAS;2° DOSE;812;;;;
BURI;1° DOSE;1447;;;;
BURI;2° DOSE;288;;;;
BURITAMA;1° DOSE;1977;;;;
BURITAMA;2° DOSE;663;;;;
BURITIZAL;1° DOSE;593;;;;
BURITIZAL;2° DOSE;228;;;;
CABRÁLIA PAULISTA;1° DOSE;508;;;;
CABRÁLIA PAULISTA;2° DOSE;160;;;;
CABREÚVA;1° DOSE;2708;;;;
CABREÚVA;2° DOSE;847;;;;
CAÇAPAVA;1° DOSE;10282;;;;
CAÇAPAVA;2° DOSE;3192;;;;
CACHOEIRA PAULISTA;1° DOSE;3666;;;;
CACHOEIRA PAULISTA;2° DOSE;990;;;;
CACONDE;1° DOSE;2249;;;;
CACONDE;2° DOSE;477;;;;
CAFELÂNDIA;1° DOSE;2020;;;;
CAFELÂNDIA;2° DOSE;571;;;;
CAIABU;1° DOSE;482;;;;
CAIABU;2° DOSE;151;;;;
CAIEIRAS;1° DOSE;7909;;;;
CAIEIRAS;2° DOSE;2444;;;;
CAIUÁ;1° DOSE;755;;;;
CAIUÁ;2° DOSE;210;;;;
CAJAMAR;1° DOSE;5149;;;;
CAJAMAR;2° DOSE;1527;;;;
CAJATI;1° DOSE;2369;;;;
CAJATI;2° DOSE;706;;;;
CAJOBI;1° DOSE;1258;;;;
CAJOBI;2° DOSE;562;;;;
CAJURU;1° DOSE;2439;;;;
CAJURU;2° DOSE;810;;;;
CAMPINA DO MONTE ALEGRE;1° DOSE;690;;;;
CAMPINA DO MONTE ALEGRE;2° DOSE;148;;;;
CAMPINAS;1° DOSE;140568;;;;
CAMPINAS;2° DOSE;53363;;;;
CAMPO LIMPO PAULISTA;1° DOSE;5536;;;;
CAMPO LIMPO PAULISTA;2° DOSE;1728;;;;
CAMPOS DO JORDÃO;1° DOSE;4724;;;;
CAMPOS DO JORDÃO;2° DOSE;1510;;;;
CAMPOS NOVOS PAULISTA;1° DOSE;561;;;;
CAMPOS NOVOS PAULISTA;2° DOSE;180;;;;
CANANÉIA;1° DOSE;1424;;;;
CANANÉIA;2° DOSE;456;;;;
CANAS;1° DOSE;358;;;;
CANAS;2° DOSE;123;;;;
CÂNDIDO MOTA;1° DOSE;3599;;;;
CÂNDIDO MOTA;2° DOSE;1180;;;;
CÂNDIDO RODRIGUES;1° DOSE;500;;;;
CÂNDIDO RODRIGUES;2° DOSE;123;;;;
CANITAR;1° DOSE;348;;;;
CANITAR;2° DOSE;124;;;;
CAPÃO BONITO;1° DOSE;4424;;;;
CAPÃO BONITO;2° DOSE;1014;;;;
CAPELA DO ALTO;1° DOSE;1441;;;;
CAPELA DO ALTO;2° DOSE;343;;;;
CAPIVARI;1° DOSE;5018;;;;
CAPIVARI;2° DOSE;1662;;;;
CARAGUATATUBA;1° DOSE;11007;;;;
CARAGUATATUBA;2° DOSE;4301;;;;
CARAPICUÍBA;1° DOSE;24311;;;;
CARAPICUÍBA;2° DOSE;6575;;;;
CARDOSO;1° DOSE;1599;;;;
CARDOSO;2° DOSE;389;;;;
CASA BRANCA;1° DOSE;3422;;;;
CASA BRANCA;2° DOSE;1185;;;;
CÁSSIA DOS COQUEIROS;1° DOSE;354;;;;
CÁSSIA DOS COQUEIROS;2° DOSE;124;;;;
CASTILHO;1° DOSE;2228;;;;
CASTILHO;2° DOSE;648;;;;
CATANDUVA;1° DOSE;19447;;;;
CATANDUVA;2° DOSE;7634;;;;
CATIGUÁ;1° DOSE;860;;;;
CATIGUÁ;2° DOSE;196;;;;
CEDRAL;1° DOSE;1641;;;;
CEDRAL;2° DOSE;551;;;;
CERQUEIRA CÉSAR;1° DOSE;2260;;;;
CERQUEIRA CÉSAR;2° DOSE;726;;;;
CERQUILHO;1° DOSE;4186;;;;
CERQUILHO;2° DOSE;955;;;;
CESÁRIO LANGE;1° DOSE;1567;;;;
CESÁRIO LANGE;2° DOSE;485;;;;
CHARQUEADA;1° DOSE;1387;;;;
CHARQUEADA;2° DOSE;439;;;;
CHAVANTES;1° DOSE;1350;;;;
CHAVANTES;2° DOSE;375;;;;
CLEMENTINA;1° DOSE;693;;;;
CLEMENTINA;2° DOSE;273;;;;
COLINA;1° DOSE;2160;;;;
COLINA;2° DOSE;601;;;;
COLÔMBIA;1° DOSE;706;;;;
COLÔMBIA;2° DOSE;275;;;;
CONCHAL;1° DOSE;2376;;;;
CONCHAL;2° DOSE;784;;;;
CONCHAS;1° DOSE;2018;;;;
CONCHAS;2° DOSE;615;;;;
CORDEIRÓPOLIS;1° DOSE;2300;;;;
CORDEIRÓPOLIS;2° DOSE;610;;;;
COROADOS;1° DOSE;597;;;;
COROADOS;2° DOSE;178;;;;
CORONEL MACEDO;1° DOSE;611;;;;
CORONEL MACEDO;2° DOSE;231;;;;
CORUMBATAÍ;1° DOSE;527;;;;
CORUMBATAÍ;2° DOSE;135;;;;
COSMÓPOLIS;1° DOSE;4998;;;;
COSMÓPOLIS;2° DOSE;1165;;;;
COSMORAMA;1° DOSE;1134;;;;
COSMORAMA;2° DOSE;294;;;;
COTIA;1° DOSE;13457;;;;
COTIA;2° DOSE;4531;;;;
CRAVINHOS;1° DOSE;2754;;;;
CRAVINHOS;2° DOSE;692;;;;
CRISTAIS PAULISTA;1° DOSE;912;;;;
CRISTAIS PAULISTA;2° DOSE;231;;;;
CRUZÁLIA;1° DOSE;308;;;;
CRUZÁLIA;2° DOSE;117;;;;
CRUZEIRO;1° DOSE;7943;;;;
CRUZEIRO;2° DOSE;2517;;;;
CUBATÃO;1° DOSE;10090;;;;
CUBATÃO;2° DOSE;3052;;;;
CUNHA;1° DOSE;2445;;;;
CUNHA;2° DOSE;784;;;;
DESCALVADO;1° DOSE;4929;;;;
DESCALVADO;2° DOSE;1635;;;;
DIADEMA;1° DOSE;30120;;;;
DIADEMA;2° DOSE;9274;;;;
DIRCE REIS;1° DOSE;275;;;;
DIRCE REIS;2° DOSE;96;;;;
DIVINOLÂNDIA;1° DOSE;2048;;;;
DIVINOLÂNDIA;2° DOSE;640;;;;
DOBRADA;1° DOSE;587;;;;
DOBRADA;2° DOSE;209;;;;
DOIS CÓRREGOS;1° DOSE;2971;;;;
DOIS CÓRREGOS;2° DOSE;970;;;;
DOLCINÓPOLIS;1° DOSE;344;;;;
DOLCINÓPOLIS;2° DOSE;110;;;;
DOURADO;1° DOSE;1156;;;;
DOURADO;2° DOSE;367;;;;
DRACENA;1° DOSE;7353;;;;
DRACENA;2° DOSE;2902;;;;
DUARTINA;1° DOSE;2028;;;;
DUARTINA;2° DOSE;649;;;;
DUMONT;1° DOSE;845;;;;
DUMONT;2° DOSE;272;;;;
ECHAPORÃ;1° DOSE;792;;;;
ECHAPORÃ;2° DOSE;366;;;;
ELDORADO;1° DOSE;2885;;;;
ELDORADO;2° DOSE;1516;;;;
ELIAS FAUSTO;1° DOSE;1349;;;;
ELIAS FAUSTO;2° DOSE;397;;;;
ELISIÁRIO;1° DOSE;414;;;;
ELISIÁRIO;2° DOSE;138;;;;
EMBAÚBA;1° DOSE;314;;;;
EMBAÚBA;2° DOSE;80;;;;
EMBU DAS ARTES;1° DOSE;14692;;;;
EMBU DAS ARTES;2° DOSE;5932;;;;
EMBU-GUAÇU;1° DOSE;5657;;;;
EMBU-GUAÇU;2° DOSE;2253;;;;
EMILIANÓPOLIS;1° DOSE;454;;;;
EMILIANÓPOLIS;2° DOSE;166;;;;
ENGENHEIRO COELHO;1° DOSE;1376;;;;
ENGENHEIRO COELHO;2° DOSE;510;;;;
ESPÍRITO SANTO DO PINHAL;1° DOSE;5685;;;;
ESPÍRITO SANTO DO PINHAL;2° DOSE;2001;;;;
ESPÍRITO SANTO DO TURVO;1° DOSE;364;;;;
ESPÍRITO SANTO DO TURVO;2° DOSE;123;;;;
ESTIVA GERBI;1° DOSE;891;;;;
ESTIVA GERBI;2° DOSE;245;;;;
ESTRELA DO NORTE;1° DOSE;242;;;;
ESTRELA DO NORTE;2° DOSE;69;;;;
ESTRELA D'OESTE;1° DOSE;1271;;;;
ESTRELA D'OESTE;2° DOSE;444;;;;
EUCLIDES DA CUNHA PAULISTA;1° DOSE;853;;;;
EUCLIDES DA CUNHA PAULISTA;2° DOSE;259;;;;
FARTURA;1° DOSE;2029;;;;
FARTURA;2° DOSE;539;;;;
FERNANDO PRESTES;1° DOSE;915;;;;
FERNANDO PRESTES;2° DOSE;365;;;;
FERNANDÓPOLIS;1° DOSE;11361;;;;
FERNANDÓPOLIS;2° DOSE;4531;;;;
FERNÃO;1° DOSE;283;;;;
FERNÃO;2° DOSE;85;;;;
FERRAZ DE VASCONCELOS;1° DOSE;10783;;;;
FERRAZ DE VASCONCELOS;2° DOSE;3517;;;;
FLORA RICA;1° DOSE;415;;;;
FLORA RICA;2° DOSE;161;;;;
FLOREAL;1° DOSE;496;;;;
FLOREAL;2° DOSE;114;;;;
FLÓRIDA PAULISTA;1° DOSE;1491;;;;
FLÓRIDA PAULISTA;2° DOSE;525;;;;
FLORÍNEA;1° DOSE;387;;;;
FLORÍNEA;2° DOSE;149;;;;
FRANCA;1° DOSE;30761;;;;
FRANCA;2° DOSE;8326;;;;
FRANCISCO MORATO;1° DOSE;10367;;;;
FRANCISCO MORATO;2° DOSE;2906;;;;
