Município;Dose;Total Doses Aplicadas;;;;
ADAMANTINA;1° DOSE;8275;;;;
ADAMANTINA;2° DOSE;5294;;;;
ADOLFO;1° DOSE;915;;;;
ADOLFO;2° DOSE;538;;;;
AGUAÍ;1° DOSE;4980;;;;
AGUAÍ;2° DOSE;3063;;;;
ÁGUAS DA PRATA;1° DOSE;1905;;;;
ÁGUAS DA PRATA;2° DOSE;1011;;;;
ÁGUAS DE LINDÓIA;1° DOSE;3749;;;;
ÁGUAS DE LINDÓIA;2° DOSE;2088;;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1085;;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;678;;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1162;;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;663;;;;
AGUDOS;1° DOSE;6995;;;;
AGUDOS;2° DOSE;4148;;;;
ALAMBARI;1° DOSE;999;;;;
ALAMBARI;2° DOSE;425;;;;
ALFREDO MARCONDES;1° DOSE;1166;;;;
ALFREDO MARCONDES;2° DOSE;678;;;;
ALTAIR;1° DOSE;595;;;;
ALTAIR;2° DOSE;421;;;;
ALTINÓPOLIS;1° DOSE;3201;;;;
ALTINÓPOLIS;2° DOSE;2045;;;;
ALTO ALEGRE;1° DOSE;1049;;;;
ALTO ALEGRE;2° DOSE;625;;;;
ALUMÍNIO;1° DOSE;2223;;;;
ALUMÍNIO;2° DOSE;1209;;;;
ÁLVARES FLORENCE;1° DOSE;958;;;;
ÁLVARES FLORENCE;2° DOSE;527;;;;
ÁLVARES MACHADO;1° DOSE;4278;;;;
ÁLVARES MACHADO;2° DOSE;2529;;;;
ÁLVARO DE CARVALHO;1° DOSE;620;;;;
ÁLVARO DE CARVALHO;2° DOSE;383;;;;
ALVINLÂNDIA;1° DOSE;590;;;;
ALVINLÂNDIA;2° DOSE;305;;;;
AMERICANA;1° DOSE;41898;;;;
AMERICANA;2° DOSE;23508;;;;
AMÉRICO BRASILIENSE;1° DOSE;5299;;;;
AMÉRICO BRASILIENSE;2° DOSE;3401;;;;
AMÉRICO DE CAMPOS;1° DOSE;1281;;;;
AMÉRICO DE CAMPOS;2° DOSE;720;;;;
AMPARO;1° DOSE;13350;;;;
AMPARO;2° DOSE;8243;;;;
ANALÂNDIA;1° DOSE;813;;;;
ANALÂNDIA;2° DOSE;496;;;;
ANDRADINA;1° DOSE;11836;;;;
ANDRADINA;2° DOSE;7202;;;;
ANGATUBA;1° DOSE;4067;;;;
ANGATUBA;2° DOSE;1953;;;;
