Município;Dose;Total Doses Aplicadas;;;
ADAMANTINA;1° DOSE;9500;;;
ADAMANTINA;2° DOSE;5614;;;
ADOLFO;1° DOSE;1064;;;
ADOLFO;2° DOSE;577;;;
AGUAÍ;1° DOSE;5879;;;
AGUAÍ;2° DOSE;3308;;;
ÁGUAS DA PRATA;1° DOSE;2190;;;
ÁGUAS DA PRATA;2° DOSE;1062;;;
ÁGUAS DE LINDÓIA;1° DOSE;4060;;;
ÁGUAS DE LINDÓIA;2° DOSE;2138;;;
ÁGUAS DE SANTA BÁRBARA;1° DOSE;1104;;;
ÁGUAS DE SANTA BÁRBARA;2° DOSE;703;;;
ÁGUAS DE SÃO PEDRO;1° DOSE;1316;;;
ÁGUAS DE SÃO PEDRO;2° DOSE;664;;;
AGUDOS;1° DOSE;7966;;;
AGUDOS;2° DOSE;4832;;;
ALAMBARI;1° DOSE;1180;;;
ALAMBARI;2° DOSE;427;;;
ALFREDO MARCONDES;1° DOSE;1241;;;
ALFREDO MARCONDES;2° DOSE;736;;;
ALTAIR;1° DOSE;709;;;
ALTAIR;2° DOSE;421;;;
ALTINÓPOLIS;1° DOSE;3728;;;
ALTINÓPOLIS;2° DOSE;2230;;;
ALTO ALEGRE;1° DOSE;1149;;;
ALTO ALEGRE;2° DOSE;657;;;
ALUMÍNIO;1° DOSE;2550;;;
ALUMÍNIO;2° DOSE;1317;;;
ÁLVARES FLORENCE;1° DOSE;1016;;;
ÁLVARES FLORENCE;2° DOSE;557;;;
ÁLVARES MACHADO;1° DOSE;4986;;;
ÁLVARES MACHADO;2° DOSE;2591;;;
ÁLVARO DE CARVALHO;1° DOSE;726;;;
ÁLVARO DE CARVALHO;2° DOSE;428;;;
ALVINLÂNDIA;1° DOSE;649;;;
ALVINLÂNDIA;2° DOSE;326;;;
AMERICANA;1° DOSE;45773;;;
AMERICANA;2° DOSE;25119;;;
AMÉRICO BRASILIENSE;1° DOSE;5969;;;
AMÉRICO BRASILIENSE;2° DOSE;3589;;;
AMÉRICO DE CAMPOS;1° DOSE;1488;;;
AMÉRICO DE CAMPOS;2° DOSE;777;;;
AMPARO;1° DOSE;14626;;;
AMPARO;2° DOSE;8465;;;
ANALÂNDIA;1° DOSE;974;;;
ANALÂNDIA;2° DOSE;554;;;
ANDRADINA;1° DOSE;12061;;;
ANDRADINA;2° DOSE;7717;;;
ANGATUBA;1° DOSE;4540;;;
ANGATUBA;2° DOSE;1983;;;
ANHEMBI;1° DOSE;1164;;;
ANHEMBI;2° DOSE;501;;;
ANHUMAS;1° DOSE;910;;;
ANHUMAS;2° DOSE;487;;;
APARECIDA;1° DOSE;6599;;;
APARECIDA;2° DOSE;3652;;;
