Município,Dose,Total Doses Aplicadas
BORÁ,2° DOSE,157
NOVA CASTILHO,2° DOSE,207
UNIÃO PAULISTA,2° DOSE,253
TRABIJU,2° DOSE,266
URU,2° DOSE,261
PAULISTÂNIA,2° DOSE,288
VITÓRIA BRASIL,2° DOSE,310
FERNÃO,2° DOSE,328
SANTA SALETE,2° DOSE,372
DIRCE REIS,2° DOSE,347
PRACINHA,2° DOSE,262
SÃO JOÃO DE IRACEMA,2° DOSE,339
JUMIRIM,2° DOSE,372
SÃO JOÃO DAS DUAS PONTES,2° DOSE,404
ASPÁSIA,2° DOSE,343
BALBINOS,2° DOSE,314
GUARANI D'OESTE,2° DOSE,355
MESÓPOLIS,2° DOSE,402
SANTA CRUZ DA ESPERANÇA,2° DOSE,396
BOREBI,2° DOSE,311
ARAPEÍ,2° DOSE,400
SANTANA DA PONTE PENSA,2° DOSE,394
BENTO DE ABREU,2° DOSE,353
BOM SUCESSO DE ITARARÉ,2° DOSE,362
LUCIANÓPOLIS,2° DOSE,428
TURIÚBA,2° DOSE,398
MARINÓPOLIS,2° DOSE,401
EMBAÚBA,2° DOSE,382
CRUZÁLIA,2° DOSE,382
ALVINLÂNDIA,2° DOSE,451
FLORA RICA,2° DOSE,459
SAGRES,2° DOSE,411
NOVA GUATAPORANGA,2° DOSE,416
SANTA MERCEDES,2° DOSE,462
SANTA CLARA D'OESTE,2° DOSE,369
ZACARIAS,2° DOSE,402
BREJO ALEGRE,2° DOSE,471
MONÇÕES,2° DOSE,434
RUBIÁCEA,2° DOSE,426
NOVA CANAÃ PAULISTA,2° DOSE,397
TORRE DE PEDRA,2° DOSE,407
TAQUARAL,2° DOSE,404
LOURDES,2° DOSE,431
AREIAS,2° DOSE,486
DOLCINÓPOLIS,2° DOSE,410
QUEIROZ,2° DOSE,386
ARCO-ÍRIS,2° DOSE,548
CÁSSIA DOS COQUEIROS,2° DOSE,443
SÃO JOÃO DO PAU D'ALHO,2° DOSE,488
NANTES,2° DOSE,351
ELISIÁRIO,2° DOSE,488
PONTES GESTAL,2° DOSE,433
ÓLEO,2° DOSE,518
TURMALINA,2° DOSE,475
MOMBUCA,2° DOSE,459
RIBEIRA,2° DOSE,551
PARISI,2° DOSE,451
ESTRELA DO NORTE,2° DOSE,368
LUTÉCIA,2° DOSE,474
NOVA INDEPENDÊNCIA,2° DOSE,436
SANTA RITA D'OESTE,2° DOSE,513
CANAS,2° DOSE,468
ITAJU,2° DOSE,504
GABRIEL MONTEIRO,2° DOSE,465
TIMBURI,2° DOSE,486
PLATINA,2° DOSE,486
JERIQUARA,2° DOSE,456
NOVA LUZITÂNIA,2° DOSE,549
ITAPIRAPUÃ PAULISTA,2° DOSE,486
RIBEIRÃO DOS ÍNDIOS,2° DOSE,537
PONTALINDA,2° DOSE,503
QUADRA,2° DOSE,469
PEDRANÓPOLIS,2° DOSE,524
ALTAIR,2° DOSE,536
SÃO FRANCISCO,2° DOSE,546
ÁLVARO DE CARVALHO,2° DOSE,520
SANTO EXPEDITO,2° DOSE,571
RIBEIRÃO CORRENTE,2° DOSE,548
MONTEIRO LOBATO,2° DOSE,653
JÚLIO MESQUITA,2° DOSE,552
SANTÓPOLIS DO AGUAPEÍ,2° DOSE,577
MARAPOAMA,2° DOSE,549
OSCAR BRESSANE,2° DOSE,583
MARIÁPOLIS,2° DOSE,571
CORUMBATAÍ,2° DOSE,563
NIPOÃ,2° DOSE,555
CÂNDIDO RODRIGUES,2° DOSE,607
LUPÉRCIO,2° DOSE,626
RUBINÉIA,2° DOSE,517
TEJUPÁ,2° DOSE,534
SANDOVALINA,2° DOSE,497
FLORÍNEA,2° DOSE,522
GLICÉRIO,2° DOSE,628
EMILIANÓPOLIS,2° DOSE,538
JOÃO RAMALHO,2° DOSE,493
PRATÂNIA,2° DOSE,499
NOVAIS,2° DOSE,613
CABRÁLIA PAULISTA,2° DOSE,618
SARUTAIÁ,2° DOSE,579
GASTÃO VIDIGAL,2° DOSE,589
PEDRINHAS PAULISTA,2° DOSE,525
ITAOCA,2° DOSE,698
REDENÇÃO DA SERRA,2° DOSE,592
CANITAR,2° DOSE,464
MAGDA,2° DOSE,608
ESPÍRITO SANTO DO TURVO,2° DOSE,468
MOTUCA,2° DOSE,527
ANHUMAS,2° DOSE,614
BARÃO DE ANTONINA,2° DOSE,597
ONDA VERDE,2° DOSE,606
INÚBIA PAULISTA,2° DOSE,626
MARABÁ PAULISTA,2° DOSE,551
SEBASTIANÓPOLIS DO SUL,2° DOSE,563
SUZANÁPOLIS,2° DOSE,529
MIRA ESTRELA,2° DOSE,565
RIFAINA,2° DOSE,580
UBIRAJARA,2° DOSE,634
GUZOLÂNDIA,2° DOSE,601
LUIZIÂNIA,2° DOSE,682
TAQUARIVAÍ,2° DOSE,483
GAVIÃO PEIXOTO,2° DOSE,598
PARANAPUÃ,2° DOSE,603
PONGAÍ,2° DOSE,653
FLOREAL,2° DOSE,651
CAIABU,2° DOSE,646
PRESIDENTE ALVES,2° DOSE,782
NARANDIBA,2° DOSE,570
UBARANA,2° DOSE,612
SÃO JOSÉ DO BARREIRO,2° DOSE,611
SANTA MARIA DA SERRA,2° DOSE,805
BARRA DO CHAPÉU,2° DOSE,575
BORACÉIA,2° DOSE,713
PIQUEROBI,2° DOSE,717
ÁLVARES FLORENCE,2° DOSE,768
ANALÂNDIA,2° DOSE,648
MONTE CASTELO,2° DOSE,729
PLANALTO,2° DOSE,586
LAVRINHAS,2° DOSE,606
IARAS,2° DOSE,626
ITAPURA,2° DOSE,668
OCAUÇU,2° DOSE,660
MERIDIANO,2° DOSE,640
ARAMINA,2° DOSE,771
JAMBEIRO,2° DOSE,780
MURUTINGA DO SUL,2° DOSE,830
BURITIZAL,2° DOSE,718
SANTA ERNESTINA,2° DOSE,618
MACEDÔNIA,2° DOSE,659
IPORANGA,2° DOSE,801
SALMOURÃO,2° DOSE,740
CAMPOS NOVOS PAULISTA,2° DOSE,677
MIRASSOLÂNDIA,2° DOSE,769
ADOLFO,2° DOSE,716
ALTO ALEGRE,2° DOSE,837
CORONEL MACEDO,2° DOSE,700
CAIUÁ,2° DOSE,856
IPEÚNA,2° DOSE,618
GUARANTÃ,2° DOSE,876
PIACATU,2° DOSE,822
RIBEIRÃO DO SUL,2° DOSE,785
INDIAPORÃ,2° DOSE,843
ALAMBARI,2° DOSE,759
BRAÚNA,2° DOSE,881
IPIGUÁ,2° DOSE,724
PARDINHO,2° DOSE,822
GUAIMBÊ,2° DOSE,828
PAULICÉIA,2° DOSE,778
ITIRAPUÃ,2° DOSE,939
COROADOS,2° DOSE,730
CAMPINA DO MONTE ALEGRE,2° DOSE,807
NOVA CAMPINA,2° DOSE,777
ORINDIÚVA,2° DOSE,633
POPULINA,2° DOSE,820
ÁGUAS DE SANTA BÁRBARA,2° DOSE,876
MENDONÇA,2° DOSE,894
SANTA LÚCIA,2° DOSE,813
INDIANA,2° DOSE,848
ANHEMBI,2° DOSE,804
ÁGUAS DE SÃO PEDRO,2° DOSE,930
RIVERSUL,2° DOSE,870
TACIBA,2° DOSE,795
SILVEIRAS,2° DOSE,897
DOBRADA,2° DOSE,842
AVAÍ,2° DOSE,1140
COLÔMBIA,2° DOSE,890
ALFREDO MARCONDES,2° DOSE,960
APARECIDA D'OESTE,2° DOSE,872
LAVÍNIA,2° DOSE,844
SÃO JOSÉ DA BELA VISTA,2° DOSE,951
RESTINGA,2° DOSE,745
VISTA ALEGRE DO ALTO,2° DOSE,918
SABINO,2° DOSE,1007
TARABAI,2° DOSE,844
SANTA CRUZ DA CONCEIÇÃO,2° DOSE,985
BARBOSA,2° DOSE,880
PALMARES PAULISTA,2° DOSE,881
CLEMENTINA,2° DOSE,876
ARANDU,2° DOSE,852
TAIÚVA,2° DOSE,1069
TAIAÇU,2° DOSE,946
LAGOINHA,2° DOSE,873
PEDRA BELA,2° DOSE,914
TUIUTI,2° DOSE,1052
GUATAPARÁ,2° DOSE,995
SANTO ANTÔNIO DO PINHAL,2° DOSE,907
NATIVIDADE DA SERRA,2° DOSE,1069
AMÉRICO DE CAMPOS,2° DOSE,1019
JABORANDI,2° DOSE,992
RIBEIRÃO GRANDE,2° DOSE,901
PARAÍSO,2° DOSE,947
QUINTANA,2° DOSE,961
IACRI,2° DOSE,956
SANTO ANTÔNIO DO ARACANGUÁ,2° DOSE,1053
ECHAPORÃ,2° DOSE,1099
ORIENTE,2° DOSE,1020
IRAPUÃ,2° DOSE,1039
SANTO ANTÔNIO DO JARDIM,2° DOSE,986
FERNANDO PRESTES,2° DOSE,1180
TRÊS FRONTEIRAS,2° DOSE,1078
LINDÓIA,2° DOSE,1094
NOVA ALIANÇA,2° DOSE,1045
CRISTAIS PAULISTA,2° DOSE,1074
JACI,2° DOSE,1073
SÃO PEDRO DO TURVO,2° DOSE,1114
POLONI,2° DOSE,1072
SALES,2° DOSE,980
