Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
SANTANA DA PONTE PENSA;UNICA;32
SANTA SALETE;UNICA;30
FLORA RICA;UNICA;19
VITÓRIA BRASIL;UNICA;37
SÃO JOÃO DE IRACEMA;UNICA;35
PAULISTÂNIA;UNICA;38
ASPÁSIA;UNICA;15
MESÓPOLIS;UNICA;36
TURIÚBA;UNICA;39
MARINÓPOLIS;UNICA;40
SANTA CRUZ DA ESPERANÇA;UNICA;40
ARCO-ÍRIS;UNICA;30
GUARANI D'OESTE;UNICA;30
SAGRES;UNICA;46
TURMALINA;UNICA;23
NOVA CANAÃ PAULISTA;UNICA;25
MONÇÕES;UNICA;50
EMBAÚBA;UNICA;60
BOREBI;UNICA;50
DOLCINÓPOLIS;UNICA;54
SÃO JOÃO DO PAU D'ALHO;UNICA;30
LUCIANÓPOLIS;UNICA;44
CRUZÁLIA;UNICA;32
ARAPEÍ;UNICA;54
NOVA GUATAPORANGA;UNICA;35
BENTO DE ABREU;UNICA;72
RIBEIRÃO DOS ÍNDIOS;UNICA;44
LOURDES;UNICA;47
SÃO JOÃO DAS DUAS PONTES;UNICA;60
SANTA CLARA D'OESTE;UNICA;32
BREJO ALEGRE;UNICA;72
ÓLEO;UNICA;57
TORRE DE PEDRA;UNICA;50
PONTES GESTAL;UNICA;61
PARISI;UNICA;45
CÁSSIA DOS COQUEIROS;UNICA;52
ZACARIAS;UNICA;69
TAQUARAL;UNICA;59
NANTES;UNICA;59
ALVINLÂNDIA;UNICA;58
OSCAR BRESSANE;UNICA;45
RUBIÁCEA;UNICA;48
LUTÉCIA;UNICA;55
GABRIEL MONTEIRO;UNICA;62
JUMIRIM;UNICA;99
TIMBURI;UNICA;39
NOVA LUZITÂNIA;UNICA;126
ESTRELA DO NORTE;UNICA;48
SANTA MERCEDES;UNICA;53
MOMBUCA;UNICA;71
PEDRANÓPOLIS;UNICA;56
QUEIROZ;UNICA;85
SANTA RITA D'OESTE;UNICA;58
PLATINA;UNICA;77
JERIQUARA;UNICA;71
SÃO FRANCISCO;UNICA;43
RIBEIRA;UNICA;58
SANTO EXPEDITO;UNICA;60
CÂNDIDO RODRIGUES;UNICA;56
BOM SUCESSO DE ITARARÉ;UNICA;77
ELISIÁRIO;UNICA;100
FLOREAL;UNICA;50
MARAPOAMA;UNICA;71
PEDRINHAS PAULISTA;UNICA;55
ITAJU;UNICA;97
MIRA ESTRELA;UNICA;51
MAGDA;UNICA;65
ALTAIR;UNICA;115
EMILIANÓPOLIS;UNICA;70
