Município;Qtd Dose
ZACARIAS;241
VOTUPORANGA;14146
VOTORANTIM;18608
VITÓRIA BRASIL;183
VISTA ALEGRE DO ALTO;515
VIRADOURO;1175
VINHEDO;7558
VERA CRUZ;1369
VARZEA PAULISTA;6386
VARGEM GRANDE PAULISTA;3120
VARGEM GRANDE DO SUL;4618
VARGEM;1169
VALPARAISO;3179
VALINHOS;11470
VALENTIM GENTIL;918
URUPÊS;1549
URU;214
URÂNIA;1248
UNIÃO PAULISTA;184
UCHÔA;1229
UBIRAJARA;464
UBATUBA;5066
UBARANA;378
TURMALINA;317
TURIUBA;257
TUPI PAULISTA;2443
TUPA;11086
TUIUTI;603
TRÊS FRONTEIRAS;694
TREMEMBE;5544
TRABIJÚ;190
TORRINHA;1176
TORRE DE PEDRA;317
TIMBURI;324
TIETÊ;9346
TERRA ROXA;809
TEODORO SAMPAIO;1726
TEJUPÁ;270
TAUBATE;31602
TATUÍ;11897
TARUMÃ;934
TARABAI;558
TAQUARIVAI;346
TAQUARITUBA;2388
TAQUARITINGA;7189
TAQUARAL;217
TAPIRATIBA;1302
TAPIRAÍ;743
TANABI;2906
TAMBAU;2258
TAIUVA;702
TAIAÇU;810
TAGUAÍ;907
TACIBA;546
TABOÃO DA SERRA;24217
TABATINGA;1309
TABAPUÃ;1282
SUZANO;17869
SUZANAPOLIS;329
SUMARE;18127
SUD MENNUCCI;822
SOROCABA;64587
SOCORRO;4338
SILVEIRAS;559
SEVERÍNIA;943
SETE BARRAS;944
SERTAOZINHO;10620
SERRANA;3312
SERRA NEGRA;3247
SERRA AZUL;1024
SEBASTIANÓPOLIS DO SUL;375
SARUTAIA;388
SARAPUÍ;636
SÃO VICENTE;28396
SAO SIMAO;1662
SAO SEBASTIAO DA GRAMA;1191
SÃO SEBASTIÃO;4110
SÃO ROQUE;9280
SÃO PEDRO DO TURVO;626
SÃO PEDRO;3386
SÃO PAULO;1421228
SÃO MIGUEL ARCANJO;2255
SÃO MANUEL;3882
SAO LUIZ DO PARAITINGA;960
SÃO LOURENÇO DA SERRA;906
SÃO JOSÉ DOS CAMPOS;69258
SÃO JOSÉ DO RIO PRETO;60632
SAO JOSE DO RIO PARDO;7070
SAO JOSE DO BARREIRO;423
SÃO JOSÉ DA BELA VISTA;600
SÃO JOAQUIM DA BARRA;5806
SÃO JOÃO DO PAU D'ALHO;328
SÃO JOÃO DE IRACEMA;250
SÃO JOÃO DAS DUAS PONTES;229
SAO JOAO DA BOA VISTA;13887
SÃO FRANCISCO;330
SÃO CARLOS;29209
