Municipio;Qtd-Doses-Distribuidas;;
ADAMANTINA;8949;;
ADOLFO;819;;
AGUAI;5012;;
AGUAS DA PRATA;1976;;
AGUAS DE LINDOIA;3613;;
AGUAS DE SANTA BARBARA;1143;;
AGUAS DE SAO PEDRO;1232;;
AGUDOS;8382;;
ALAMBARI;842;;
ALFREDO MARCONDES;1223;;
ALTAIR;668;;
ALTINOPOLIS;3442;;
ALTO ALEGRE;1115;;
ALUMINIO;2103;;
ALVARES FLORENCE;986;;
ALVARES MACHADO;4492;;
ALVARO DE CARVALHO;667;;
ALVINLANDIA;541;;
AMERICANA;42669;;
AMERICO BRASILIENSE;5872;;
AMERICO DE CAMPOS;1335;;
AMPARO;14439;;
ANALANDIA;845;;
ANDRADINA;12754;;
ANGATUBA;3794;;
ANHEMBI;942;;
ANHUMAS;756;;
APARECIDA;6048;;
APARECIDA D'OESTE;1151;;
APIAI;3560;;
ARACARIGUAMA;2046;;
ARACATUBA;43332;;
ARACOIABA DA SERRA;4962;;
ARAMINA;972;;
ARANDU;1014;;
ARAPEI;486;;
ARARAQUARA;50460;;
ARARAS;23862;;
ARCO-IRIS;779;;
AREALVA;1921;;
AREIAS;722;;
AREIOPOLIS;1311;;
ARIRANHA;1646;;
ARTUR NOGUEIRA;7227;;
ARUJA;10438;;
ASPASIA;428;;
ASSIS;22531;;
ATIBAIA;27925;;
AURIFLAMA;3239;;
AVAI;1686;;
AVANHANDAVA;1434;;
AVARE;17342;;
BADY BASSITT;3078;;
BALBINOS;358;;
BALSAMO;1934;;
BANANAL;2286;;
BARAO DE ANTONINA;770;;
BARBOSA;1220;;
BARIRI;6951;;
BARRA BONITA;7299;;
BARRA DO CHAPEU;789;;
BARRA DO TURVO;2547;;
BARRETOS;29697;;
BARRINHA;3479;;
BARUERI;37058;;
BASTOS;3583;;
BATATAIS;11591;;
BAURU;87067;;
BEBEDOURO;17381;;
BENTO DE ABREU;429;;
BERNARDINO DE CAMPOS;2545;;
BERTIOGA;7529;;
BILAC;1845;;
BIRIGUI;20896;;
BIRITIBA-MIRIM;3991;;
BOA ESPERANCA DO SUL;1958;;
BOCAINA;1849;;
BOFETE;1832;;
BOITUVA;7559;;
BOM JESUS DOS PERDOES;3030;;
BOM SUCESSO DE ITARARE;415;;
BORA;197;;
BORACEIA;903;;
BORBOREMA;3007;;
BOREBI;429;;
BOTUCATU;34001;;
BRAGANCA PAULISTA;30935;;
BRAUNA;1258;;
BREJO ALEGRE;611;;
BRODOWSKI;4327;;
BROTAS;3910;;
BURI;2566;;
BURITAMA;3021;;
BURITIZAL;936;;
CABRALIA PAULISTA;766;;
CABREUVA;5095;;
CACAPAVA;16309;;
CACHOEIRA PAULISTA;6242;;
CACONDE;3636;;
CAFELANDIA;3593;;
CAIABU;840;;
CAIEIRAS;11962;;
CAIUA;1147;;
CAJAMAR;7475;;
CAJATI;3920;;
CAJOBI;2021;;
CAJURU;4923;;
CAMPINA DO MONTE ALEGRE;917;;
CAMPINAS;240030;;
CAMPO LIMPO PAULISTA;10389;;
CAMPOS DO JORDAO;7115;;
CAMPOS NOVOS PAULISTA;859;;
CANANEIA;2273;;
CANAS;592;;
CANDIDO MOTA;5460;;
CANDIDO RODRIGUES;685;;
CANITAR;546;;
CAPAO BONITO;6754;;
CAPELA DO ALTO;2395;;
CAPIVARI;8011;;
CARAGUATATUBA;20679;;
CARAPICUIBA;45393;;
CARDOSO;2633;;
CASA BRANCA;6593;;
CASSIA DOS COQUEIROS;526;;
CASTILHO;3986;;
CATANDUVA;30319;;
CATIGUA;1180;;
CEDRAL;2485;;
CERQUEIRA CESAR;3304;;
CERQUILHO;6971;;
CESARIO LANGE;2388;;
CHARQUEADA;2393;;
CHAVANTES;1965;;
CLEMENTINA;1089;;
COLINA;3324;;
COLOMBIA;1121;;
CONCHAL;3598;;
CONCHAS;3327;;
CORDEIROPOLIS;3989;;
COROADOS;862;;
CORONEL MACEDO;851;;
CORUMBATAI;711;;
COSMOPOLIS;7713;;
COSMORAMA;1707;;
COTIA;30247;;
CRAVINHOS;5404;;
CRISTAIS PAULISTA;1299;;
CRUZALIA;414;;
CRUZEIRO;13520;;
CUBATAO;16303;;
CUNHA;3862;;
DESCALVADO;6660;;
DIADEMA;50499;;
DIRCE REIS;438;;
DIVINOLANDIA;2902;;
DOBRADA;1030;;
DOIS CORREGOS;4675;;
DOLCINOPOLIS;508;;
DOURADO;1861;;
DRACENA;12352;;
DUARTINA;2751;;
DUMONT;1201;;
ECHAPORA;1587;;
ELDORADO;4592;;
ELIAS FAUSTO;2274;;
ELISIARIO;591;;
EMBAUBA;485;;
EMBU DAS ARTES;25726;;
EMBU-GUACU;9511;;
EMILIANOPOLIS;668;;
ENGENHEIRO COELHO;2087;;
ESPIRITO SANTO DO PINHAL;9061;;
ESPIRITO SANTO DO TURVO;561;;
ESTIVA GERBI;1308;;
ESTRELA DO NORTE;425;;
ESTRELA D'OESTE;1901;;
EUCLIDES DA CUNHA PAULISTA;1438;;
FARTURA;3194;;
FERNANDO PRESTES;1534;;
FERNANDOPOLIS;17707;;
FERNAO;402;;
FERRAZ DE VASCONCELOS;20353;;
FLORA RICA;534;;
FLOREAL;832;;
FLORIDA PAULISTA;2286;;
FLORINIA;603;;
FRANCA;54309;;
FRANCISCO MORATO;16977;;
FRANCO DA ROCHA;19446;;
GABRIEL MONTEIRO;601;;
GALIA;1631;;
GARCA;9171;;
GASTAO VIDIGAL;730;;
GAVIAO PEIXOTO;676;;
GENERAL SALGADO;2493;;
GETULINA;2124;;
GLICERIO;828;;
GUAICARA;1671;;
GUAIMBE;1161;;
GUAIRA;6418;;
GUAPIACU;3524;;
GUAPIARA;2873;;
GUARA;3373;;
GUARACAI;1911;;
GUARACI;2015;;
GUARANI D'OESTE;424;;
GUARANTA;1089;;
GUARARAPES;6051;;
GUARAREMA;4631;;
GUARATINGUETA;22950;;
GUAREI;1835;;
GUARIBA;4580;;
GUARUJA;48166;;
GUARULHOS;166472;;
GUATAPARA;1174;;
GUZOLANDIA;735;;
HERCULANDIA;1707;;
HOLAMBRA;1874;;
HORTOLANDIA;29058;;
IACANGA;2016;;
IACRI;1309;;
IARAS;810;;
IBATE;3728;;
IBIRA;2447;;
IBIRAREMA;1412;;
IBITINGA;10202;;
IBIUNA;13678;;
ICEM;1360;;
IEPE;1688;;
IGARACU DO TIETE;3131;;
IGARAPAVA;5001;;
IGARATA;1634;;
IGUAPE;6145;;
ILHA COMPRIDA;1988;;
ILHA SOLTEIRA;5970;;
ILHABELA;4642;;
INDAIATUBA;35814;;
INDIANA;1018;;
INDIAPORA;1113;;
INUBIA PAULISTA;794;;
IPAUSSU;2394;;
IPERO;3306;;
IPEUNA;884;;
IPIGUA;933;;
IPORANGA;1302;;
IPUA;2109;;
IRACEMAPOLIS;3393;;
IRAPUA;1275;;
IRAPURU;1452;;
ITABERA;2952;;
ITAI;3375;;
ITAJOBI;3513;;
ITAJU;626;;
ITANHAEM;20085;;
ITAOCA;873;;
ITAPECERICA DA SERRA;19953;;
ITAPETININGA;26255;;
ITAPEVA;14531;;
ITAPEVI;22692;;
ITAPIRA;15570;;
ITAPIRAPUA PAULISTA;562;;
ITAPOLIS;8300;;
ITAPORANGA;2968;;
ITAPUI;1974;;
ITAPURA;782;;
ITAQUAQUECETUBA;29694;;
ITARARE;7942;;
ITARIRI;2421;;
ITATIBA;18340;;
ITATINGA;2480;;
ITIRAPINA;2397;;
ITIRAPUA;1148;;
ITOBI;1393;;
ITU;25777;;
ITUPEVA;5829;;
ITUVERAVA;9085;;
JABORANDI;1249;;
JABOTICABAL;14745;;
JACAREI;38322;;
JACI;1388;;
JACUPIRANGA;2661;;
JAGUARIUNA;8045;;
JALES;11872;;
JAMBEIRO;904;;
JANDIRA;11821;;
JARDINOPOLIS;6922;;
JARINU;4443;;
JAU;30939;;
JERIQUARA;503;;
JOANOPOLIS;2626;;
JOAO RAMALHO;572;;
JOSE BONIFACIO;6526;;
JULIO MESQUITA;761;;
JUMIRIM;426;;
JUNDIAI;75809;;
JUNQUEIROPOLIS;4245;;
JUQUIA;3505;;
JUQUITIBA;4359;;
LAGOINHA;1153;;
LARANJAL PAULISTA;5350;;
LAVINIA;1047;;
LAVRINHAS;828;;
LEME;15529;;
LENCOIS PAULISTA;10087;;
LIMEIRA;47866;;
LINDOIA;1298;;
LINS;16796;;
LORENA;15980;;
LOURDES;545;;
LOUVEIRA;4861;;
LUCELIA;4291;;
LUCIANOPOLIS;507;;
LUIS ANTONIO;1573;;
LUIZIANIA;909;;
LUPERCIO;775;;
LUTECIA;618;;
MACATUBA;2801;;
MACAUBAL;1872;;
MACEDONIA;815;;
MAGDA;754;;
MAIRINQUE;6592;;
MAIRIPORA;12281;;
MANDURI;1655;;
MARABA PAULISTA;639;;
MARACAI;2280;;
MARAPOAMA;694;;
MARIAPOLIS;733;;
MARILIA;55468;;
MARINOPOLIS;459;;
MARTINOPOLIS;4627;;
MATAO;13986;;
MAUA;57063;;
MENDONCA;1206;;
MERIDIANO;861;;
MESOPOLIS;449;;
MIGUELOPOLIS;3701;;
MINEIROS DO TIETE;1975;;
MIRA ESTRELA;674;;
MIRACATU;3136;;
MIRANDOPOLIS;6426;;
MIRANTE DO PARANAPANEMA;3587;;
MIRASSOL;10585;;
MIRASSOLANDIA;974;;
MOCOCA;14434;;
MOGI DAS CRUZES;65688;;
MOJI GUACU;25215;;
MOJI MIRIM;17896;;
MOMBUCA;632;;
MONCOES;571;;
MONGAGUA;9583;;
MONTE ALEGRE DO SUL;1553;;
MONTE ALTO;9912;;
MONTE APRAZIVEL;5312;;
MONTE AZUL PAULISTA;3786;;
MONTE CASTELO;994;;
MONTE MOR;6852;;
MONTEIRO LOBATO;1015;;
MORRO AGUDO;4594;;
MORUNGABA;2074;;
MOTUCA;666;;
MURUTINGA DO SUL;1096;;
NANTES;426;;
NARANDIBA;682;;
NATIVIDADE DA SERRA;1670;;
NAZARE PAULISTA;2784;;
NEVES PAULISTA;2341;;
NHANDEARA;2754;;
NIPOA;666;;
NOVA ALIANCA;1372;;
NOVA CAMPINA;910;;
NOVA CANAA PAULISTA;497;;
NOVA CASTILHO;259;;
NOVA EUROPA;1405;;
NOVA GRANADA;3604;;
NOVA GUATAPORANGA;474;;
NOVA INDEPENDENCIA;548;;
NOVA LUZITANIA;627;;
NOVA ODESSA;7574;;
NOVAIS;742;;
NOVO HORIZONTE;7526;;
NUPORANGA;1458;;
OCAUCU;737;;
OLEO;569;;
OLIMPIA;10862;;
ONDA VERDE;779;;
ORIENTE;1389;;
ORINDIUVA;765;;
ORLANDIA;6893;;
OSASCO;100811;;
OSCAR BRESSANE;829;;
OSVALDO CRUZ;7599;;
OURINHOS;21327;;
OURO VERDE;2015;;
OUROESTE;1842;;
PACAEMBU;2682;;
PALESTINA;2432;;
PALMARES PAULISTA;1109;;
PALMEIRA D'OESTE;2266;;
PALMITAL;4983;;
PANORAMA;2434;;
PARAGUACU PAULISTA;7626;;
PARAIBUNA;3079;;
PARAISO;1276;;
PARANAPANEMA;2860;;
PARANAPUA;762;;
PARAPUA;2283;;
PARDINHO;1017;;
PARIQUERA-ACU;4613;;
PARISI;536;;
PATROCINIO PAULISTA;2419;;
PAULICEIA;958;;
PAULINIA;12876;;
PAULISTANIA;347;;
PAULO DE FARIA;1814;;
PEDERNEIRAS;6878;;
PEDRA BELA;1078;;
PEDRANOPOLIS;636;;
PEDREGULHO;2774;;
PEDREIRA;7998;;
PEDRINHAS PAULISTA;540;;
PEDRO DE TOLEDO;1809;;
PENAPOLIS;13338;;
PEREIRA BARRETO;5123;;
PEREIRAS;1257;;
PERUIBE;13078;;
PIACATU;1036;;
PIEDADE;8329;;
PILAR DO SUL;4493;;
PINDAMONHANGABA;24364;;
PINDORAMA;3591;;
PINHALZINHO;2797;;
PIQUEROBI;962;;
PIQUETE;2866;;
PIRACAIA;4626;;
PIRACICABA;73661;;
PIRAJU;5849;;
PIRAJUI;5050;;
PIRANGI;2304;;
PIRAPORA DO BOM JESUS;2160;;
PIRAPOZINHO;4605;;
PIRASSUNUNGA;15493;;
PIRATININGA;3326;;
PITANGUEIRAS;5242;;
PLANALTO;725;;
PLATINA;576;;
POA;15572;;
POLONI;1304;;
POMPEIA;4610;;
PONGAI;803;;
PONTAL;4318;;
PONTALINDA;614;;
PONTES GESTAL;494;;
POPULINA;1052;;
PORANGABA;1987;;
PORTO FELIZ;8167;;
PORTO FERREIRA;9217;;
POTIM;2595;;
POTIRENDABA;3475;;
PRACINHA;342;;
PRADOPOLIS;2222;;
PRAIA GRANDE;53291;;
PRATANIA;619;;
PRESIDENTE ALVES;917;;
PRESIDENTE BERNARDES;3891;;
PRESIDENTE EPITACIO;7015;;
PRESIDENTE PRUDENTE;52039;;
PRESIDENTE VENCESLAU;8935;;
PROMISSAO;6953;;
QUADRA;527;;
QUATA;2258;;
QUEIROZ;526;;
QUELUZ;1661;;
QUINTANA;1294;;
RAFARD;1486;;
RANCHARIA;5688;;
REDENCAO DA SERRA;731;;
REGENTE FEIJO;3327;;
REGINOPOLIS;1228;;
REGISTRO;12586;;
RESTINGA;912;;
RIBEIRA;658;;
RIBEIRAO BONITO;1986;;
RIBEIRAO BRANCO;2141;;
RIBEIRAO CORRENTE;649;;
RIBEIRAO DO SUL;941;;
RIBEIRAO DOS INDIOS;663;;
RIBEIRAO GRANDE;1119;;
RIBEIRAO PIRES;20746;;
RIBEIRAO PRETO;134740;;
RIFAINA;721;;
RINCAO;1749;;
RINOPOLIS;2099;;
RIO CLARO;41368;;
RIO DAS PEDRAS;4084;;
RIO GRANDE DA SERRA;5421;;
RIOLANDIA;1576;;
RIVERSUL;1057;;
ROSANA;3424;;
ROSEIRA;1577;;
RUBIACEA;479;;
RUBINEIA;717;;
SABINO;1309;;
SAGRES;515;;
SALES;1213;;
SALES OLIVEIRA;2316;;
SALESOPOLIS;2481;;
SALMOURAO;926;;
SALTINHO;1362;;
SALTO;18230;;
SALTO DE PIRAPORA;7196;;
SALTO GRANDE;1672;;
SANDOVALINA;601;;
SANTA ADELIA;3026;;
SANTA ALBERTINA;1431;;
SANTA BARBARA D'OESTE;27474;;
SANTA BRANCA;2683;;
SANTA CLARA D'OESTE;419;;
SANTA CRUZ DA CONCEICAO;1002;;
SANTA CRUZ DA ESPERANCA;445;;
SANTA CRUZ DAS PALMEIRAS;4898;;
SANTA CRUZ DO RIO PARDO;9576;;
SANTA ERNESTINA;705;;
SANTA FE DO SUL;8769;;
SANTA GERTRUDES;2743;;
SANTA ISABEL;7845;;
SANTA LUCIA;1094;;
SANTA MARIA DA SERRA;959;;
SANTA MERCEDES;577;;
SANTA RITA DO PASSA QUATRO;6949;;
