Municipio;Qtd-Doses-Distribuidas
ADAMANTINA;13078
ADOLFO;1256
AGUAÍ;7868
ÁGUAS DA PRATA;2901
ÁGUAS DE LINDÓIA;5580
ÁGUAS DE SANTA BÁRBARA;1740
ÁGUAS DE SÃO PEDRO;1735
AGUDOS;12075
ALAMBARI;1339
ALFREDO MARCONDES;1748
ALTAIR;982
ALTINÓPOLIS;5173
ALTO ALEGRE;1619
ALUMÍNIO;3409
ÁLVARES FLORENCE;1460
ÁLVARES MACHADO;6874
ÁLVARO DE CARVALHO;1024
ALVINLÂNDIA;826
AMERICANA;65545
AMÉRICO BRASILIENSE;8725
AMÉRICO DE CAMPOS;1985
AMPARO;21682
ANALÂNDIA;1335
ANDRADINA;18805
ANGATUBA;5903
ANHEMBI;1462
ANHUMAS;1143
APARECIDA;9331
APARECIDA D'OESTE;1698
APIAÍ;5759
ARAÇARIGUAMA;3430
ARAÇATUBA;63806
ARAÇOIABA DA SERRA;7901
ARAMINA;1502
ARANDU;1595
ARAPEÍ;711
ARARAQUARA;74281
ARARAS;36253
ARCO-ÍRIS;993
AREALVA;2902
AREIAS;1060
AREIÓPOLIS;2049
ARIRANHA;2490
ARTUR NOGUEIRA;11342
ARUJÁ;17488
ASPÁSIA;641
ASSIS;33045
ATIBAIA;41640
AURIFLAMA;4830
AVAÍ;2123
AVANHANDAVA;2238
AVARÉ;25966
BADY BASSITT;4653
BALBINOS;502
BÁLSAMO;2877
BANANAL;3361
BARÃO DE ANTONINA;1116
BARBOSA;1850
BARIRI;10195
BARRA BONITA;11043
BARRA DO CHAPÉU;1288
BARRA DO TURVO;3305
BARRETOS;42158
BARRINHA;5395
BARUERI;58065
BASTOS;5523
BATATAIS;17654
BAURU;125366
BEBEDOURO;25564
BENTO DE ABREU;683
BERNARDINO DE CAMPOS;3698
BERTIOGA;11816
BILAC;2686
BIRIGUI;31959
BIRITIBA MIRIM;6460
BOA ESPERANÇA DO SUL;3041
BOCAINA;2815
BOFETE;2953
BOITUVA;11955
BOM JESUS DOS PERDÕES;4753
BOM SUCESSO DE ITARARÉ;660
BORÁ;300
BORACÉIA;1347
BORBOREMA;4536
BOREBI;662
BOTUCATU;49288
BRAGANÇA PAULISTA;46831
BRAÚNA;1778
BREJO ALEGRE;886
BRODOWSKI;6476
BROTAS;5909
BURI;4074
BURITAMA;4647
BURITIZAL;1380
CABRÁLIA PAULISTA;1172
CABREÚVA;8221
CAÇAPAVA;24959
CACHOEIRA PAULISTA;9471
CACONDE;5528
CAFELÂNDIA;5341
CAIABU;1257
CAIEIRAS;19303
CAIUÁ;1767
CAJAMAR;12045
CAJATI;6152
CAJOBI;3067
CAJURU;7294
CAMPINA DO MONTE ALEGRE;1431
CAMPINAS;355254
CAMPO LIMPO PAULISTA;16961
CAMPOS DO JORDÃO;11164
CAMPOS NOVOS PAULISTA;1313
CANANÉIA;3493
CANAS;950
CÂNDIDO MOTA;8416
CÂNDIDO RODRIGUES;1028
CANITAR;890
CAPÃO BONITO;10614
CAPELA DO ALTO;3889
CAPIVARI;12207
CARAGUATATUBA;31569
CARAPICUÍBA;74505
CARDOSO;3935
CASA BRANCA;9492
CÁSSIA DOS COQUEIROS;831
CASTILHO;5867
CATANDUVA;43694
CATIGUÁ;1833
CEDRAL;3537
CERQUEIRA CÉSAR;5062
CERQUILHO;11053
CESÁRIO LANGE;3826
CHARQUEADA;3708
CHAVANTES;3071
CLEMENTINA;1661
COLINA;5044
COLÔMBIA;1720
CONCHAL;5680
CONCHAS;4991
CORDEIRÓPOLIS;6069
COROADOS;1403
CORONEL MACEDO;1323
CORUMBATAÍ;1096
COSMÓPOLIS;12352
COSMORAMA;2566
COTIA;48596
CRAVINHOS;8330
CRISTAIS PAULISTA;2028
CRUZÁLIA;660
CRUZEIRO;21085
CUBATÃO;25543
CUNHA;5970
DESCALVADO;9977
DIADEMA;81130
DIRCE REIS;652
DIVINOLÂNDIA;4251
DOBRADA;1609
DOIS CÓRREGOS;6889
DOLCINÓPOLIS;801
DOURADO;2797
DRACENA;17709
DUARTINA;4081
DUMONT;1929
ECHAPORÃ;2272
ELDORADO;5986
ELIAS FAUSTO;3574
ELISIÁRIO;916
EMBAÚBA;759
EMBU DAS ARTES;43248
EMBU-GUAÇU;14949
EMILIANÓPOLIS;1001
ENGENHEIRO COELHO;3220
ESPÍRITO SANTO DO PINHAL;13528
ESPÍRITO SANTO DO TURVO;908
ESTIVA GERBI;2200
ESTRELA DO NORTE;650
ESTRELA D'OESTE;2826
EUCLIDES DA CUNHA PAULISTA;2193
FARTURA;4761
FERNANDO PRESTES;2229
FERNANDÓPOLIS;25759
FERNÃO;604
FERRAZ DE VASCONCELOS;32756
FLORA RICA;735
FLOREAL;1237
FLÓRIDA PAULISTA;3380
FLORÍNEA;945
FRANCA;84662
FRANCISCO MORATO;27802
FRANCO DA ROCHA;29932
GABRIEL MONTEIRO;915
GÁLIA;2384
GARÇA;13610
GASTÃO VIDIGAL;1122
GAVIÃO PEIXOTO;1052
GENERAL SALGADO;3712
GETULINA;3102
GLICÉRIO;1254
GUAIÇARA;2623
GUAIMBÊ;1680
GUAÍRA;10033
GUAPIAÇU;5425
GUAPIARA;4527
GUARÁ;5089
GUARAÇAÍ;2843
GUARACI;2997
GUARANI D'OESTE;628
GUARANTÃ;1658
GUARARAPES;9218
GUARAREMA;7307
GUARATINGUETÁ;34777
GUAREÍ;2827
GUARIBA;7313
GUARUJÁ;73608
GUARULHOS;264533
GUATAPARÁ;1858
GUZOLÂNDIA;1175
HERCULÂNDIA;2504
HOLAMBRA;3084
HORTOLÂNDIA;45269
IACANGA;3011
IACRI;1976
IARAS;1352
IBATÉ;5947
IBIRÁ;3588
IBIRAREMA;2070
IBITINGA;15224
IBIÚNA;20667
ICÉM;2052
IEPÊ;2443
IGARAÇU DO TIETÊ;4955
IGARAPAVA;7463
IGARATÁ;2547
IGUAPE;9298
ILHA COMPRIDA;3391
ILHA SOLTEIRA;9201
ILHABELA;7184
INDAIATUBA;55520
INDIANA;1504
INDIAPORÃ;1612
INÚBIA PAULISTA;1173
IPAUSSU;3605
IPERÓ;5578
IPEÚNA;1405
IPIGUÁ;1500
IPORANGA;1690
IPUÃ;3328
IRACEMÁPOLIS;5247
IRAPUÃ;1967
IRAPURU;2150
ITABERÁ;4580
ITAÍ;5326
ITAJOBI;5275
ITAJU;961
ITANHAÉM;30938
ITAOCA;1211
ITAPECERICA DA SERRA;31969
ITAPETININGA;39961
ITAPEVA;21942
ITAPEVI;36661
ITAPIRA;23253
ITAPIRAPUÃ PAULISTA;904
ITÁPOLIS;12366
ITAPORANGA;4564
ITAPUÍ;3031
ITAPURA;1197
ITAQUAQUECETUBA;50917
ITARARÉ;12151
ITARIRI;3684
ITATIBA;28513
ITATINGA;3835
ITIRAPINA;3566
ITIRAPUÃ;1756
ITOBI;2097
ITU;39882
ITUPEVA;9558
ITUVERAVA;13374
JABORANDI;1857
JABOTICABAL;22197
JACAREÍ;59546
JACI;1990
JACUPIRANGA;4186
JAGUARIÚNA;12618
JALES;17554
JAMBEIRO;1394
JANDIRA;19797
JARDINÓPOLIS;10674
JARINU;7071
JAÚ;45060
JERIQUARA;777
JOANÓPOLIS;3986
JOÃO RAMALHO;881
JOSÉ BONIFÁCIO;9802
JÚLIO MESQUITA;1176
JUMIRIM;662
JUNDIAÍ;114883
JUNQUEIRÓPOLIS;6223
JUQUIÁ;5412
JUQUITIBA;6874
LAGOINHA;1699
LARANJAL PAULISTA;8096
LAVÍNIA;1505
LAVRINHAS;1330
LEME;23844
LENÇÓIS PAULISTA;15603
LIMEIRA;74550
LINDÓIA;1990
LINS;24614
LORENA;24236
LOURDES;808
LOUVEIRA;7584
LUCÉLIA;6264
LUCIANÓPOLIS;837
LUÍS ANTÔNIO;2507
LUIZIÂNIA;1340
LUPÉRCIO;1207
LUTÉCIA;902
MACATUBA;4237
MACAUBAL;2734
MACEDÔNIA;1280
MAGDA;1158
MAIRINQUE;10553
MAIRIPORÃ;19762
MANDURI;2529
MARABÁ PAULISTA;997
MARACAÍ;3573
MARAPOAMA;1057
MARIÁPOLIS;1079
MARÍLIA;80361
MARINÓPOLIS;693
MARTINÓPOLIS;6936
MATÃO;21856
MAUÁ;91472
MENDONÇA;1721
MERIDIANO;1262
MESÓPOLIS;673
MIGUELÓPOLIS;5524
MINEIROS DO TIETÊ;3091
MIRA ESTRELA;1108
MIRACATU;4893
MIRANDÓPOLIS;9389
MIRANTE DO PARANAPANEMA;5397
MIRASSOL;16078
MIRASSOLÂNDIA;1490
MOCOCA;21641
MOGI DAS CRUZES;101634
MOGI GUAÇU;39268
MOGI MIRIM;27150
MOMBUCA;940
MONÇÕES;853
MONGAGUÁ;15373
MONTE ALEGRE DO SUL;2330
MONTE ALTO;14974
MONTE APRAZÍVEL;7722
MONTE AZUL PAULISTA;5700
MONTE CASTELO;1471
MONTE MOR;11120
MONTEIRO LOBATO;1531
MORRO AGUDO;6916
MORUNGABA;3250
MOTUCA;1077
MURUTINGA DO SUL;1631
NANTES;651
NARANDIBA;1049
NATIVIDADE DA SERRA;2459
NAZARÉ PAULISTA;4430
NEVES PAULISTA;3405
NHANDEARA;4132
NIPOÃ;1020
NOVA ALIANÇA;2034
NOVA CAMPINA;1493
NOVA CANAÃ PAULISTA;759
NOVA CASTILHO;391
NOVA EUROPA;2231
NOVA GRANADA;5427
NOVA GUATAPORANGA;749
NOVA INDEPENDÊNCIA;826
NOVA LUZITÂNIA;975
NOVA ODESSA;12418
NOVAIS;1035
NOVO HORIZONTE;11325
NUPORANGA;2182
OCAUÇU;1143
ÓLEO;892
OLÍMPIA;16226
ONDA VERDE;1156
ORIENTE;2003
ORINDIÚVA;1168
ORLÂNDIA;10706
OSASCO;157624
OSCAR BRESSANE;1220
OSVALDO CRUZ;11292
OURINHOS;32290
OURO VERDE;2838
OUROESTE;2784
PACAEMBU;3905
PALESTINA;3594
PALMARES PAULISTA;1758
PALMEIRA D'OESTE;3383
PALMITAL;7407
PANORAMA;3764
PARAGUAÇU PAULISTA;11581
PARAIBUNA;4737
PARAÍSO;1890
PARANAPANEMA;4407
PARANAPUÃ;1167
PARAPUÃ;3432
PARDINHO;1585
PARIQUERA-AÇU;6514
PARISI;822
PATROCÍNIO PAULISTA;3672
PAULICÉIA;1507
PAULÍNIA;20900
PAULISTÂNIA;539
PAULO DE FARIA;2646
PEDERNEIRAS;10633
PEDRA BELA;1702
PEDRANÓPOLIS;951
PEDREGULHO;4210
PEDREIRA;12070
PEDRINHAS PAULISTA;856
PEDRO DE TOLEDO;2862
PENÁPOLIS;20055
PEREIRA BARRETO;7605
PEREIRAS;1958
PERUÍBE;20164
PIACATU;1593
PIEDADE;13109
PILAR DO SUL;6944
PINDAMONHANGABA;38812
PINDORAMA;5309
PINHALZINHO;4379
PIQUEROBI;1338
PIQUETE;4315
PIRACAIA;7156
PIRACICABA;111496
PIRAJU;8987
PIRAJUÍ;7433
PIRANGI;3460
PIRAPORA DO BOM JESUS;3384
PIRAPOZINHO;7004
PIRASSUNUNGA;23091
PIRATININGA;4830
PITANGUEIRAS;7858
PLANALTO;1085
PLATINA;900
POÁ;24522
POLONI;1863
POMPÉIA;6840
PONGAÍ;1222
PONTAL;6816
PONTALINDA;979
PONTES GESTAL;757
POPULINA;1543
PORANGABA;3057
PORTO FELIZ;12605
PORTO FERREIRA;14049
POTIM;3923
POTIRENDABA;5112
PRACINHA;492
PRADÓPOLIS;3700
PRAIA GRANDE;81735
PRATÂNIA;997
PRESIDENTE ALVES;1374
PRESIDENTE BERNARDES;5506
PRESIDENTE EPITÁCIO;10842
PRESIDENTE PRUDENTE;75633
PRESIDENTE VENCESLAU;13229
PROMISSÃO;10385
QUADRA;870
QUATÁ;3374
QUEIROZ;760
QUELUZ;2660
QUINTANA;1914
RAFARD;2241
RANCHARIA;8513
REDENÇÃO DA SERRA;1097
REGENTE FEIJÓ;5225
REGINÓPOLIS;1776
REGISTRO;17936
RESTINGA;1449
RIBEIRA;1029
RIBEIRÃO BONITO;3015
RIBEIRÃO BRANCO;3386
RIBEIRÃO CORRENTE;995
RIBEIRÃO DO SUL;1458
RIBEIRÃO DOS ÍNDIOS;947
RIBEIRÃO GRANDE;1806
RIBEIRÃO PIRES;32571
RIBEIRÃO PRETO;200813
RIFAINA;1127
RINCÃO;2703
RINÓPOLIS;3088
RIO CLARO;60277
RIO DAS PEDRAS;6466
RIO GRANDE DA SERRA;8917
RIOLÂNDIA;2388
RIVERSUL;1616
ROSANA;5447
ROSEIRA;2479
RUBIÁCEA;732
RUBINÉIA;1142
SABINO;1958
SAGRES;809
SALES;1903
SALES OLIVEIRA;3484
SALESÓPOLIS;3855
SALMOURÃO;1393
SALTINHO;2221
SALTO;27973
SALTO DE PIRAPORA;11060
SALTO GRANDE;2551
SANDOVALINA;990
SANTA ADÉLIA;4479
SANTA ALBERTINA;2062
SANTA BÁRBARA D'OESTE;44415
SANTA BRANCA;4134
SANTA CLARA D'OESTE;682
SANTA CRUZ DA CONCEIÇÃO;1499
SANTA CRUZ DA ESPERANÇA;666
SANTA CRUZ DAS PALMEIRAS;7460
SANTA CRUZ DO RIO PARDO;14296
SANTA ERNESTINA;1122
SANTA FÉ DO SUL;12592
SANTA GERTRUDES;4179
SANTA ISABEL;12596
SANTA LÚCIA;1730
SANTA MARIA DA SERRA;1430
SANTA MERCEDES;841
SANTA RITA DO PASSA QUATRO;10172
SANTA RITA D'OESTE;972
SANTA ROSA DE VITERBO;7291
SANTA SALETE;669
SANTANA DA PONTE PENSA;688
SANTANA DE PARNAÍBA;28230
SANTO ANASTÁCIO;6547
SANTO ANDRÉ;220281
SANTO ANTÔNIO DA ALEGRIA;2297
SANTO ANTÔNIO DE POSSE;5116
SANTO ANTÔNIO DO ARACANGUÁ;2020
SANTO ANTÔNIO DO JARDIM;1821
SANTO ANTÔNIO DO PINHAL;1732
SANTO EXPEDITO;1059
SANTÓPOLIS DO AGUAPEÍ;1123
SANTOS;185397
SÃO BENTO DO SAPUCAÍ;3338
SÃO BERNARDO DO CAMPO;211316
SÃO CAETANO DO SUL;74819
SÃO CARLOS;73721
SÃO FRANCISCO;1063
SÃO JOÃO DA BOA VISTA;32200
SÃO JOÃO DAS DUAS PONTES;733
SÃO JOÃO DE IRACEMA;664
SÃO JOÃO DO PAU D'ALHO;917
SÃO JOAQUIM DA BARRA;14695
SÃO JOSÉ DA BELA VISTA;1929
SÃO JOSÉ DO BARREIRO;1134
SÃO JOSÉ DO RIO PARDO;18353
SÃO JOSÉ DO RIO PRETO;149408
SÃO JOSÉ DOS CAMPOS;184833
SÃO LOURENÇO DA SERRA;3240
SÃO LUIZ DO PARAITINGA;3001
SÃO MANUEL;10514
SÃO MIGUEL ARCANJO;7387
SÃO PAULO;3474586
SÃO PEDRO;10668
SÃO PEDRO DO TURVO;2067
SÃO ROQUE;25235
SÃO SEBASTIÃO;16720
SÃO SEBASTIÃO DA GRAMA;3455
SÃO SIMÃO;4561
SÃO VICENTE;87276
SARAPUÍ;2166
SARUTAIÁ;1077
SEBASTIANÓPOLIS DO SUL;1038
SERRA AZUL;2588
SERRA NEGRA;9630
SERRANA;8741
SERTÃOZINHO;28613
SETE BARRAS;3192
SEVERÍNIA;3447
SILVEIRAS;1689
SOCORRO;13266
SOROCABA;169413
SUD MENNUCCI;2248
SUMARÉ;53904
SUZANÁPOLIS;1040
SUZANO;59499
TABAPUÃ;3602
TABATINGA;3656
TABOÃO DA SERRA;61267
TACIBA;1591
TAGUAÍ;2672
TAIAÇU;1977
TAIÚVA;2058
TAMBAÚ;6496
TANABI;8159
TAPIRAÍ;2027
TAPIRATIBA;3635
TAQUARAL;820
TAQUARITINGA;17790
TAQUARITUBA;6289
TAQUARIVAÍ;1034
TARABAI;1616
TARUMÃ;2863
TATUÍ;31071
TAUBATÉ;82688
TEJUPÁ;1007
TEODORO SAMPAIO;4996
TERRA ROXA;2504
TIETÊ;10761
TIMBURI;913
TORRE DE PEDRA;825
TORRINHA;3178
TRABIJU;515
TREMEMBÉ;12614
TRÊS FRONTEIRAS;2032
TUIUTI;2048
TUPÃ;25917
TUPI PAULISTA;5860
TURIÚBA;764
TURMALINA;849
UBARANA;1173
UBATUBA;20910
UBIRAJARA;1321
UCHOA;3237
UNIÃO PAULISTA;481
URÂNIA;3281
URU;486
URUPÊS;4425
VALENTIM GENTIL;2887
VALINHOS;32696
VALPARAÍSO;6646
VARGEM;3189
VARGEM GRANDE DO SUL;11663
VARGEM GRANDE PAULISTA;10769
VÁRZEA PAULISTA;21430
VERA CRUZ;3587
VINHEDO;20436
VIRADOURO;4651
VISTA ALEGRE DO ALTO;1697
VITÓRIA BRASIL;577
VOTORANTIM;26674
VOTUPORANGA;33338
ZACARIAS;796
