Municipio;Qtd-Doses-Distribuidas;;;;
ADAMANTINA;13812;;;;
ADOLFO;1342;;;;
AGUAÍ;8439;;;;
ÁGUAS DA PRATA;3077;;;;
ÁGUAS DE LINDÓIA;5914;;;;
ÁGUAS DE SANTA BÁRBARA;1848;;;;
ÁGUAS DE SÃO PEDRO;1793;;;;
AGUDOS;12673;;;;
ALAMBARI;1428;;;;
ALFREDO MARCONDES;1837;;;;
ALTAIR;1040;;;;
ALTINÓPOLIS;5478;;;;
ALTO ALEGRE;1709;;;;
ALUMÍNIO;3654;;;;
ÁLVARES FLORENCE;1557;;;;
ÁLVARES MACHADO;7311;;;;
ÁLVARO DE CARVALHO;1092;;;;
ALVINLÂNDIA;874;;;;
AMERICANA;69925;;;;
AMÉRICO BRASILIENSE;9231;;;;
AMÉRICO DE CAMPOS;2112;;;;
AMPARO;23000;;;;
ANALÂNDIA;1411;;;;
ANDRADINA;19894;;;;
ANGATUBA;6313;;;;
ANHEMBI;1569;;;;
ANHUMAS;1210;;;;
APARECIDA;9987;;;;
APARECIDA D'OESTE;1798;;;;
APIAÍ;6148;;;;
ARAÇARIGUAMA;3679;;;;
ARAÇATUBA;67537;;;;
ARAÇOIABA DA SERRA;8449;;;;
ARAMINA;1600;;;;
ARANDU;1703;;;;
ARAPEÍ;760;;;;
ARARAQUARA;78529;;;;
ARARAS;38570;;;;
ARCO-ÍRIS;1031;;;;
AREALVA;3078;;;;
AREIAS;1118;;;;
AREIÓPOLIS;2195;;;;
ARIRANHA;2647;;;;
ARTUR NOGUEIRA;12080;;;;
ARUJÁ;18763;;;;
ASPÁSIA;680;;;;
ASSIS;34947;;;;
ATIBAIA;43926;;;;
AURIFLAMA;5113;;;;
AVAÍ;2212;;;;
AVANHANDAVA;2404;;;;
AVARÉ;27492;;;;
BADY BASSITT;4933;;;;
BALBINOS;532;;;;
BÁLSAMO;3045;;;;
BANANAL;3555;;;;
BARÃO DE ANTONINA;1184;;;;
BARBOSA;1968;;;;
BARIRI;10809;;;;
BARRA BONITA;11731;;;;
BARRA DO CHAPÉU;1376;;;;
BARRA DO TURVO;3434;;;;
BARRETOS;44271;;;;
BARRINHA;5768;;;;
BARUERI;61584;;;;
BASTOS;5890;;;;
BATATAIS;18786;;;;
BAURU;131959;;;;
BEBEDOURO;26999;;;;
BENTO DE ABREU;733;;;;
BERNARDINO DE CAMPOS;3907;;;;
BERTIOGA;12545;;;;
BILAC;2845;;;;
BIRIGUI;34097;;;;
BIRITIBA MIRIM;6912;;;;
BOA ESPERANÇA DO SUL;3267;;;;
BOCAINA;3013;;;;
BOFETE;3151;;;;
BOITUVA;12774;;;;
BOM JESUS DOS PERDÕES;5077;;;;
BOM SUCESSO DE ITARARÉ;709;;;;
BORÁ;319;;;;
BORACÉIA;1426;;;;
BORBOREMA;4828;;;;
BOREBI;703;;;;
BOTUCATU;51754;;;;
BRAGANÇA PAULISTA;49587;;;;
BRAÚNA;1875;;;;
BREJO ALEGRE;934;;;;
BRODOWSKI;6868;;;;
BROTAS;6298;;;;
BURI;4347;;;;
BURITAMA;4947;;;;
BURITIZAL;1468;;;;
CABRÁLIA PAULISTA;1240;;;;
CABREÚVA;8826;;;;
CAÇAPAVA;26507;;;;
CACHOEIRA PAULISTA;10045;;;;
CACONDE;5880;;;;
CAFELÂNDIA;5655;;;;
CAIABU;1325;;;;
CAIEIRAS;20723;;;;
CAIUÁ;1875;;;;
CAJAMAR;12948;;;;
CAJATI;6565;;;;
CAJOBI;3252;;;;
CAJURU;7690;;;;
CAMPINA DO MONTE ALEGRE;1532;;;;
CAMPINAS;375874;;;;
CAMPO LIMPO PAULISTA;18276;;;;
CAMPOS DO JORDÃO;11896;;;;
CAMPOS NOVOS PAULISTA;1393;;;;
CANANÉIA;3698;;;;
CANAS;1019;;;;
CÂNDIDO MOTA;8991;;;;
CÂNDIDO RODRIGUES;1085;;;;
CANITAR;950;;;;
CAPÃO BONITO;11337;;;;
CAPELA DO ALTO;4180;;;;
CAPIVARI;13014;;;;
CARAGUATATUBA;33378;;;;
CARAPICUÍBA;80454;;;;
CARDOSO;4178;;;;
CASA BRANCA;10022;;;;
CÁSSIA DOS COQUEIROS;881;;;;
CASTILHO;6210;;;;
CATANDUVA;45965;;;;
CATIGUÁ;1970;;;;
CEDRAL;3702;;;;
CERQUEIRA CÉSAR;5375;;;;
CERQUILHO;11825;;;;
CESÁRIO LANGE;4090;;;;
CHARQUEADA;3961;;;;
