Municipio;Qtd-Doses-Distribuidas;;;
ADAMANTINA;15722;;;
ADOLFO;1562;;;
AGUAÍ;9809;;;
ÁGUAS DA PRATA;3582;;;
ÁGUAS DE LINDÓIA;6894;;;
ÁGUAS DE SANTA BÁRBARA;2118;;;
ÁGUAS DE SÃO PEDRO;2008;;;
AGUDOS;14118;;;
ALAMBARI;1698;;;
ALFREDO MARCONDES;2072;;;
ALTAIR;1180;;;
ALTINÓPOLIS;6393;;;
ALTO ALEGRE;1869;;;
ALUMÍNIO;4294;;;
ÁLVARES FLORENCE;1757;;;
ÁLVARES MACHADO;8426;;;
ÁLVARO DE CARVALHO;1287;;;
ALVINLÂNDIA;994;;;
AMERICANA;80925;;;
AMÉRICO BRASILIENSE;10556;;;
AMÉRICO DE CAMPOS;2462;;;
AMPARO;26580;;;
ANALÂNDIA;1626;;;
ANDRADINA;22439;;;
ANGATUBA;7228;;;
ANHEMBI;1859;;;
ANHUMAS;1395;;;
APARECIDA;11787;;;
APARECIDA D'OESTE;2023;;;
APIAÍ;7263;;;
ARAÇARIGUAMA;4489;;;
ARAÇATUBA;76932;;;
ARAÇOIABA DA SERRA;10064;;;
ARAMINA;1830;;;
ARANDU;1993;;;
ARAPEÍ;865;;;
ARARAQUARA;89129;;;
ARARAS;44560;;;
ARCO-ÍRIS;1141;;;
AREALVA;3533;;;
AREIAS;1278;;;
AREIÓPOLIS;2575;;;
ARIRANHA;2982;;;
ARTUR NOGUEIRA;13905;;;
ARUJÁ;22418;;;
ASPÁSIA;795;;;
ASSIS;39827;;;
ATIBAIA;50946;;;
AURIFLAMA;5808;;;
AVAÍ;2412;;;
AVANHANDAVA;2864;;;
AVARÉ;31707;;;
BADY BASSITT;5793;;;
BALBINOS;597;;;
BÁLSAMO;3425;;;
BANANAL;4015;;;
BARÃO DE ANTONINA;1349;;;
BARBOSA;2238;;;
BARIRI;12209;;;
BARRA BONITA;13421;;;
BARRA DO CHAPÉU;1646;;;
BARRA DO TURVO;3789;;;
BARRETOS;51416;;;
BARRINHA;6723;;;
BARUERI;74024;;;
BASTOS;6790;;;
BATATAIS;22366;;;
