Municipio,Qtd-Doses-Distribuidas
ZACARIAS,1526
VOTUPORANGA,59390
VOTORANTIM,57169
VITÓRIA BRASIL,1127
VISTA ALEGRE DO ALTO,3653
VIRADOURO,10082
VINHEDO,39832
VERA CRUZ,6826
VÁRZEA PAULISTA,49195
VARGEM GRANDE PAULISTA,24647
VARGEM GRANDE DO SUL,21205
VARGEM,5709
VALPARAÍSO,12648
VALINHOS,69854
VALENTIM GENTIL,6389
URUPÊS,8022
URU,999
URÂNIA,5926
UNIÃO PAULISTA,965
UCHOA,5801
UBIRAJARA,2539
UBATUBA,46322
UBARANA,2672
TURMALINA,1424
TURIÚBA,1335
TUPI PAULISTA,10082
TUPÃ,44765
TUIUTI,4188
TRÊS FRONTEIRAS,3720
TREMEMBÉ,23589
TRABIJU,994
TORRINHA,5765
TORRE DE PEDRA,1636
TIMBURI,1695
TIETÊ,20921
TERRA ROXA,4604
TEODORO SAMPAIO,10819
TEJUPÁ,2291
TAUBATÉ,171914
TATUÍ,62670
TARUMÃ,6646
TARABAI,3371
TAQUARIVAÍ,2347
TAQUARITUBA,12672
TAQUARITINGA,31775
TAQUARAL,1705
TAPIRATIBA,7179
TAPIRAÍ,4171
TANABI,15529
TAMBAÚ,12505
TAIÚVA,3629
TAIAÇU,3504
TAGUAÍ,5833
TACIBA,3219
TABOÃO DA SERRA,136533
TABATINGA,8064
TABAPUÃ,7090
SUZANO,134588
SUZANÁPOLIS,2162
SUMARÉ,120811
SUD MENNUCCI,4305
SOROCABA,341423
SOCORRO,25322
SILVEIRAS,3205
SEVERÍNIA,7262
SETE BARRAS,6528
SERTÃOZINHO,60324
SERRANA,10607
SERRA NEGRA,17930
SERRA AZUL,6084
SEBASTIANÓPOLIS DO SUL,2032
SARUTAIÁ,2083
SARAPUÍ,5033
SÃO VICENTE,185660
SÃO SIMÃO,8913
SÃO SEBASTIÃO DA GRAMA,6594
SÃO SEBASTIÃO,40378
SÃO ROQUE,48790
SÃO PEDRO DO TURVO,3949
SÃO PEDRO,20900
SÃO PAULO,6427536
SÃO MIGUEL ARCANJO,15758
SÃO MANUEL,20358
SÃO LUIZ DO PARAITINGA,6101
SÃO LOURENÇO DA SERRA,7477
SÃO JOSÉ DOS CAMPOS,380616
SÃO JOSÉ DO RIO PRETO,267723
SÃO JOSÉ DO RIO PARDO,33551
SÃO JOSÉ DO BARREIRO,2320
SÃO JOSÉ DA BELA VISTA,3969
SÃO JOAQUIM DA BARRA,28092
SÃO JOÃO DO PAU D'ALHO,1625
SÃO JOÃO DE IRACEMA,1227
SÃO JOÃO DAS DUAS PONTES,1505
SÃO JOÃO DA BOA VISTA,58304
SÃO FRANCISCO,1964
SÃO CARLOS,145250
SÃO CAETANO DO SUL,120102
SÃO BERNARDO DO CAMPO,426548
SÃO BENTO DO SAPUCAÍ,6708
SANTOS,334470
SANTÓPOLIS DO AGUAPEÍ,2294
SANTO EXPEDITO,1973
SANTO ANTÔNIO DO PINHAL,3686
SANTO ANTÔNIO DO JARDIM,3486
SANTO ANTÔNIO DO ARACANGUÁ,4180
SANTO ANTÔNIO DE POSSE,10587
SANTO ANTÔNIO DA ALEGRIA,3954
SANTO ANDRÉ,426328
SANTO ANASTÁCIO,12420
SANTANA DE PARNAÍBA,63920
SANTANA DA PONTE PENSA,1169
SANTA SALETE,1200
SANTA ROSA DE VITERBO,14349
SANTA RITA DO PASSA QUATRO,17937
SANTA RITA D'OESTE,2051
SANTA MERCEDES,1688
SANTA MARIA DA SERRA,2951
SANTA LÚCIA,3717
SANTA ISABEL,27303
SANTA GERTRUDES,10620
SANTA FÉ DO SUL,23232
SANTA ERNESTINA,2670
SANTA CRUZ DO RIO PARDO,26857
SANTA CRUZ DAS PALMEIRAS,15191
SANTA CRUZ DA ESPERANÇA,1363
SANTA CRUZ DA CONCEIÇÃO,2836
SANTA CLARA D'OESTE,1412
SANTA BRANCA,8067
SANTA BÁRBARA D'OESTE,94712
SANTA ALBERTINA,4107
SANTA ADÉLIA,8277
SANDOVALINA,2090
SALTO GRANDE,5116
SALTO DE PIRAPORA,22902
