Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
TRABIJU;UNICA;35
UNIÃO PAULISTA;UNICA;24
FERNÃO;UNICA;30
DIRCE REIS;UNICA;18
PAULISTÂNIA;UNICA;38
SANTA SALETE;UNICA;30
VITÓRIA BRASIL;UNICA;37
FLORA RICA;UNICA;19
SANTANA DA PONTE PENSA;UNICA;32
SÃO JOÃO DE IRACEMA;UNICA;35
MESÓPOLIS;UNICA;36
ASPÁSIA;UNICA;15
SANTA CRUZ DA ESPERANÇA;UNICA;40
MARINÓPOLIS;UNICA;40
BOREBI;UNICA;50
TURIÚBA;UNICA;39
ARCO-ÍRIS;UNICA;30
SAGRES;UNICA;46
GUARANI D'OESTE;UNICA;30
ARAPEÍ;UNICA;54
NOVA CANAÃ PAULISTA;UNICA;25
TURMALINA;UNICA;23
LUCIANÓPOLIS;UNICA;44
EMBAÚBA;UNICA;60
CRUZÁLIA;UNICA;32
DOLCINÓPOLIS;UNICA;54
BENTO DE ABREU;UNICA;67
SÃO JOÃO DO PAU D'ALHO;UNICA;30
NOVA GUATAPORANGA;UNICA;35
SANTA CLARA D'OESTE;UNICA;32
MONÇÕES;UNICA;50
RIBEIRÃO DOS ÍNDIOS;UNICA;44
SÃO JOÃO DAS DUAS PONTES;UNICA;60
TAQUARAL;UNICA;59
TORRE DE PEDRA;UNICA;50
ÓLEO;UNICA;57
ZACARIAS;UNICA;69
BREJO ALEGRE;UNICA;72
PARISI;UNICA;45
NANTES;UNICA;58
PONTES GESTAL;UNICA;61
CÁSSIA DOS COQUEIROS;UNICA;52
LUTÉCIA;UNICA;55
LOURDES;UNICA;47
RUBIÁCEA;UNICA;47
ESTRELA DO NORTE;UNICA;48
BOM SUCESSO DE ITARARÉ;UNICA;77
QUEIROZ;UNICA;85
TIMBURI;UNICA;39
OSCAR BRESSANE;UNICA;45
JUMIRIM;UNICA;99
SANTA MERCEDES;UNICA;53
MOMBUCA;UNICA;71
GABRIEL MONTEIRO;UNICA;62
ALVINLÂNDIA;UNICA;58
JERIQUARA;UNICA;71
PEDRANÓPOLIS;UNICA;56
RIBEIRA;UNICA;58
PLATINA;UNICA;77
SANTO EXPEDITO;UNICA;60
SANTA RITA D'OESTE;UNICA;58
MARAPOAMA;UNICA;71
PEDRINHAS PAULISTA;UNICA;55
NOVA LUZITÂNIA;UNICA;126
CÂNDIDO RODRIGUES;UNICA;56
ELISIÁRIO;UNICA;100
ITAOCA;UNICA;34
SÃO FRANCISCO;UNICA;43
ALTAIR;UNICA;115
FLORÍNEA;UNICA;26
EMILIANÓPOLIS;UNICA;70
ITAPIRAPUÃ PAULISTA;UNICA;85
