mun_id;drs_desc;mun_desc;ano;faixas_etaria;populacao
3500105;DRS 09 - Marília;Adamantina;2021;20 a 24 anos;2.116
3500204;DRS 15 - São José do Rio Preto;Adolfo;2021;20 a 24 anos;233
3500303;DRS 14 - São João da Boa Vista;Aguaí;2021;20 a 24 anos;2.758
3500402;DRS 14 - São João da Boa Vista;Águas da Prata;2021;20 a 24 anos;522
3500501;DRS 07 - Campinas;Águas de Lindóia;2021;20 a 24 anos;1.299
3500550;DRS 06 - Bauru;Águas de Santa Bárbara;2021;20 a 24 anos;491
3500600;DRS 10 - Piracicaba;Águas de São Pedro;2021;20 a 24 anos;220
3500709;DRS 06 - Bauru;Agudos;2021;20 a 24 anos;2.797
3500758;DRS 16 - Sorocaba;Alambari;2021;20 a 24 anos;542
3500808;DRS 11 - Presidente Prudente;Alfredo Marcondes;2021;20 a 24 anos;260
3500907;DRS 05 - Barretos;Altair;2021;20 a 24 anos;307
3501004;DRS 13 - Ribeirão Preto;Altinópolis;2021;20 a 24 anos;1.175
3501103;DRS 02 - Araçatuba;Alto Alegre;2021;20 a 24 anos;254
3501152;DRS 16 - Sorocaba;Alumínio;2021;20 a 24 anos;1.464
3501202;DRS 15 - São José do Rio Preto;Álvares Florence;2021;20 a 24 anos;231
3501301;DRS 11 - Presidente Prudente;Álvares Machado;2021;20 a 24 anos;1.828
3501400;DRS 09 - Marília;Álvaro de Carvalho;2021;20 a 24 anos;570
3501509;DRS 09 - Marília;Alvinlândia;2021;20 a 24 anos;270
3501608;DRS 07 - Campinas;Americana;2021;20 a 24 anos;15.793
3501707;DRS 03 - Araraquara;Américo Brasiliense;2021;20 a 24 anos;3.250
3501806;DRS 15 - São José do Rio Preto;Américo de Campos;2021;20 a 24 anos;422
3501905;DRS 07 - Campinas;Amparo;2021;20 a 24 anos;4.737
3502002;DRS 10 - Piracicaba;Analândia;2021;20 a 24 anos;377
3502101;DRS 02 - Araçatuba;Andradina;2021;20 a 24 anos;3.912
3502200;DRS 16 - Sorocaba;Angatuba;2021;20 a 24 anos;1.979
3502309;DRS 06 - Bauru;Anhembi;2021;20 a 24 anos;609
3502408;DRS 11 - Presidente Prudente;Anhumas;2021;20 a 24 anos;324
3502507;DRS 17 - Taubaté;Aparecida;2021;20 a 24 anos;2.465
3502606;DRS 15 - São José do Rio Preto;Aparecida d'Oeste;2021;20 a 24 anos;296
3502705;DRS 16 - Sorocaba;Apiaí;2021;20 a 24 anos;2.322
3502754;DRS 16 - Sorocaba;Araçariguama;2021;20 a 24 anos;1.847
3502804;DRS 02 - Araçatuba;Araçatuba;2021;20 a 24 anos;12.884
3502903;DRS 16 - Sorocaba;Araçoiaba da Serra;2021;20 a 24 anos;2.751
3503000;DRS 08 - Franca;Aramina;2021;20 a 24 anos;391
3503109;DRS 06 - Bauru;Arandu;2021;20 a 24 anos;516
3503158;DRS 17 - Taubaté;Arapeí;2021;20 a 24 anos;200
3503208;DRS 03 - Araraquara;Araraquara;2021;20 a 24 anos;15.776
3503307;DRS 10 - Piracicaba;Araras;2021;20 a 24 anos;9.473
3503356;DRS 09 - Marília;Arco-Íris;2021;20 a 24 anos;118
3503406;DRS 06 - Bauru;Arealva;2021;20 a 24 anos;603
3503505;DRS 17 - Taubaté;Areias;2021;20 a 24 anos;345
3503604;DRS 06 - Bauru;Areiópolis;2021;20 a 24 anos;892
3503703;DRS 15 - São José do Rio Preto;Ariranha;2021;20 a 24 anos;692
3503802;DRS 07 - Campinas;Artur Nogueira;2021;20 a 24 anos;4.328
3503901;DRS 01 - Grande São Paulo;Arujá;2021;20 a 24 anos;7.790
3503950;DRS 15 - São José do Rio Preto;Aspásia;2021;20 a 24 anos;116
3504008;DRS 09 - Marília;Assis;2021;20 a 24 anos;7.314
3504107;DRS 07 - Campinas;Atibaia;2021;20 a 24 anos;10.709
3504206;DRS 02 - Araçatuba;Auriflama;2021;20 a 24 anos;941
3504305;DRS 06 - Bauru;Avaí;2021;20 a 24 anos;444
3504404;DRS 02 - Araçatuba;Avanhandava;2021;20 a 24 anos;1.328
3504503;DRS 06 - Bauru;Avaré;2021;20 a 24 anos;6.792
3504602;DRS 15 - São José do Rio Preto;Bady Bassitt;2021;20 a 24 anos;1.277
3504701;DRS 06 - Bauru;Balbinos;2021;20 a 24 anos;590
3504800;DRS 15 - São José do Rio Preto;Bálsamo;2021;20 a 24 anos;563
3504909;DRS 17 - Taubaté;Bananal;2021;20 a 24 anos;846
3505005;DRS 06 - Bauru;Barão de Antonina;2021;20 a 24 anos;297
3505104;DRS 02 - Araçatuba;Barbosa;2021;20 a 24 anos;644
3505203;DRS 06 - Bauru;Bariri;2021;20 a 24 anos;2.676
3505302;DRS 06 - Bauru;Barra Bonita;2021;20 a 24 anos;2.259
3505351;DRS 16 - Sorocaba;Barra do Chapéu;2021;20 a 24 anos;538
3505401;DRS 12 - Registro;Barra do Turvo;2021;20 a 24 anos;759
3505500;DRS 05 - Barretos;Barretos;2021;20 a 24 anos;8.246
3505609;DRS 13 - Ribeirão Preto;Barrinha;2021;20 a 24 anos;2.630
3505708;DRS 01 - Grande São Paulo;Barueri;2021;20 a 24 anos;20.446
3505807;DRS 09 - Marília;Bastos;2021;20 a 24 anos;1.476
3505906;DRS 13 - Ribeirão Preto;Batatais;2021;20 a 24 anos;4.389
3506003;DRS 06 - Bauru;Bauru;2021;20 a 24 anos;26.674
3506102;DRS 05 - Barretos;Bebedouro;2021;20 a 24 anos;5.282
3506201;DRS 02 - Araçatuba;Bento de Abreu;2021;20 a 24 anos;230
3506300;DRS 09 - Marília;Bernardino de Campos;2021;20 a 24 anos;782
3506359;DRS 04 - Baixada Santista;Bertioga;2021;20 a 24 anos;5.726
3506409;DRS 02 - Araçatuba;Bilac;2021;20 a 24 anos;564
3506508;DRS 02 - Araçatuba;Birigui;2021;20 a 24 anos;8.726
3506607;DRS 01 - Grande São Paulo;Biritiba Mirim;2021;20 a 24 anos;2.849
3506706;DRS 03 - Araraquara;Boa Esperança do Sul;2021;20 a 24 anos;1.218
3506805;DRS 06 - Bauru;Bocaina;2021;20 a 24 anos;953
3506904;DRS 06 - Bauru;Bofete;2021;20 a 24 anos;989
3507001;DRS 16 - Sorocaba;Boituva;2021;20 a 24 anos;4.492
3507100;DRS 07 - Campinas;Bom Jesus dos Perdões;2021;20 a 24 anos;2.106
3507159;DRS 16 - Sorocaba;Bom Sucesso de Itararé;2021;20 a 24 anos;385
3507209;DRS 09 - Marília;Borá;2021;20 a 24 anos;58
3507308;DRS 06 - Bauru;Boracéia;2021;20 a 24 anos;373
3507407;DRS 03 - Araraquara;Borborema;2021;20 a 24 anos;1.083
3507456;DRS 06 - Bauru;Borebi;2021;20 a 24 anos;222
3507506;DRS 06 - Bauru;Botucatu;2021;20 a 24 anos;10.516
3507605;DRS 07 - Campinas;Bragança Paulista;2021;20 a 24 anos;12.638
3507704;DRS 02 - Araçatuba;Braúna;2021;20 a 24 anos;414
3507753;DRS 02 - Araçatuba;Brejo Alegre;2021;20 a 24 anos;229
3507803;DRS 13 - Ribeirão Preto;Brodowski;2021;20 a 24 anos;1.977
3507902;DRS 06 - Bauru;Brotas;2021;20 a 24 anos;1.877
3508009;DRS 16 - Sorocaba;Buri;2021;20 a 24 anos;1.757
3508108;DRS 02 - Araçatuba;Buritama;2021;20 a 24 anos;1.170
3508207;DRS 08 - Franca;Buritizal;2021;20 a 24 anos;289
