Acre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;765325;384406;380919;16489;3899;x;21.55;5.09;71.68;68.46;75.4;22.08;24.17;19.88;2.45;59.25;6.97;66.22;11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;778499;390823;387676;18278;3903;1.72;23.48;5.01;72.11;68.87;75.8;21.03;22.99;18.96;2.67;57.64;7.03;64.67;12.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;792045;397432;394613;17247;3921;1.74;21.78;4.95;72.51;69.27;76.19;20.06;21.92;18.11;2.47;56.06;7.09;63.15;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;805014;403747;401267;17142;3930;1.64;21.29;4.88;72.89;69.66;76.56;19.18;20.93;17.34;2.41;54.34;7.16;61.5;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;818273;410212;408061;17857;3961;1.65;21.82;4.84;73.26;70.02;76.9;18.37;20.03;16.62;2.46;52.7;7.25;59.94;13.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;831665;416747;414918;17461;3995;1.64;21;4.8;73.61;70.37;77.23;17.63;19.21;15.97;2.37;51.14;7.35;58.48;14.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;844137;422813;421324;16068;4019;1.5;19.03;4.76;73.94;70.7;77.54;16.95;18.46;15.37;2.15;49.41;7.47;56.88;15.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;856457;428803;427654;17213;4061;1.46;20.1;4.74;74.25;71.01;77.83;16.34;17.78;14.83;2.26;47.74;7.6;55.34;15.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;869265;435044;434221;17136;4122;1.5;19.71;4.74;74.55;71.31;78.1;15.78;17.16;14.33;2.22;46.26;7.75;54.02;16.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;881935;441216;440719;17047;4178;1.46;19.33;4.74;74.83;71.6;78.36;15.27;16.6;13.88;2.18;44.96;7.92;52.89;17.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;894470;447320;447150;16975;4240;1.42;18.98;4.74;75.09;71.87;78.6;14.81;16.09;13.48;2.14;43.66;8.1;51.76;18.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;906876;453359;453517;16912;4312;1.39;18.65;4.75;75.33;72.12;78.83;14.4;15.63;13.11;2.1;42.4;8.29;50.69;19.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;919145;459329;459816;16839;4388;1.35;18.32;4.77;75.57;72.36;79.04;14.02;15.22;12.77;2.07;41.29;8.5;49.79;20.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;931268;465226;466042;16774;4474;1.32;18.01;4.8;75.78;72.59;79.24;13.69;14.84;12.47;2.04;40.21;8.72;48.93;21.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;943235;471044;472191;16692;4564;1.29;17.7;4.84;75.99;72.8;79.43;13.38;14.51;12.2;2.01;39.27;8.96;48.23;22.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;955012;476766;478246;16570;4660;1.25;17.35;4.88;76.18;73.01;79.61;13.1;14.2;11.95;1.99;38.63;9.21;47.85;23.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;966579;482382;484197;16463;4762;1.21;17.03;4.93;76.37;73.2;79.77;12.86;13.93;11.73;1.97;37.96;9.47;47.44;24.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;977945;487896;490049;16372;4874;1.18;16.74;4.98;76.54;73.38;79.93;12.63;13.68;11.53;1.95;37.23;9.73;46.96;26.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;989104;493306;495798;16268;4991;1.14;16.45;5.05;76.7;73.55;80.07;12.43;13.46;11.35;1.93;36.62;10.01;46.63;27.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;1000048;498606;501442;16174;5115;1.11;16.17;5.11;76.85;73.71;80.2;12.25;13.26;11.19;1.91;35.97;10.3;46.27;28.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;1010772;503795;506977;16070;5244;1.07;15.9;5.19;76.99;73.85;80.33;12.09;13.08;11.04;1.89;35.31;10.62;45.92;30.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;1021247;508858;512389;15938;5380;1.04;15.61;5.27;77.12;74;80.45;11.94;12.91;10.91;1.88;34.83;10.97;45.8;31.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;1031453;513785;517668;15810;5521;1;15.33;5.35;77.24;74.13;80.56;11.81;12.77;10.8;1.87;34.38;11.35;45.73;33.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;1041392;518577;522815;15693;5670;0.96;15.07;5.44;77.36;74.25;80.66;11.69;12.64;10.69;1.86;33.83;11.75;45.58;34.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;1051065;523235;527830;15583;5826;0.93;14.83;5.54;77.47;74.37;80.75;11.58;12.52;10.6;1.85;33.31;12.16;45.46;36.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;1060470;527757;532713;15473;5985;0.89;14.59;5.64;77.57;74.48;80.84;11.49;12.42;10.51;1.84;32.8;12.57;45.38;38.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;1069591;532134;537457;15342;6154;0.86;14.34;5.75;77.66;74.58;80.92;11.4;12.32;10.44;1.83;32.31;13;45.31;40.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;1078410;536358;542052;15211;6326;0.82;14.11;5.87;77.75;74.67;81;11.33;12.24;10.37;1.82;31.83;13.43;45.26;42.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;1086926;540428;546498;15085;6505;0.79;13.88;5.98;77.84;74.76;81.07;11.26;12.16;10.31;1.81;31.37;13.88;45.25;44.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;1095137;544343;550794;14967;6693;0.76;13.67;6.11;77.91;74.84;81.14;11.2;12.09;10.25;1.81;30.93;14.35;45.28;46.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;1103044;548104;554940;14857;6884;0.72;13.47;6.24;77.98;74.92;81.2;11.14;12.03;10.2;1.8;30.51;14.87;45.38;48.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;1110642;551708;558934;14739;7080;0.69;13.27;6.37;78.05;75;81.26;11.09;11.98;10.16;1.8;30.12;15.42;45.54;51.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;1117921;555151;562770;14618;7285;0.66;13.08;6.52;78.11;75.06;81.31;11.04;11.93;10.12;1.79;29.74;16.01;45.75;53.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;1124876;558430;566446;14503;7493;0.62;12.89;6.66;78.17;75.13;81.36;11.01;11.88;10.08;1.79;29.39;16.62;46.01;56.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;1131507;561545;569962;14394;7707;0.59;12.72;6.81;78.22;75.19;81.41;10.97;11.84;10.05;1.78;29.06;17.26;46.32;59.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;1137820;564499;573321;14297;7926;0.56;12.57;6.97;78.28;75.24;81.45;10.94;11.81;10.02;1.78;28.74;17.91;46.65;62.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;1143815;567293;576522;14203;8150;0.53;12.42;7.13;78.32;75.3;81.49;10.91;11.78;10;1.78;28.44;18.58;47.02;65.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;1149489;569925;579564;14107;8377;0.5;12.27;7.29;78.37;75.34;81.53;10.89;11.75;9.97;1.77;28.17;19.27;47.44;68.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
