Amapá;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;694261;347935;346326;16436;3145;x;23.67;4.53;72.13;69.2;75.36;24.58;25.01;24.13;2.55;56.15;5.44;61.59;9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;711453;356510;354943;15903;3184;2.48;22.35;4.48;72.47;69.6;75.61;24.34;24.75;23.9;2.39;54.37;5.48;59.85;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;728015;364765;363250;15378;3220;2.33;21.12;4.42;72.78;69.98;75.85;24.11;24.51;23.68;2.26;52.5;5.52;58.02;10.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;744809;373140;371669;16591;3282;2.31;22.28;4.41;73.09;70.34;76.08;23.88;24.28;23.47;2.38;50.77;5.56;56.33;11.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;762156;381800;380356;16746;3356;2.33;21.97;4.4;73.38;70.69;76.31;23.67;24.05;23.25;2.35;49.25;5.63;54.88;11.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;779416;390417;388999;16681;3418;2.26;21.4;4.39;73.66;71.02;76.53;23.45;23.84;23.04;2.29;47.82;5.72;53.54;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;796419;398904;397515;16484;3483;2.18;20.7;4.37;73.93;71.33;76.74;23.24;23.62;22.83;2.22;46.28;5.84;52.11;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;813084;407218;405866;16264;3550;2.09;20;4.37;74.19;71.62;76.94;23.03;23.41;22.62;2.15;44.9;5.98;50.88;13.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;829494;415402;414092;16239;3624;2.02;19.58;4.37;74.43;71.9;77.14;22.82;23.2;22.41;2.11;43.59;6.15;49.75;14.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;845731;423498;422233;16202;3704;1.96;19.16;4.38;74.66;72.17;77.33;22.61;22.99;22.21;2.07;42.46;6.35;48.81;15.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;861773;431494;430279;16139;3789;1.9;18.73;4.4;74.88;72.41;77.52;22.41;22.79;22;2.04;41.57;6.57;48.14;15.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;877613;439387;438226;16098;3880;1.84;18.34;4.42;75.09;72.65;77.7;22.21;22.59;21.8;2.01;40.68;6.81;47.48;16.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;893253;447178;446075;16054;3977;1.78;17.97;4.45;75.29;72.87;77.87;22.01;22.39;21.61;1.98;39.84;7.06;46.91;17.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;908689;454864;453825;16020;4080;1.73;17.63;4.49;75.47;73.08;78.04;21.81;22.2;21.41;1.96;39.01;7.33;46.35;18.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;923930;462449;461481;16002;4189;1.68;17.32;4.53;75.66;73.27;78.2;21.62;22;21.22;1.94;38.13;7.61;45.74;19.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;938973;469931;469042;15971;4302;1.63;17.01;4.58;75.82;73.45;78.35;21.42;21.81;21.02;1.93;37.32;7.89;45.21;21.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;953802;477301;476501;15934;4422;1.58;16.71;4.64;75.99;73.62;78.5;21.24;21.62;20.84;1.91;36.6;8.18;44.78;22.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;968401;484550;483851;15881;4547;1.53;16.4;4.7;76.14;73.78;78.65;21.05;21.43;20.65;1.9;36.02;8.49;44.51;23.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;982762;491674;491088;15843;4679;1.48;16.12;4.76;76.28;73.93;78.79;20.87;21.25;20.46;1.88;35.39;8.81;44.2;24.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;996900;498679;498221;15834;4818;1.44;15.88;4.83;76.42;74.07;78.92;20.68;21.06;20.28;1.87;34.68;9.14;43.81;26.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;1010824;505570;505254;15824;4964;1.4;15.65;4.91;76.55;74.21;79.05;20.5;20.88;20.1;1.86;34;9.48;43.48;27.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;1024549;512355;512194;15799;5118;1.36;15.42;5;76.67;74.33;79.18;20.33;20.7;19.92;1.86;33.37;9.85;43.23;29.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;1038086;519040;519046;15763;5277;1.32;15.18;5.08;76.79;74.44;79.3;20.15;20.53;19.74;1.85;32.82;10.24;43.06;31.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;1051422;525617;525805;15725;5447;1.28;14.96;5.18;76.9;74.55;79.41;19.97;20.35;19.57;1.84;32.32;10.65;42.97;33.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;1064553;532084;532469;15697;5620;1.25;14.75;5.28;77.01;74.65;79.52;19.8;20.18;19.39;1.84;31.84;11.09;42.93;34.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;1077482;538443;539039;15676;5804;1.21;14.55;5.39;77.1;74.75;79.63;19.63;20.01;19.22;1.83;31.4;11.54;42.94;36.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;1090196;544687;545509;15641;5994;1.18;14.35;5.5;77.2;74.83;79.73;19.46;19.84;19.05;1.83;31;12.02;43.02;38.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;1102682;550808;551874;15607;6191;1.15;14.15;5.61;77.29;74.92;79.83;19.29;19.67;18.89;1.82;30.62;12.52;43.14;40.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;1114930;556802;558128;15567;6396;1.11;13.96;5.74;77.37;74.99;79.93;19.13;19.51;18.72;1.82;30.27;13.04;43.31;43.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;1126929;562663;564266;15527;6609;1.08;13.78;5.86;77.45;75.06;80.02;18.96;19.34;18.56;1.82;29.93;13.58;43.52;45.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;1138677;568390;570287;15498;6829;1.04;13.61;6;77.53;75.13;80.1;18.8;19.18;18.4;1.82;29.62;14.13;43.75;47.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;1150166;573979;576187;15460;7058;1.01;13.44;6.14;77.6;75.19;80.19;18.64;19.02;18.24;1.81;29.33;14.7;44.02;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;1161390;579427;581963;15434;7295;0.98;13.29;6.28;77.67;75.25;80.27;18.49;18.87;18.08;1.81;29.06;15.27;44.33;52.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;1172345;584732;587613;15401;7539;0.94;13.14;6.43;77.73;75.3;80.35;18.33;18.71;17.93;1.81;28.81;15.87;44.67;55.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;1183015;589886;593129;15360;7791;0.91;12.98;6.59;77.79;75.35;80.42;18.18;18.56;17.78;1.81;28.57;16.48;45.05;57.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;1193397;594889;598508;15332;8046;0.88;12.85;6.74;77.86;75.4;80.49;18.03;18.41;17.63;1.81;28.35;17.12;45.47;60.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;1203492;599741;603751;15304;8308;0.85;12.72;6.9;77.91;75.44;80.56;17.88;18.26;17.48;1.81;28.15;17.77;45.92;63.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;1213300;604442;608858;15288;8575;0.81;12.6;7.07;77.96;75.48;80.63;17.73;18.11;17.33;1.81;27.96;18.45;46.42;65.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;1222818;608991;613827;15265;8849;0.78;12.48;7.24;78.01;75.52;80.69;17.59;17.97;17.18;1.81;27.8;19.15;46.95;68.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;1232031;613381;618650;15228;9126;0.75;12.36;7.41;78.06;75.55;80.75;17.45;17.83;17.04;1.8;27.64;19.85;47.49;72.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;1240930;617608;623322;15195;9407;0.72;12.24;7.58;78.11;75.59;80.81;17.3;17.68;16.9;1.8;27.49;20.54;48.04;74.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;1249514;621672;627842;15165;9693;0.69;12.14;7.76;78.15;75.62;80.87;17.17;17.54;16.76;1.8;27.36;21.24;48.6;77.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;1257785;625575;632210;15145;9983;0.66;12.04;7.94;78.19;75.64;80.92;17.03;17.41;16.62;1.8;27.23;21.93;49.16;80.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
