Ceará;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;8623766;4205272;4418494;133724;61299;x;15.51;7.11;72.4;68.49;76.4;19.68;21.67;17.59;1.75;39.91;11.41;51.32;28.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;8681591;4231006;4450585;133209;61334;0.67;15.34;7.06;72.65;68.74;76.66;18.57;20.36;16.68;1.73;38.5;11.49;49.99;29.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;8738045;4256030;4482015;130855;61605;0.65;14.98;7.05;72.91;68.98;76.91;17.56;19.18;15.86;1.68;37.1;11.6;48.7;31.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;8792607;4280105;4512502;129636;61979;0.62;14.74;7.05;73.15;69.22;77.16;16.65;18.12;15.1;1.65;35.76;11.74;47.5;33.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;8847031;4304146;4542885;130986;62444;0.62;14.81;7.06;73.39;69.46;77.39;15.81;17.16;14.4;1.66;34.57;11.89;46.46;34.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;8905267;4330182;4575085;137806;62959;0.66;15.47;7.07;73.62;69.69;77.62;15.07;16.3;13.77;1.74;33.64;12.06;45.7;35.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;8962834;4355918;4606916;130201;63430;0.65;14.53;7.08;73.85;69.91;77.85;14.4;15.54;13.2;1.64;32.9;12.24;45.14;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;9018764;4380860;4637904;135072;63931;0.62;14.98;7.09;74.07;70.13;78.06;13.79;14.85;12.67;1.7;32.27;12.45;44.72;38.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;9076426;4406739;4669687;134319;64518;0.64;14.8;7.11;74.28;70.34;78.26;13.24;14.23;12.2;1.7;31.8;12.67;44.47;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;9132858;4432035;4700823;133350;65101;0.62;14.6;7.13;74.48;70.55;78.46;12.75;13.68;11.77;1.69;31.43;12.91;44.35;40.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;9187886;4456662;4731224;132295;65736;0.6;14.4;7.15;74.68;70.75;78.65;12.31;13.19;11.38;1.69;31.05;13.17;44.21;42.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;9241366;4480553;4760813;131131;66409;0.58;14.19;7.19;74.88;70.95;78.84;11.91;12.75;11.03;1.68;30.65;13.43;44.09;43.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;9293112;4503609;4789503;129802;67145;0.56;13.97;7.23;75.07;71.15;79.02;11.56;12.36;10.72;1.68;30.31;13.72;44.03;45.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
