Distrito Federal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;2639212;1264740;1374472;42303;10922;x;16.03;4.14;76.34;72.55;79.88;11.99;12.89;11.05;1.65;35.1;6.96;42.06;19.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;2681052;1285153;1395899;42031;11072;1.59;15.68;4.13;76.67;72.89;80.18;11.73;12.6;10.81;1.63;34.08;7.2;41.28;21.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;2722198;1305219;1416979;41585;11267;1.53;15.28;4.14;76.98;73.22;80.47;11.47;12.32;10.58;1.6;33.07;7.47;40.54;22.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;2763488;1325368;1438120;43078;11509;1.52;15.59;4.16;77.28;73.53;80.75;11.22;12.06;10.35;1.65;32.12;7.76;39.87;23.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;2805774;1346039;1459735;44406;11774;1.53;15.83;4.2;77.57;73.84;81.01;10.99;11.8;10.13;1.7;31.27;8.07;39.34;25.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;2848633;1367015;1481618;45095;12058;1.53;15.83;4.23;77.85;74.13;81.27;10.76;11.55;9.92;1.71;30.51;8.4;38.91;27.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;2890224;1387354;1502870;42755;12334;1.46;14.79;4.27;78.12;74.41;81.51;10.53;11.3;9.72;1.62;29.67;8.75;38.42;29.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;2931057;1407318;1523739;44484;12644;1.41;15.18;4.31;78.37;74.68;81.74;10.32;11.07;9.53;1.68;28.92;9.12;38.04;31.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;2972209;1427459;1544750;44364;12982;1.4;14.93;4.37;78.62;74.94;81.96;10.11;10.84;9.34;1.68;28.27;9.51;37.79;33.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;3012718;1447284;1565434;44210;13333;1.36;14.67;4.43;78.85;75.19;82.18;9.91;10.63;9.15;1.68;27.68;9.92;37.61;35.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;3052546;1466775;1585771;44045;13701;1.32;14.43;4.49;79.08;75.43;82.38;9.71;10.42;8.98;1.67;27.1;10.35;37.45;38.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;3091667;1485920;1605747;43879;14095;1.28;14.19;4.56;79.3;75.66;82.57;9.53;10.21;8.81;1.67;26.56;10.8;37.35;40.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;3130014;1504684;1625330;43637;14517;1.24;13.94;4.64;79.5;75.88;82.75;9.35;10.01;8.64;1.66;26.14;11.27;37.4;43.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;3167502;1523026;1644476;43346;14959;1.2;13.68;4.72;79.7;76.09;82.92;9.17;9.82;8.48;1.66;25.83;11.76;37.59;45.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;3204070;1540916;1663154;43031;15426;1.15;13.43;4.81;79.89;76.28;83.09;9.01;9.64;8.33;1.65;25.59;12.3;37.89;47.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;3239675;1558334;1681341;42709;15926;1.11;13.18;4.92;80.06;76.47;83.24;8.84;9.46;8.18;1.65;25.43;12.87;38.3;50.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;3274291;1575269;1699022;42390;16445;1.07;12.95;5.02;80.23;76.66;83.39;8.68;9.29;8.04;1.65;25.31;13.47;38.78;53.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;3307883;1591704;1716179;42045;16986;1.03;12.71;5.14;80.4;76.83;83.53;8.53;9.13;7.9;1.64;25.21;14.11;39.32;55.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;3340408;1607617;1732791;41694;17559;0.98;12.48;5.26;80.55;76.99;83.67;8.38;8.97;7.77;1.64;25.08;14.78;39.86;59.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;3371845;1622999;1748846;41356;18152;0.94;12.27;5.38;80.7;77.15;83.8;8.25;8.81;7.64;1.63;24.88;15.46;40.34;62.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;3402180;1637843;1764337;41021;18766;0.9;12.06;5.52;80.83;77.3;83.92;8.11;8.67;7.52;1.63;24.63;16.16;40.79;65.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;3431469;1652176;1779293;40670;19399;0.86;11.85;5.65;80.97;77.44;84.03;7.97;8.52;7.4;1.62;24.42;16.88;41.3;68.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;3459755;1666019;1793736;40312;20061;0.82;11.65;5.8;81.09;77.58;84.14;7.85;8.38;7.29;1.62;24.23;17.63;41.86;72.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;3487020;1679363;1807657;39977;20749;0.79;11.46;5.95;81.21;77.71;84.24;7.73;8.25;7.18;1.62;23.99;18.4;42.39;76.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;3513254;1692203;1821051;39654;21465;0.75;11.29;6.11;81.33;77.83;84.34;7.61;8.12;7.07;1.61;23.75;19.17;42.92;80.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;3538436;1704529;1833907;39332;22208;0.72;11.12;6.28;81.43;77.95;84.43;7.5;8;6.97;1.61;23.52;19.95;43.46;84.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;3562521;1716320;1846201;38974;22978;0.68;10.94;6.45;81.54;78.06;84.52;7.39;7.88;6.87;1.6;23.28;20.73;44.01;88.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
