Goiás;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;6111792;3036882;3074910;92427;36044;x;15.12;5.9;73.13;70.1;76.38;17.71;18.91;16.45;1.69;35.17;8.98;44.14;25.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;6214241;3087239;3127002;95638;36948;1.68;15.39;5.95;73.31;70.26;76.57;17.2;18.37;15.97;1.73;34.34;9.16;43.5;26.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;6316302;3137333;3178969;94827;37866;1.64;15.01;5.99;73.49;70.42;76.77;16.71;17.85;15.51;1.7;33.57;9.36;42.93;27.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;6417591;3186973;3230618;97318;38815;1.6;15.16;6.05;73.66;70.58;76.95;16.24;17.35;15.07;1.74;32.85;9.58;42.43;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;6520857;3237569;3283288;102095;39820;1.61;15.66;6.11;73.83;70.74;77.14;15.79;16.87;14.64;1.81;32.28;9.82;42.1;30.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;6625528;3288834;3336694;103506;40835;1.61;15.62;6.16;74;70.9;77.33;15.35;16.41;14.23;1.82;31.86;10.08;41.94;31.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;6726130;3337975;3388155;97279;41786;1.52;14.46;6.21;74.17;71.06;77.51;14.93;15.97;13.83;1.71;31.54;10.36;41.9;32.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;6824504;3385940;3438564;102373;42799;1.46;15;6.27;74.34;71.21;77.68;14.52;15.54;13.45;1.79;31.21;10.67;41.88;34.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;6923655;3434271;3489384;102288;43885;1.45;14.77;6.34;74.5;71.36;77.86;14.14;15.13;13.09;1.79;30.96;10.99;41.95;35.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;7020904;3481598;3539306;102081;44952;1.4;14.54;6.4;74.67;71.51;78.03;13.76;14.74;12.74;1.78;30.76;11.34;42.1;37.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;7116143;3527872;3588271;101776;46036;1.36;14.3;6.47;74.83;71.66;78.2;13.41;14.36;12.4;1.77;30.59;11.7;42.29;38.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;7209247;3573033;3636214;101345;47129;1.31;14.06;6.54;74.99;71.81;78.37;13.07;14;12.08;1.77;30.44;12.09;42.53;39.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;7300083;3617015;3683068;100833;48272;1.26;13.81;6.61;75.14;71.96;78.53;12.74;13.66;11.77;1.76;30.35;12.5;42.85;41.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;7388558;3659775;3728783;100297;49443;1.21;13.57;6.69;75.3;72.1;78.7;12.42;13.33;11.47;1.76;30.24;12.93;43.18;42.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;7474621;3701294;3773327;99725;50632;1.16;13.34;6.77;75.45;72.25;78.85;12.13;13.01;11.19;1.75;30.13;13.39;43.52;44.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
