Mato Grosso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;3106513;1586508;1520005;52071;16836;x;16.76;5.42;72.64;69.54;76.33;19.52;20.98;17.98;1.88;38.63;7.44;46.07;19.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;3145830;1605262;1540568;50466;17076;1.27;16.04;5.43;72.92;69.81;76.6;19.05;20.49;17.53;1.81;37.61;7.65;45.26;20.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;3185148;1624000;1561148;52773;17385;1.25;16.57;5.46;73.19;70.08;76.86;18.59;20.01;17.08;1.89;36.67;7.87;44.53;21.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;3226030;1643522;1582508;54405;17734;1.28;16.86;5.5;73.46;70.35;77.11;18.14;19.55;16.66;1.94;35.87;8.11;43.98;22.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;3269448;1664325;1605123;58730;18121;1.35;17.96;5.54;73.72;70.61;77.36;17.71;19.11;16.24;2.09;35.28;8.37;43.65;23.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;3314540;1685970;1628570;58678;18506;1.38;17.7;5.58;73.97;70.87;77.61;17.3;18.67;15.84;2.08;34.87;8.65;43.52;24.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;3356979;1706243;1650736;54277;18824;1.28;16.17;5.61;74.22;71.12;77.84;16.89;18.26;15.45;1.93;34.51;8.97;43.48;26.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;3398791;1726185;1672606;58267;19199;1.25;17.14;5.65;74.47;71.37;78.08;16.49;17.85;15.07;2.07;34.24;9.31;43.55;27.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;3441998;1746832;1695166;58015;19622;1.27;16.86;5.7;74.71;71.61;78.3;16.12;17.46;14.71;2.06;34.04;9.68;43.72;28.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;3484466;1767091;1717375;57774;20032;1.23;16.58;5.75;74.94;71.84;78.52;15.75;17.08;14.36;2.06;33.8;10.07;43.87;29.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
