Pará;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;7762953;3915560;3847393;152324;44609;x;19.62;5.75;70.87;67.46;74.73;20.3;22.98;17.47;2.14;50.06;7.41;57.48;14.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;7862943;3963990;3898953;152858;45060;1.29;19.44;5.73;71.09;67.62;75.01;19.57;22.18;16.83;2.12;48.59;7.49;56.08;15.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;7960134;4010819;3949315;147482;45602;1.24;18.53;5.73;71.3;67.78;75.28;18.89;21.42;16.23;2.02;47.08;7.57;54.65;16.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;8054419;4056010;3998409;147957;46204;1.18;18.37;5.74;71.51;67.94;75.55;18.26;20.71;15.67;2;45.57;7.67;53.23;16.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;8149418;4101424;4047994;149988;46915;1.18;18.4;5.76;71.71;68.1;75.8;17.65;20.04;15.14;2.01;44.17;7.78;51.95;17.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;8244575;4146782;4097793;149502;47667;1.17;18.13;5.78;71.91;68.25;76.05;17.09;19.42;14.65;1.99;42.9;7.91;50.82;18.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;8334346;4189258;4145088;140422;48358;1.09;16.85;5.8;72.1;68.4;76.29;16.56;18.83;14.18;1.86;41.68;8.07;49.75;19.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;8422634;4230858;4191776;147813;49179;1.06;17.55;5.84;72.29;68.55;76.52;16.07;18.27;13.75;1.94;40.56;8.26;48.82;20.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;8513497;4273661;4239836;147080;50097;1.08;17.28;5.88;72.48;68.7;76.74;15.6;17.75;13.35;1.92;39.56;8.46;48.02;21.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;8602865;4315587;4287278;146401;50996;1.05;17.02;5.93;72.66;68.85;76.95;15.17;17.26;12.97;1.91;38.61;8.68;47.29;22.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;8690745;4356651;4334094;145701;51930;1.02;16.77;5.98;72.83;69;77.16;14.77;16.81;12.62;1.89;37.72;8.91;46.64;23.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;8777124;4396853;4380271;145071;52902;0.99;16.53;6.03;73.01;69.14;77.36;14.39;16.38;12.3;1.88;36.84;9.16;46;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;8861974;4436183;4425791;144395;53917;0.97;16.29;6.08;73.18;69.29;77.56;14.04;15.98;11.99;1.87;36.03;9.42;45.45;26.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;8945219;4474611;4470608;143707;54983;0.94;16.07;6.15;73.34;69.43;77.74;13.71;15.61;11.71;1.86;35.27;9.69;44.96;27.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;9026771;4512095;4514676;142936;56079;0.91;15.83;6.21;73.5;69.57;77.92;13.4;15.26;11.45;1.85;34.6;9.98;44.58;28.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;9106465;4548557;4557908;141973;57200;0.88;15.59;6.28;73.66;69.71;78.1;13.12;14.93;11.2;1.84;34.07;10.28;44.36;30.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;9184171;4583943;4600228;141012;58368;0.85;15.35;6.36;73.81;69.84;78.26;12.85;14.63;10.98;1.84;33.59;10.6;44.19;31.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;9259811;4618219;4641592;140000;59590;0.82;15.12;6.44;73.96;69.98;78.42;12.61;14.35;10.77;1.83;33.16;10.92;44.08;33.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;9333294;4651343;4681951;138923;60829;0.79;14.88;6.52;74.11;70.11;78.58;12.37;14.08;10.57;1.83;32.79;11.26;44.04;34.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;9404564;4683292;4721272;137886;62138;0.76;14.66;6.61;74.25;70.24;78.73;12.15;13.83;10.39;1.82;32.38;11.61;43.99;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;9473593;4714061;4759532;136843;63464;0.73;14.44;6.7;74.39;70.37;78.87;11.96;13.6;10.23;1.82;31.97;11.98;43.95;37.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;9540216;4743585;4796631;135644;64826;0.7;14.22;6.8;74.53;70.5;79.01;11.77;13.39;10.07;1.82;31.65;12.38;44.03;39.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;9604249;4771787;4832462;134438;66241;0.67;14;6.9;74.66;70.63;79.14;11.6;13.18;9.93;1.81;31.34;12.81;44.15;41.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;9665694;4798674;4867020;133336;67693;0.64;13.79;7;74.8;70.76;79.27;11.44;13;9.8;1.81;30.97;13.25;44.22;42.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;9724587;4824266;4900321;132274;69181;0.61;13.6;7.11;74.92;70.88;79.39;11.28;12.82;9.68;1.81;30.61;13.71;44.32;44.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;9780938;4848575;4932363;131273;70716;0.58;13.42;7.23;75.05;71;79.51;11.15;12.66;9.56;1.81;30.26;14.18;44.44;46.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;9834703;4871586;4963117;130198;72275;0.55;13.24;7.35;75.17;71.12;79.62;11.02;12.5;9.46;1.81;29.92;14.67;44.59;48.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;9885814;4893268;4992546;129139;73890;0.52;13.06;7.47;75.28;71.24;79.73;10.9;12.36;9.36;1.81;29.59;15.17;44.76;51.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;9934265;4913623;5020642;128136;75534;0.49;12.9;7.6;75.4;71.36;79.83;10.79;12.23;9.27;1.81;29.27;15.68;44.96;53.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;9980050;4932654;5047396;127155;77236;0.46;12.74;7.74;75.51;71.47;79.93;10.68;12.11;9.19;1.8;28.97;16.23;45.2;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;10023188;4950380;5072808;126256;78948;0.43;12.6;7.88;75.63;71.59;80.03;10.59;11.99;9.11;1.8;28.68;16.81;45.49;58.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;10063691;4966816;5096875;125366;80716;0.4;12.46;8.02;75.73;71.7;80.12;10.5;11.88;9.04;1.8;28.42;17.42;45.84;61.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;10101541;4981961;5119580;124512;82513;0.38;12.33;8.17;75.84;71.81;80.21;10.41;11.78;8.98;1.8;28.17;18.07;46.24;64.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;10136721;4995818;5140903;123667;84357;0.35;12.2;8.32;75.94;71.92;80.29;10.34;11.69;8.92;1.8;27.95;18.75;46.69;67.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;10169203;5008379;5160824;122823;86220;0.32;12.08;8.48;76.04;72.03;80.37;10.27;11.6;8.86;1.8;27.74;19.45;47.19;70.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;10198997;5019656;5179341;122038;88104;0.29;11.97;8.64;76.14;72.14;80.45;10.2;11.52;8.81;1.8;27.55;20.19;47.74;73.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;10226126;5029666;5196460;121288;90015;0.27;11.86;8.8;76.23;72.24;80.52;10.14;11.44;8.76;1.8;27.39;20.95;48.34;76.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;10250595;5038414;5212181;120559;91945;0.24;11.76;8.97;76.32;72.35;80.59;10.08;11.37;8.72;1.8;27.24;21.74;48.98;79.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;10272374;5045894;5226480;119794;93900;0.21;11.66;9.14;76.41;72.45;80.66;10.03;11.31;8.68;1.8;27.11;22.55;49.66;83.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;10291421;5052094;5239327;119023;95873;0.19;11.57;9.32;76.5;72.55;80.73;9.97;11.24;8.64;1.8;27;23.36;50.36;86.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;10307745;5057027;5250718;118295;97847;0.16;11.48;9.49;76.58;72.65;80.79;9.93;11.19;8.61;1.8;26.9;24.16;51.06;89.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;10321384;5060718;5260666;117607;99826;0.13;11.39;9.67;76.67;72.74;80.85;9.89;11.13;8.58;1.8;26.8;24.96;51.76;92.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;10332358;5063186;5269172;116927;101810;0.11;11.32;9.85;76.75;72.84;80.9;9.85;11.08;8.55;1.8;26.72;25.74;52.46;96.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;10340631;5064421;5276210;116193;103813;0.08;11.24;10.04;76.83;72.94;80.96;9.81;11.03;8.52;1.8;26.65;26.51;53.16;99.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;10346154;5064407;5281747;115424;105807;0.05;11.16;10.23;76.91;73.03;81.01;9.77;10.99;8.5;1.8;26.58;27.28;53.86;102.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;10348902;5063144;5285758;114639;107810;0.03;11.08;10.42;76.98;73.12;81.06;9.74;10.95;8.47;1.8;26.53;28.04;54.57;105.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;10348887;5060649;5288238;113903;109812;0;11.01;10.61;77.06;73.21;81.11;9.71;10.91;8.45;1.8;26.48;28.8;55.28;108.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;10346144;5056949;5289195;113162;111790;-0.03;10.94;10.8;77.13;73.3;81.15;9.69;10.87;8.43;1.8;26.44;29.54;55.98;111.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;10340650;5052039;5288611;112362;113771;-0.05;10.87;11;77.19;73.39;81.2;9.66;10.84;8.42;1.8;26.41;30.28;56.69;114.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;10332396;5045921;5286475;111553;115701;-0.08;10.8;11.2;77.27;73.47;81.24;9.63;10.81;8.4;1.8;26.38;31.03;57.42;117.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;10321412;5038618;5282794;110740;117610;-0.11;10.73;11.39;77.33;73.56;81.28;9.61;10.78;8.38;1.8;26.37;31.81;58.18;120.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
