Paraíba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;3840796;1861223;1979573;58544;32139;x;15.24;8.37;71.24;67.38;75.1;22.87;23.29;22.43;1.76;39.13;12.91;52.04;33.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;3859813;1869634;1990179;56215;31682;0.5;14.56;8.21;71.59;67.73;75.46;21.46;21.81;21.1;1.68;38.05;12.96;51.01;34.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;3875373;1876227;1999146;50642;31346;0.4;13.07;8.09;71.94;68.06;75.82;20.18;20.47;19.87;1.51;36.88;13.07;49.94;35.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;3890494;1882569;2007925;54623;31163;0.39;14.04;8.01;72.29;68.4;76.16;19.02;19.27;18.75;1.63;35.73;13.21;48.94;37.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;3910059;1891174;2018885;59128;31138;0.5;15.12;7.96;72.61;68.72;76.49;17.97;18.19;17.72;1.76;34.81;13.36;48.17;38.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;3932537;1901265;2031272;60204;31114;0.57;15.31;7.91;72.93;69.03;76.8;17.01;17.22;16.79;1.79;34.05;13.52;47.57;39.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;3953693;1910681;2043012;56213;31063;0.54;14.22;7.86;73.23;69.34;77.11;16.15;16.34;15.94;1.67;33.27;13.68;46.95;41.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;3974437;1919893;2054544;59138;31064;0.52;14.88;7.82;73.53;69.63;77.4;15.37;15.56;15.17;1.76;32.57;13.86;46.42;42.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;3996496;1929789;2066707;58711;31128;0.56;14.69;7.79;73.82;69.92;77.67;14.66;14.85;14.47;1.76;32.01;14.05;46.06;43.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;4018127;1939480;2078647;58234;31211;0.54;14.49;7.77;74.09;70.2;77.94;14.03;14.21;13.85;1.75;31.52;14.26;45.78;45.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;4039277;1948943;2090334;57747;31318;0.53;14.3;7.75;74.36;70.47;78.19;13.47;13.64;13.28;1.74;31.01;14.49;45.5;46.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;4059905;1958161;2101744;57247;31465;0.51;14.1;7.75;74.62;70.73;78.44;12.96;13.13;12.78;1.74;30.53;14.74;45.27;48.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;4079917;1967089;2112828;56658;31656;0.49;13.89;7.76;74.86;70.99;78.67;12.51;12.68;12.33;1.73;30.16;15.01;45.17;49.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;4099203;1975675;2123528;56024;31890;0.47;13.67;7.78;75.09;71.24;78.89;12.1;12.27;11.92;1.73;29.84;15.32;45.15;51.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;4117682;1983881;2133801;55358;32162;0.45;13.44;7.81;75.32;71.47;79.1;11.74;11.91;11.56;1.72;29.55;15.67;45.22;52.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;4135286;1991675;2143611;54660;32471;0.43;13.22;7.85;75.54;71.7;79.31;11.41;11.59;11.24;1.72;29.35;16.07;45.42;54.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;4151945;1999024;2152921;53929;32820;0.4;12.99;7.9;75.75;71.93;79.5;11.13;11.3;10.95;1.71;29.22;16.53;45.75;56.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;4167546;2005874;2161672;53083;33203;0.38;12.74;7.97;75.95;72.14;79.68;10.87;11.04;10.7;1.71;29.24;17.06;46.3;58.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;4181999;2012183;2169816;52230;33613;0.35;12.49;8.04;76.15;72.35;79.86;10.64;10.81;10.47;1.7;29.28;17.63;46.91;60.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;4195340;2017967;2177373;51502;34039;0.32;12.28;8.11;76.33;72.55;80.03;10.45;10.61;10.27;1.7;29.11;18.2;47.31;62.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
