Paraná;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;10653276;5238772;5414504;152738;62704;x;14.34;5.89;75.15;71.87;78.55;12.05;13.31;10.73;1.72;33.84;10.86;44.7;32.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;10738066;5278327;5459739;152167;63407;0.8;14.17;5.9;75.49;72.2;78.91;11.53;12.73;10.28;1.7;32.91;11.17;44.08;34.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;10822187;5317484;5504703;152784;64225;0.78;14.12;5.93;75.82;72.52;79.25;11.04;12.18;9.84;1.71;32.02;11.51;43.53;35.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;10908262;5357607;5550655;157654;65127;0.8;14.45;5.97;76.15;72.83;79.59;10.57;11.66;9.43;1.76;31.23;11.88;43.11;38.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;10997989;5399573;5598416;161822;66098;0.82;14.71;6.01;76.47;73.14;79.91;10.13;11.16;9.04;1.8;30.6;12.28;42.88;40.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;11089062;5442208;5646854;162151;67073;0.83;14.62;6.05;76.78;73.44;80.22;9.71;10.7;8.67;1.8;30.11;12.72;42.83;42.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;11176203;5482818;5693385;155766;68041;0.79;13.94;6.09;77.08;73.73;80.53;9.31;10.26;8.32;1.73;29.64;13.18;42.82;44.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;11261927;5522704;5739223;161199;69096;0.77;14.31;6.14;77.38;74.02;80.82;8.94;9.84;7.99;1.8;29.33;13.68;43.01;46.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;11348937;5563258;5785679;160383;70224;0.77;14.13;6.19;77.66;74.29;81.11;8.58;9.44;7.68;1.8;29.17;14.22;43.39;48.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;11433957;5602812;5831145;159377;71394;0.75;13.94;6.24;77.93;74.57;81.39;8.25;9.07;7.38;1.79;29.08;14.79;43.87;50.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;11516840;5641298;5875542;158324;72578;0.72;13.75;6.3;78.21;74.83;81.65;7.93;8.72;7.1;1.79;28.97;15.38;44.35;53.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;11597484;5678670;5918814;157209;73843;0.7;13.56;6.37;78.46;75.08;81.91;7.63;8.38;6.84;1.79;28.87;15.99;44.86;55.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;11675661;5714821;5960840;155829;75156;0.67;13.35;6.44;78.72;75.33;82.16;7.35;8.07;6.59;1.79;28.85;16.64;45.49;57.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;11751111;5749623;6001488;154316;76545;0.65;13.13;6.51;78.96;75.58;82.4;7.08;7.78;6.35;1.78;28.85;17.32;46.17;59.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;11823677;5783000;6040677;152743;77976;0.62;12.92;6.59;79.2;75.81;82.64;6.83;7.5;6.13;1.78;28.84;18.02;46.87;62.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;11893264;5814911;6078353;151166;79492;0.59;12.71;6.68;79.43;76.04;82.86;6.6;7.23;5.92;1.78;28.83;18.77;47.6;65.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;11959803;5845328;6114475;149588;81057;0.56;12.51;6.78;79.65;76.26;83.08;6.37;6.98;5.73;1.77;28.8;19.54;48.34;68.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;12023185;5874197;6148988;147908;82686;0.53;12.3;6.88;79.87;76.48;83.29;6.16;6.75;5.54;1.77;28.76;20.33;49.1;70.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;12083297;5901463;6181834;146252;84400;0.5;12.1;6.98;80.07;76.69;83.49;5.96;6.53;5.36;1.77;28.67;21.15;49.82;73.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;12140129;5927131;6212998;144696;86172;0.47;11.92;7.1;80.27;76.89;83.68;5.78;6.32;5.2;1.77;28.49;21.97;50.46;77.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;12193706;5951218;6242488;143201;88000;0.44;11.74;7.22;80.47;77.09;83.87;5.6;6.13;5.04;1.76;28.27;22.79;51.06;80.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;12243938;5973687;6270251;141646;89881;0.41;11.57;7.34;80.65;77.28;84.05;5.43;5.94;4.9;1.76;28.08;23.62;51.7;84.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;12290702;5994482;6296220;140072;91808;0.38;11.4;7.47;80.84;77.46;84.22;5.28;5.77;4.76;1.76;27.89;24.46;52.35;87.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;12333987;6013594;6320393;138615;93808;0.35;11.24;7.61;81.01;77.64;84.38;5.13;5.61;4.63;1.75;27.64;25.29;52.93;91.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;12373836;6031053;6342783;137269;95876;0.32;11.09;7.75;81.17;77.81;84.54;4.99;5.46;4.51;1.75;27.39;26.11;53.5;95.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;12410298;6046897;6363401;136010;97977;0.29;10.96;7.89;81.34;77.98;84.7;4.87;5.31;4.4;1.75;27.14;26.9;54.04;99.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;12443361;6061127;6382234;134716;100122;0.27;10.83;8.05;81.49;78.14;84.85;4.74;5.18;4.29;1.75;26.89;27.67;54.56;102.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;12473021;6073744;6399277;133541;102314;0.24;10.71;8.2;81.65;78.29;84.99;4.63;5.05;4.19;1.74;26.64;28.42;55.06;106.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;12499364;6084800;6414564;132519;104558;0.21;10.6;8.37;81.79;78.44;85.12;4.52;4.93;4.09;1.74;26.4;29.15;55.55;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;12522496;6094361;6428135;131618;106814;0.19;10.51;8.53;81.93;78.59;85.25;4.42;4.82;4.01;1.74;26.18;29.88;56.06;113.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;12542478;6102463;6440015;130756;109093;0.16;10.43;8.7;82.06;78.73;85.38;4.33;4.71;3.92;1.74;25.98;30.62;56.6;118.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;12559307;6109105;6450202;129874;111376;0.13;10.34;8.87;82.19;78.87;85.5;4.24;4.61;3.84;1.73;25.79;31.38;57.17;121.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;12573062;6114335;6458727;129183;113670;0.11;10.27;9.04;82.32;79;85.62;4.15;4.52;3.77;1.73;25.63;32.14;57.77;125.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;12583881;6118231;6465650;128611;115983;0.09;10.22;9.22;82.43;79.12;85.73;4.07;4.43;3.7;1.73;25.48;32.92;58.4;129.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;12591854;6120841;6471013;128079;118258;0.06;10.17;9.39;82.55;79.25;85.83;4;4.35;3.63;1.72;25.36;33.7;59.07;133.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;12597005;6122181;6474824;127514;120530;0.04;10.12;9.57;82.66;79.36;85.94;3.93;4.27;3.57;1.72;25.26;34.49;59.76;136.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;12599318;6122247;6477071;126914;122770;0.02;10.07;9.74;82.77;79.48;86.03;3.87;4.2;3.52;1.72;25.18;35.29;60.48;140.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;12598861;6121070;6477791;126416;124972;0;10.03;9.92;82.87;79.59;86.13;3.8;4.13;3.46;1.72;25.12;36.1;61.22;143.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;12595699;6118685;6477014;125892;127157;-0.03;9.99;10.1;82.96;79.69;86.22;3.74;4.07;3.41;1.71;25.09;36.91;61.99;147.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;12589797;6115077;6474720;125267;129304;-0.05;9.95;10.27;83.06;79.79;86.3;3.69;4.01;3.36;1.71;25.06;37.71;62.77;150.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;12581103;6110219;6470884;124557;131404;-0.07;9.9;10.44;83.15;79.89;86.38;3.65;3.95;3.32;1.71;25.05;38.5;63.55;153.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;12569612;6104108;6465504;123842;133475;-0.09;9.85;10.62;83.23;79.99;86.46;3.6;3.9;3.28;1.7;25.05;39.29;64.34;157.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;12555362;6096761;6458601;123126;135490;-0.11;9.81;10.79;83.31;80.08;86.54;3.55;3.85;3.24;1.7;25.06;40.06;65.12;159.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;12538352;6088175;6450177;122286;137440;-0.14;9.75;10.96;83.39;80.16;86.61;3.51;3.8;3.2;1.7;25.08;40.83;65.91;162.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;12518536;6078320;6440216;121330;139306;-0.16;9.69;11.13;83.47;80.25;86.68;3.47;3.76;3.17;1.7;25.11;41.6;66.71;165.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;12495904;6067179;6428725;120304;141089;-0.18;9.63;11.29;83.55;80.33;86.75;3.43;3.72;3.14;1.69;25.14;42.39;67.54;168.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;12470502;6054772;6415730;119298;142817;-0.2;9.57;11.45;83.61;80.41;86.81;3.4;3.68;3.11;1.69;25.18;43.2;68.38;171.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2057;12442412;6041136;6401276;118277;144436;-0.23;9.51;11.61;83.68;80.48;86.87;3.37;3.64;3.08;1.69;25.22;44.01;69.23;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2058;12411670;6026278;6385392;117171;145994;-0.25;9.44;11.76;83.74;80.56;86.93;3.34;3.61;3.05;1.69;25.26;44.82;70.08;177.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2059;12378299;6010200;6368099;116030;147448;-0.27;9.37;11.91;83.8;80.62;86.98;3.31;3.58;3.03;1.68;25.29;45.63;70.92;180.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2060;12342362;5992920;6349442;114874;148829;-0.29;9.31;12.06;83.86;80.69;87.04;3.28;3.55;3;1.68;25.32;46.43;71.75;183.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixas etárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa/Ano;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
