Rondônia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1598634;814371;784263;26917;9635;x;16.84;6.03;70.11;67.04;73.79;22.75;24.4;21.01;1.84;41.32;6.91;48.22;16.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;1618210;823690;794520;26618;9788;1.22;16.45;6.05;70.32;67.25;73.99;22.24;23.8;20.59;1.8;39.97;7;46.97;17.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;1637884;833047;804837;27518;9965;1.22;16.8;6.08;70.53;67.46;74.19;21.75;23.23;20.18;1.85;38.73;7.11;45.84;18.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;1657620;842425;815195;27176;10145;1.2;16.39;6.12;70.74;67.66;74.39;21.27;22.69;19.78;1.82;37.58;7.24;44.82;19.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;1677766;852003;825763;28794;10344;1.22;17.16;6.17;70.94;67.86;74.58;20.82;22.18;19.39;1.91;36.57;7.4;43.96;20.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;1698263;861751;836512;28352;10542;1.22;16.69;6.21;71.14;68.06;74.77;20.38;21.68;19.01;1.88;35.7;7.57;43.27;21.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;1717911;871055;846856;27557;10727;1.16;16.04;6.24;71.34;68.25;74.96;19.96;21.21;18.64;1.81;34.69;7.77;42.46;22.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;1737578;880360;857218;28859;10938;1.14;16.61;6.29;71.53;68.44;75.14;19.55;20.75;18.29;1.89;33.93;8;41.93;23.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;1757589;889834;867755;28762;11166;1.15;16.36;6.35;71.72;68.63;75.32;19.17;20.32;17.94;1.88;33.4;8.27;41.67;24.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;1777225;899108;878117;28634;11386;1.12;16.11;6.41;71.91;68.82;75.5;18.79;19.91;17.61;1.88;32.95;8.57;41.51;26.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;1796460;908169;888291;28488;11617;1.08;15.86;6.47;72.09;69;75.67;18.43;19.51;17.28;1.87;32.52;8.89;41.41;27.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1815278;917011;898267;28345;11855;1.05;15.61;6.53;72.27;69.18;75.84;18.08;19.13;16.97;1.86;32.15;9.23;41.38;28.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;1833642;925615;908027;28144;12106;1.01;15.35;6.6;72.45;69.35;76.01;17.74;18.77;16.66;1.86;31.86;9.61;41.47;30.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;1851491;933950;917541;27903;12365;0.97;15.07;6.68;72.62;69.53;76.18;17.42;18.42;16.37;1.85;31.63;10.01;41.64;31.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;1868787;941998;926789;27643;12632;0.93;14.79;6.76;72.79;69.7;76.34;17.11;18.08;16.08;1.84;31.42;10.44;41.86;33.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
