Roraima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;458820;233153;225667;10370;2531;x;22.6;5.52;69.49;66.9;72.52;18.37;18.22;18.54;2.48;53.05;5.45;58.5;10.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;469543;238427;231116;10569;2545;2.34;22.51;5.42;69.87;67.3;72.83;18.16;17.98;18.35;2.46;51.55;5.51;57.05;10.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;480290;243716;236574;10539;2568;2.29;21.94;5.35;70.22;67.69;73.14;17.96;17.76;18.17;2.4;50.03;5.59;55.62;11.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;491066;249023;242043;10765;2597;2.24;21.92;5.29;70.57;68.06;73.44;17.76;17.55;17.99;2.39;48.57;5.69;54.26;11.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;501970;254398;247572;10941;2630;2.22;21.8;5.24;70.9;68.43;73.73;17.57;17.35;17.8;2.38;47.28;5.82;53.09;12.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;513328;260066;253262;10822;2665;2.26;21.08;5.19;71.22;68.78;74.02;17.39;17.16;17.62;2.3;46.09;5.96;52.05;12.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;525967;266538;259429;11173;2713;2.46;21.24;5.16;71.53;69.12;74.3;17.2;16.97;17.45;2.33;44.95;6.1;51.05;13.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;546885;278190;268695;11602;2799;3.98;21.21;5.12;71.84;69.45;74.57;17.02;16.78;17.27;2.34;43.42;6.18;49.59;14.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;576568;295323;281245;11994;2921;5.43;20.8;5.07;72.13;69.76;74.83;16.84;16.6;17.09;2.31;41.47;6.18;47.64;14.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;605761;312110;293651;12349;3045;5.06;20.39;5.03;72.41;70.06;75.09;16.66;16.42;16.92;2.28;39.76;6.21;45.97;15.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;631181;326495;304686;12564;3154;4.2;19.91;5;72.69;70.36;75.34;16.49;16.25;16.74;2.25;38.71;6.32;45.02;16.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;652713;338422;314291;12666;3252;3.41;19.41;4.98;72.95;70.64;75.58;16.32;16.08;16.57;2.22;38.04;6.48;44.53;17.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;670267;347847;322420;12678;3338;2.69;18.91;4.98;73.21;70.9;75.82;16.15;15.9;16.4;2.2;37.55;6.69;44.25;17.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;683769;354735;329034;12608;3415;2.01;18.44;4.99;73.46;71.16;76.04;15.98;15.73;16.23;2.18;37.22;6.96;44.18;18.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;695116;360288;334828;12505;3492;1.66;17.99;5.02;73.69;71.41;76.27;15.81;15.57;16.06;2.16;36.97;7.27;44.24;19.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;706235;365723;340512;12392;3571;1.6;17.55;5.06;73.93;71.64;76.48;15.64;15.4;15.9;2.14;36.73;7.59;44.32;20.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;717117;371035;346082;12280;3656;1.54;17.12;5.1;74.15;71.87;76.69;15.48;15.23;15.73;2.12;36.47;7.93;44.4;21.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;727762;376223;351539;12179;3747;1.48;16.73;5.15;74.36;72.08;76.89;15.31;15.07;15.57;2.1;36.18;8.28;44.46;22.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;738175;381290;356885;12090;3845;1.43;16.38;5.21;74.56;72.29;77.09;15.15;14.91;15.41;2.09;35.87;8.64;44.51;24.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;748361;386237;362124;12011;3948;1.38;16.05;5.28;74.76;72.49;77.28;14.99;14.75;15.25;2.07;35.51;9;44.51;25.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;758323;391066;367257;11937;4054;1.33;15.74;5.35;74.95;72.67;77.46;14.84;14.59;15.09;2.06;35.14;9.37;44.51;26.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;768085;395789;372296;11871;4167;1.29;15.46;5.43;75.13;72.85;77.64;14.67;14.43;14.93;2.05;34.76;9.73;44.49;27.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;777675;400420;377255;11823;4285;1.25;15.2;5.51;75.31;73.02;77.82;14.52;14.27;14.77;2.04;34.31;10.09;44.4;29.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;787104;404965;382139;11793;4411;1.21;14.98;5.6;75.47;73.18;77.98;14.36;14.12;14.62;2.03;33.79;10.47;44.27;31.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;796382;409429;386953;11778;4542;1.18;14.79;5.7;75.63;73.34;78.14;14.21;13.96;14.46;2.02;33.25;10.87;44.12;32.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;805521;413818;391703;11784;4680;1.15;14.63;5.81;75.79;73.48;78.3;14.06;13.81;14.31;2.01;32.7;11.28;43.98;34.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;814531;418136;396395;11801;4823;1.12;14.49;5.92;75.93;73.62;78.45;13.91;13.66;14.16;2.01;32.16;11.7;43.86;36.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;823417;422386;401031;11827;4972;1.09;14.36;6.04;76.07;73.75;78.59;13.75;13.51;14.01;2;31.64;12.13;43.78;38.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;832179;426567;405612;11858;5128;1.06;14.25;6.16;76.2;73.88;78.73;13.61;13.36;13.86;2;31.17;12.59;43.76;40.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;840814;430677;410137;11891;5290;1.04;14.14;6.29;76.33;74;78.87;13.46;13.22;13.72;1.99;30.76;13.07;43.83;42.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;849324;434718;414606;11939;5457;1.01;14.06;6.43;76.46;74.11;79;13.32;13.07;13.57;1.99;30.4;13.6;43.99;44.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;857716;438692;419024;11992;5627;0.99;13.98;6.56;76.58;74.22;79.13;13.17;12.93;13.43;1.98;30.1;14.15;44.25;46.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;865988;442598;423390;12043;5803;0.96;13.91;6.7;76.69;74.32;79.25;13.03;12.78;13.28;1.98;29.85;14.74;44.59;49.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;874130;446431;427699;12089;5983;0.94;13.83;6.84;76.79;74.41;79.37;12.89;12.64;13.14;1.97;29.66;15.37;45.03;51.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;882130;450185;431945;12125;6170;0.92;13.75;6.99;76.9;74.5;79.48;12.75;12.5;13;1.97;29.51;16.05;45.56;54.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;889982;453857;436125;12169;6359;0.89;13.67;7.15;76.99;74.59;79.59;12.61;12.36;12.86;1.97;29.41;16.77;46.18;57.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;897687;457448;440239;12211;6551;0.87;13.6;7.3;77.09;74.67;79.69;12.47;12.23;12.73;1.96;29.35;17.53;46.87;59.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;905234;460952;444282;12242;6747;0.84;13.52;7.45;77.17;74.75;79.79;12.34;12.09;12.59;1.96;29.32;18.32;47.64;62.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;912607;464360;448247;12262;6948;0.81;13.44;7.61;77.26;74.82;79.89;12.2;11.95;12.45;1.96;29.32;19.15;48.48;65.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
