Santa Catarina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;6353055;3153624;3199431;86236;32019;x;13.57;5.04;76.93;73.57;80.36;11.2;12.06;10.28;1.6;31.12;9.73;40.85;31.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;6441468;3197284;3244184;89687;32493;1.39;13.92;5.04;77.32;73.97;80.73;10.82;11.65;9.96;1.64;30.21;10.04;40.25;33.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;6530943;3241493;3289450;90356;33026;1.39;13.84;5.06;77.7;74.36;81.1;10.47;11.25;9.64;1.64;29.39;10.38;39.77;35.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;6620186;3285585;3334601;91312;33596;1.37;13.79;5.07;78.06;74.73;81.45;10.12;10.87;9.34;1.64;28.66;10.76;39.43;37.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;6710154;3330048;3380106;93965;34197;1.36;14;5.1;78.41;75.09;81.78;9.8;10.51;9.05;1.68;28.08;11.18;39.26;39.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;6802306;3375630;3426676;97935;34862;1.37;14.4;5.13;78.74;75.44;82.1;9.49;10.16;8.77;1.74;27.7;11.64;39.33;42.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;6894058;3421008;3473050;95489;35532;1.35;13.85;5.15;79.07;75.77;82.4;9.19;9.83;8.51;1.69;27.46;12.13;39.59;44.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;6984749;3465841;3518908;98202;36261;1.32;14.06;5.19;79.37;76.09;82.69;8.9;9.51;8.25;1.74;27.36;12.68;40.04;46.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;7075494;3510700;3564794;98093;37044;1.3;13.86;5.24;79.66;76.39;82.97;8.62;9.21;8.01;1.74;27.36;13.26;40.62;48.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;7164788;3554814;3609974;97888;37857;1.26;13.66;5.28;79.94;76.68;83.24;8.36;8.92;7.77;1.74;27.35;13.86;41.21;50.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;7252502;3598115;3654387;97598;38721;1.22;13.46;5.34;80.21;76.96;83.49;8.11;8.65;7.54;1.74;27.31;14.49;41.8;52.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;7338473;3640518;3697955;97159;39625;1.19;13.24;5.4;80.47;77.22;83.73;7.87;8.38;7.33;1.73;27.31;15.14;42.45;55.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022;7422480;3681908;3740572;96531;40593;1.14;13.01;5.47;80.71;77.48;83.96;7.63;8.13;7.12;1.73;27.36;15.82;43.18;57.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;7504322;3722182;3782140;95818;41628;1.1;12.77;5.55;80.94;77.72;84.18;7.42;7.89;6.92;1.73;27.42;16.53;43.95;60.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;7583889;3761285;3822604;95086;42709;1.06;12.54;5.63;81.16;77.95;84.39;7.21;7.66;6.73;1.73;27.45;17.28;44.73;62.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;7661113;3799183;3861930;94332;43839;1.02;12.31;5.72;81.37;78.17;84.59;7;7.44;6.54;1.73;27.5;18.07;45.57;65.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026;7735919;3835836;3900083;93569;45042;0.98;12.1;5.82;81.57;78.37;84.77;6.81;7.23;6.37;1.73;27.49;18.9;46.39;68.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2027;7808220;3871198;3937022;92774;46299;0.93;11.88;5.93;81.76;78.57;84.95;6.62;7.03;6.2;1.73;27.44;19.75;47.2;72.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2028;7877936;3905231;3972705;91969;47626;0.89;11.67;6.05;81.93;78.76;85.12;6.45;6.84;6.04;1.72;27.37;20.63;48.01;75.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2029;7945021;3937913;4007108;91206;49002;0.85;11.48;6.17;82.1;78.94;85.28;6.28;6.66;5.88;1.72;27.26;21.5;48.76;79.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;8009480;3969248;4040232;90506;50428;0.81;11.3;6.3;82.26;79.11;85.43;6.12;6.49;5.74;1.72;27.05;22.34;49.4;82.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2031;8071564;3999368;4072196;89851;51903;0.78;11.13;6.43;82.41;79.27;85.58;5.97;6.32;5.59;1.72;26.83;23.16;49.99;86.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2032;8131505;4028393;4103112;89229;53438;0.74;10.97;6.57;82.56;79.42;85.71;5.82;6.17;5.46;1.72;26.59;23.97;50.56;89.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2033;8189289;4056318;4132971;88664;55028;0.71;10.83;6.72;82.69;79.57;85.84;5.68;6.02;5.33;1.72;26.32;24.74;51.07;94.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2034;8244918;4083148;4161770;88164;56684;0.68;10.69;6.88;82.82;79.71;85.96;5.55;5.87;5.21;1.72;26.05;25.49;51.54;97.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;8298422;4108904;4189518;87755;58368;0.65;10.57;7.03;82.94;79.84;86.08;5.42;5.74;5.09;1.71;25.78;26.21;51.99;101.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2036;8349850;4133615;4216235;87433;60107;0.62;10.47;7.2;83.06;79.96;86.19;5.3;5.61;4.98;1.71;25.52;26.89;52.42;105.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;8399227;4157296;4241931;87197;61912;0.59;10.38;7.37;83.16;80.08;86.29;5.18;5.48;4.87;1.71;25.27;27.56;52.82;109.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2038;8446582;4179969;4266613;87023;63740;0.56;10.3;7.55;83.27;80.19;86.39;5.07;5.37;4.76;1.71;25.03;28.2;53.23;112.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2039;8491935;4201648;4290287;86883;65602;0.54;10.23;7.73;83.36;80.29;86.48;4.97;5.25;4.67;1.71;24.82;28.84;53.66;116.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2040;8535304;4222347;4312957;86790;67474;0.51;10.17;7.91;83.46;80.39;86.57;4.86;5.15;4.57;1.71;24.63;29.5;54.13;119.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2041;8576731;4242092;4334639;86775;69380;0.49;10.12;8.09;83.54;80.48;86.66;4.77;5.04;4.48;1.71;24.47;30.17;54.64;123.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2042;8616285;4260920;4355365;86865;71294;0.46;10.08;8.27;83.62;80.57;86.73;4.68;4.95;4.4;1.71;24.33;30.85;55.18;126.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2043;8654030;4278869;4375161;86990;73213;0.44;10.05;8.46;83.69;80.66;86.81;4.59;4.85;4.31;1.7;24.22;31.56;55.79;130.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2044;8689972;4295948;4394024;87090;75126;0.42;10.02;8.65;83.77;80.73;86.88;4.51;4.76;4.23;1.7;24.15;32.31;56.46;134.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2045;8724096;4312155;4411941;87175;77033;0.39;9.99;8.83;83.84;80.81;86.94;4.43;4.68;4.16;1.7;24.11;33.1;57.21;137.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2046;8756398;4327491;4428907;87254;78934;0.37;9.96;9.01;83.9;80.88;87;4.35;4.6;4.09;1.7;24.09;33.94;58.04;141.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2047;8786906;4341969;4444937;87357;80802;0.35;9.94;9.2;83.96;80.95;87.06;4.28;4.52;4.02;1.7;24.11;34.83;58.94;144.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;8815651;4355605;4460046;87447;82653;0.33;9.92;9.38;84.02;81.01;87.12;4.21;4.45;3.95;1.7;24.15;35.76;59.91;148.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2049;8842605;4368385;4474220;87473;84501;0.31;9.89;9.56;84.07;81.07;87.17;4.14;4.38;3.89;1.7;24.22;36.69;60.91;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2050;8867714;4380284;4487430;87423;86319;0.28;9.86;9.73;84.12;81.13;87.22;4.08;4.31;3.83;1.69;24.29;37.61;61.9;154.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2051;8890942;4391288;4499654;87318;88107;0.26;9.82;9.91;84.18;81.18;87.27;4.02;4.25;3.78;1.69;24.37;38.51;62.88;157.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2052;8912269;4401388;4510881;87182;89882;0.24;9.78;10.09;84.22;81.23;87.31;3.96;4.19;3.72;1.69;24.46;39.4;63.86;161.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2053;8931679;4410576;4521103;86998;91620;0.22;9.74;10.26;84.26;81.28;87.35;3.91;4.13;3.67;1.69;24.55;40.27;64.83;163.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2054;8949178;4418846;4530332;86764;93286;0.2;9.7;10.42;84.3;81.32;87.39;3.86;4.08;3.62;1.69;24.65;41.13;65.77;166.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2055;8964776;4426194;4538582;86461;94885;0.17;9.64;10.58;84.34;81.36;87.43;3.81;4.03;3.57;1.69;24.74;41.96;66.7;170.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2056;8978488;4432623;4545865;86125;96419;0.15;9.59;10.74;84.38;81.4;87.47;3.76;3.98;3.53;1.69;24.83;42.77;67.59;172.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
