mun_id;mun_desc;ano;populacao
3500105;Adamantina;2021;33.869
3500204;Adolfo;2021;3.436
3500303;Aguaí;2021;35.885
3500402;Águas da Prata;2021;7.807
3500501;Águas de Lindóia;2021;18.438
3500550;Águas de Santa Bárbara;2021;5.957
3500600;Águas de São Pedro;2021;3.144
3500709;Agudos;2021;36.255
3500758;Alambari;2021;5.856
3500808;Alfredo Marcondes;2021;3.924
3500907;Altair;2021;4.052
3501004;Altinópolis;2021;15.547
3501103;Alto Alegre;2021;4.006
3501152;Alumínio;2021;18.069
3501202;Álvares Florence;2021;3.596
3501301;Álvares Machado;2021;23.828
3501400;Álvaro de Carvalho;2021;5.079
3501509;Alvinlândia;2021;3.190
3501608;Americana;2021;235.075
3501707;Américo Brasiliense;2021;40.676
3501806;Américo de Campos;2021;5.730
3501905;Amparo;2021;69.861
3502002;Analândia;2021;4.895
3502101;Andradina;2021;56.087
3502200;Angatuba;2021;24.697
3502309;Anhembi;2021;6.755
3502408;Anhumas;2021;3.983
3502507;Aparecida;2021;35.744
3502606;Aparecida d'Oeste;2021;4.105
3502705;Apiaí;2021;24.711
3502754;Araçariguama;2021;21.289
3502804;Araçatuba;2021;190.921
3502903;Araçoiaba da Serra;2021;32.846
3503000;Aramina;2021;5.515
3503109;Arandu;2021;6.168
3503158;Arapeí;2021;2.469
3503208;Araraquara;2021;228.792
3503307;Araras;2021;131.931
3503356;Arco-Íris;2021;1.806
3503406;Arealva;2021;8.223
3503505;Areias;2021;3.860
3503604;Areiópolis;2021;10.900
3503703;Ariranha;2021;9.378
3503802;Artur Nogueira;2021;53.224
3503901;Arujá;2021;90.958
3503950;Aspásia;2021;1.760
3504008;Assis;2021;101.825
3504107;Atibaia;2021;140.589
3504206;Auriflama;2021;14.478
3504305;Avaí;2021;5.314
3504404;Avanhandava;2021;12.188
3504503;Avaré;2021;87.854
3504602;Bady Bassitt;2021;16.441
3504701;Balbinos;2021;3.707
3504800;Bálsamo;2021;8.542
3504909;Bananal;2021;10.691
3505005;Barão de Antonina;2021;3.407
3505104;Barbosa;2021;7.345
3505203;Bariri;2021;34.180
3505302;Barra Bonita;2021;34.864
3505351;Barra do Chapéu;2021;5.561
3505401;Barra do Turvo;2021;7.709
3505500;Barretos;2021;118.419
3505609;Barrinha;2021;32.658
3505708;Barueri;2021;266.236
3505807;Bastos;2021;20.296
3505906;Batatais;2021;60.502
3506003;Bauru;2021;365.523
3506102;Bebedouro;2021;73.969
3506201;Bento de Abreu;2021;2.966
3506300;Bernardino de Campos;2021;10.793
3506359;Bertioga;2021;64.526
3506409;Bilac;2021;7.855
3506508;Birigui;2021;122.161
3506607;Biritiba Mirim;2021;32.683
3506706;Boa Esperança do Sul;2021;14.658
3506805;Bocaina;2021;12.243
3506904;Bofete;2021;11.194
3507001;Boituva;2021;57.987
3507100;Bom Jesus dos Perdões;2021;24.625
3507159;Bom Sucesso de Itararé;2021;3.894
3507209;Borá;2021;811
3507308;Boracéia;2021;4.798
3507407;Borborema;2021;15.370
3507456;Borebi;2021;2.602
3507506;Botucatu;2021;142.092
3507605;Bragança Paulista;2021;165.241
3507704;Braúna;2021;5.593
3507753;Brejo Alegre;2021;2.780
3507803;Brodowski;2021;24.132
3507902;Brotas;2021;24.039
3508009;Buri;2021;19.819
3508108;Buritama;2021;16.673
3508207;Buritizal;2021;4.323
3508306;Cabrália Paulista;2021;4.306
3508405;Cabreúva;2021;50.112
3508504;Caçapava;2021;91.646
3508603;Cachoeira Paulista;2021;32.381
3508702;Caconde;2021;18.893
3508801;Cafelândia;2021;17.286
3508900;Caiabu;2021;4.104
3509007;Caieiras;2021;101.748
3509106;Caiuá;2021;5.642
3509205;Cajamar;2021;78.786
3509254;Cajati;2021;29.116
3509304;Cajobi;2021;10.124
3509403;Cajuru;2021;25.850
3509452;Campina do Monte Alegre;2021;5.832
3509502;Campinas;2021;1.181.555
3509601;Campo Limpo Paulista;2021;83.530
3509700;Campos do Jordão;2021;50.307
3509809;Campos Novos Paulista;2021;4.841
3509908;Cananéia;2021;12.379
3509957;Canas;2021;5.120
3510005;Cândido Mota;2021;30.010
3510104;Cândido Rodrigues;2021;2.672
3510153;Canitar;2021;5.051
3510203;Capão Bonito;2021;46.521
3510302;Capela do Alto;2021;20.828
3510401;Capivari;2021;54.686
3510500;Caraguatatuba;2021;117.090
3510609;Carapicuíba;2021;396.447
3510708;Cardoso;2021;11.712
3510807;Casa Branca;2021;29.549
3510906;Cássia dos Coqueiros;2021;2.486
3511003;Castilho;2021;20.937
3511102;Catanduva;2021;117.414
3511201;Catiguá;2021;7.555
3511300;Cedral;2021;8.895
3511409;Cerqueira César;2021;19.350
3511508;Cerquilho;2021;46.932
3511607;Cesário Lange;2021;17.360
3511706;Charqueada;2021;17.075
3557204;Chavantes;2021;12.229
3511904;Clementina;2021;8.413
3512001;Colina;2021;17.606
3512100;Colômbia;2021;6.048
3512209;Conchal;2021;27.445
3512308;Conchas;2021;17.203
3512407;Cordeirópolis;2021;24.615
3512506;Coroados;2021;5.971
3512605;Coronel Macedo;2021;4.839
3512704;Corumbataí;2021;3.969
3512803;Cosmópolis;2021;72.215
3512902;Cosmorama;2021;6.976
3513009;Cotia;2021;251.382
3513108;Cravinhos;2021;34.637
3513207;Cristais Paulista;2021;8.494
3513306;Cruzália;2021;2.105
3513405;Cruzeiro;2021;80.128
3513504;Cubatão;2021;130.025
3513603;Cunha;2021;21.660
3513702;Descalvado;2021;32.516
3513801;Diadema;2021;405.596
3513850;Dirce Reis;2021;1.715
3513900;Divinolândia;2021;10.865
3514007;Dobrada;2021;8.985
3514106;Dois Córregos;2021;27.151
3514205;Dolcinópolis;2021;2.033
3514304;Dourado;2021;8.466
3514403;Dracena;2021;45.088
3514502;Duartina;2021;11.941
3514601;Dumont;2021;9.659
3514700;Echaporã;2021;6.208
3514809;Eldorado;2021;15.331
3514908;Elias Fausto;2021;17.459
3514924;Elisiário;2021;3.518
3514957;Embaúba;2021;2.406
3515004;Embu das Artes;2021;273.266
3515103;Embu-Guaçu;2021;68.565
3515129;Emilianópolis;2021;3.069
3515152;Engenheiro Coelho;2021;20.884
3515186;Espírito Santo do Pinhal;2021;42.639
3515194;Espírito Santo do Turvo;2021;4.850
3557303;Estiva Gerbi;2021;11.156
3515301;Estrela do Norte;2021;2.668
3515202;Estrela d'Oeste;2021;8.083
3515350;Euclides da Cunha Paulista;2021;9.549
3515400;Fartura;2021;15.679
3515608;Fernando Prestes;2021;5.568
3515509;Fernandópolis;2021;66.131
3515657;Fernão;2021;1.656
3515707;Ferraz de Vasconcelos;2021;195.168
3515806;Flora Rica;2021;1.575
3515905;Floreal;2021;2.842
3516002;Flórida Paulista;2021;12.060
3516101;Florínea;2021;2.697
3516200;Franca;2021;343.801
3516309;Francisco Morato;2021;176.346
3516408;Franco da Rocha;2021;153.903
3516507;Gabriel Monteiro;2021;2.677
3516606;Gália;2021;6.537
3516705;Garça;2021;42.385
3516804;Gastão Vidigal;2021;4.811
3516853;Gavião Peixoto;2021;4.627
3516903;General Salgado;2021;10.632
3517000;Getulina;2021;10.856
3517109;Glicério;2021;4.762
3517208;Guaiçara;2021;12.045
3517307;Guaimbê;2021;5.547
3517406;Guaíra;2021;39.154
3517505;Guapiaçu;2021;21.060
3517604;Guapiara;2021;17.832
3517703;Guará;2021;20.907
3517802;Guaraçaí;2021;8.400
3517901;Guaraci;2021;11.050
3518008;Guarani d'Oeste;2021;1.917
3518107;Guarantã;2021;6.485
3518206;Guararapes;2021;32.160
3518305;Guararema;2021;29.736
3518404;Guaratinguetá;2021;118.741
3518503;Guareí;2021;15.844
3518602;Guariba;2021;39.285
3518701;Guarujá;2021;318.774
3518800;Guarulhos;2021;1.361.862
3518859;Guatapará;2021;7.482
3518909;Guzolândia;2021;5.134
3519006;Herculândia;2021;9.310
3519055;Holambra;2021;14.711
3519071;Hortolândia;2021;233.548
3519105;Iacanga;2021;11.410
3519204;Iacri;2021;6.255
3519253;Iaras;2021;6.943
3519303;Ibaté;2021;35.044
3519402;Ibirá;2021;12.132
3519501;Ibirarema;2021;7.570
3519600;Ibitinga;2021;58.860
3519709;Ibiúna;2021;76.867
3519808;Icém;2021;8.077
3519907;Iepê;2021;7.943
3520004;Igaraçu do Tietê;2021;24.206
